Player,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Jrue Holiday,NOP,NOP vs. SAS,04/11/2018,2017-18,W,34,23,11,15,73.3,0,2,0.0,1,1,100,2,1,3,7,1,0,6,3,15
Kyle Anderson,SAS,SAS @ NOP,04/11/2018,2017-18,L,18,10,4,7,57.1,1,1,100,1,1,100,0,0,0,2,2,0,0,1,-11
DeAndre Liggins,NOP,NOP vs. SAS,04/11/2018,2017-18,W,3,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,0,1,5
Darius Miller,NOP,NOP vs. SAS,04/11/2018,2017-18,W,21,7,2,3,66.7,0,1,0.0,3,3,100,0,4,4,1,0,0,0,2,5
Anthony Davis,NOP,NOP vs. SAS,04/11/2018,2017-18,W,35,22,8,18,44.4,0,1,0.0,6,12,50.0,4,11,15,1,3,4,5,2,14
Ian Clark,NOP,NOP vs. SAS,04/11/2018,2017-18,W,28,11,5,10,50.0,1,3,33.3,0,0,-,0,2,2,2,1,0,0,2,7
Manu Ginobili,SAS,SAS @ NOP,04/11/2018,2017-18,L,12,6,2,7,28.6,1,4,25.0,1,1,100,0,2,2,3,0,0,3,3,-7
Pau Gasol,SAS,SAS @ NOP,04/11/2018,2017-18,L,14,6,2,4,50.0,0,0,-,2,2,100,1,6,7,4,0,0,0,3,-2
Jordan Crawford,NOP,NOP vs. SAS,04/11/2018,2017-18,W,3,2,1,2,50.0,0,0,-,0,0,-,0,1,1,1,0,0,0,0,1
E'Twaun Moore,NOP,NOP vs. SAS,04/11/2018,2017-18,W,25,13,5,7,71.4,1,2,50.0,2,2,100,0,0,0,1,1,0,1,3,19
Rajon Rondo,NOP,NOP vs. SAS,04/11/2018,2017-18,W,32,19,9,13,69.2,1,2,50.0,0,0,-,1,4,5,14,4,0,3,3,23
LaMarcus Aldridge,SAS,SAS @ NOP,04/11/2018,2017-18,L,23,11,5,12,41.7,0,0,-,1,1,100,3,2,5,0,1,0,1,2,-16
Tony Parker,SAS,SAS @ NOP,04/11/2018,2017-18,L,20,11,5,10,50.0,0,0,-,1,2,50.0,1,1,2,1,0,0,2,1,-10
Patty Mills,SAS,SAS @ NOP,04/11/2018,2017-18,L,21,0,0,4,0.0,0,3,0.0,0,0,-,0,0,0,2,0,0,3,0,-18
Rudy Gay,SAS,SAS @ NOP,04/11/2018,2017-18,L,24,8,3,10,30.0,1,3,33.3,1,1,100,3,4,7,2,1,0,3,1,-6
Charles Cooke,NOP,NOP vs. SAS,04/11/2018,2017-18,W,1,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,2
Nikola Mirotic,NOP,NOP vs. SAS,04/11/2018,2017-18,W,34,21,9,15,60.0,2,7,28.6,1,1,100,2,13,15,1,1,1,3,2,21
Dejounte Murray,SAS,SAS @ NOP,04/11/2018,2017-18,L,29,11,3,10,30.0,0,0,-,5,5,100,2,4,6,3,2,1,0,1,-14
Cheick Diallo,NOP,NOP vs. SAS,04/11/2018,2017-18,W,4,2,1,1,100,0,0,-,0,0,-,0,1,1,0,0,0,0,0,2
Joffrey Lauvergne,SAS,SAS @ NOP,04/11/2018,2017-18,L,9,3,1,4,25.0,0,0,-,1,2,50.0,1,0,1,3,0,0,0,0,-7
Bryn Forbes,SAS,SAS @ NOP,04/11/2018,2017-18,L,24,10,3,9,33.3,2,5,40.0,2,2,100,1,0,1,0,1,0,0,1,-6
Brandon Paul,SAS,SAS @ NOP,04/11/2018,2017-18,L,16,10,4,6,66.7,1,2,50.0,1,2,50.0,0,1,1,0,0,0,1,0,-9
Danny Green,SAS,SAS @ NOP,04/11/2018,2017-18,L,20,8,3,5,60.0,2,4,50.0,0,0,-,0,4,4,2,2,0,3,2,-8
Solomon Hill,NOP,NOP vs. SAS,04/11/2018,2017-18,W,19,2,1,3,33.3,0,0,-,0,0,-,2,3,5,1,0,0,1,2,6
Davis Bertans,SAS,SAS @ NOP,04/11/2018,2017-18,L,11,4,2,4,50.0,0,2,0.0,0,0,-,0,2,2,0,0,0,1,2,-6
Ivan Rabb,MEM,MEM @ OKC,04/11/2018,2017-18,L,32,12,5,12,41.7,0,0,-,2,2,100,5,8,13,4,1,0,0,5,-14
Jerami Grant,OKC,OKC vs. MEM,04/11/2018,2017-18,W,22,12,3,4,75.0,0,1,0.0,6,6,100,0,2,2,2,0,2,0,3,11
Myke Henry,MEM,MEM @ OKC,04/11/2018,2017-18,L,13,5,2,3,66.7,1,2,50.0,0,0,-,0,1,1,0,1,0,0,2,-7
Carmelo Anthony,OKC,OKC vs. MEM,04/11/2018,2017-18,W,23,10,4,10,40.0,1,5,20.0,1,1,100,0,3,3,2,1,0,1,5,5
