Player,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Cartier Martin,ATL,ATL vs. CHA,04/14/2014,2013-14,L,36,10,3,11,27.3,1,4,25.0,3,3,100,0,4,4,1,0,0,0,1,-9
Mike Muscala,ATL,ATL vs. CHA,04/14/2014,2013-14,L,21,8,3,5,60.0,0,0,-,2,2,100,0,4,4,1,0,0,1,2,-11
Elton Brand,ATL,ATL vs. CHA,04/14/2014,2013-14,L,21,12,4,5,80.0,0,0,-,4,6,66.7,2,5,7,1,2,3,0,4,14
Dennis Schroder,ATL,ATL vs. CHA,04/14/2014,2013-14,L,24,3,1,4,25.0,1,3,33.3,0,0,-,0,2,2,6,1,0,3,3,-12
Pero Antic,ATL,ATL vs. CHA,04/14/2014,2013-14,L,19,3,1,2,50.0,0,1,0.0,1,4,25.0,1,2,3,2,1,0,0,1,-3
Jeff Teague,ATL,ATL vs. CHA,04/14/2014,2013-14,L,23,11,4,6,66.7,3,4,75.0,0,0,-,0,4,4,5,1,0,0,3,6
Chris Douglas-Roberts,CHA,CHA @ ATL,04/14/2014,2013-14,W,23,5,2,3,66.7,0,1,0.0,1,1,100,0,2,2,1,1,0,0,3,8
Gary Neal,CHA,CHA @ ATL,04/14/2014,2013-14,W,25,17,5,11,45.5,2,3,66.7,5,5,100,0,2,2,2,0,0,0,1,8
Josh McRoberts,CHA,CHA @ ATL,04/14/2014,2013-14,W,15,3,1,5,20.0,1,5,20.0,0,0,-,0,2,2,4,0,0,1,4,6
Anthony Tolliver,CHA,CHA @ ATL,04/14/2014,2013-14,W,20,6,2,7,28.6,2,7,28.6,0,0,-,0,6,6,0,1,0,0,1,5
Bismack Biyombo,CHA,CHA @ ATL,04/14/2014,2013-14,W,13,2,1,1,100,0,0,-,0,1,0.0,3,3,6,1,0,2,0,0,5
Alec Burks,UTA,UTA vs. LAL,04/14/2014,2013-14,L,34,22,8,10,80.0,2,2,100,4,5,80.0,0,3,3,2,0,0,2,3,-16
Nick Young,LAL,LAL @ UTA,04/14/2014,2013-14,W,34,41,14,23,60.9,6,11,54.5,7,9,77.8,0,3,3,3,0,0,2,2,22
Gordon Hayward,UTA,UTA vs. LAL,04/14/2014,2013-14,L,36,21,7,13,53.8,1,3,33.3,6,8,75.0,0,6,6,4,0,0,4,1,-24
Malcolm Thomas,UTA,UTA vs. LAL,04/14/2014,2013-14,L,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,5
Trey Burke,UTA,UTA vs. LAL,04/14/2014,2013-14,L,37,17,8,22,36.4,1,9,11.1,0,0,-,1,0,1,7,1,0,4,3,-14
Ryan Kelly,LAL,LAL @ UTA,04/14/2014,2013-14,W,32,4,2,9,22.2,0,4,0.0,0,0,-,3,2,5,3,0,1,4,2,3
Jeremy Evans,UTA,UTA vs. LAL,04/14/2014,2013-14,L,24,3,1,3,33.3,0,0,-,1,2,50.0,2,3,5,3,0,0,1,0,-15
Richard Jefferson,UTA,UTA vs. LAL,04/14/2014,2013-14,L,21,5,2,6,33.3,1,3,33.3,0,0,-,0,1,1,0,1,0,0,2,0
Jordan Hill,LAL,LAL @ UTA,04/14/2014,2013-14,W,24,21,10,13,76.9,0,0,-,1,1,100,2,4,6,0,0,1,1,3,7
Wesley Johnson,LAL,LAL @ UTA,04/14/2014,2013-14,W,38,12,3,6,50.0,2,3,66.7,4,4,100,2,4,6,4,5,3,1,3,21
Kendall Marshall,LAL,LAL @ UTA,04/14/2014,2013-14,W,24,2,1,4,25.0,0,1,0.0,0,0,-,0,4,4,15,2,0,3,2,12
Derrick Favors,UTA,UTA vs. LAL,04/14/2014,2013-14,L,30,12,6,10,60.0,0,0,-,0,1,0.0,1,4,5,4,1,3,4,5,-13
Diante Garrett,UTA,UTA vs. LAL,04/14/2014,2013-14,L,14,2,1,3,33.3,0,1,0.0,0,0,-,0,1,1,3,1,0,0,1,4
Robert Sacre,LAL,LAL @ UTA,04/14/2014,2013-14,W,29,12,6,8,75.0,0,0,-,0,0,-,2,7,9,0,1,1,0,2,3
