Player,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Kelly Oubre Jr.,WAS,WAS vs. ATL,04/13/2016,2015-16,W,26,6,3,8,37.5,0,1,0.0,0,2,0.0,0,3,3,0,0,1,2,3,-3
Jeff Teague,ATL,ATL @ WAS,04/13/2016,2015-16,L,27,16,6,11,54.5,2,5,40.0,2,2,100,0,2,2,5,2,0,5,4,-20
JJ Hickson,WAS,WAS vs. ATL,04/13/2016,2015-16,W,19,6,2,7,28.6,0,0,-,2,8,25.0,5,7,12,1,0,1,1,1,-11
Jarell Eddie,WAS,WAS vs. ATL,04/13/2016,2015-16,W,21,7,2,5,40.0,1,3,33.3,2,2,100,1,4,5,1,1,0,0,1,-3
Marcus Thornton,WAS,WAS vs. ATL,04/13/2016,2015-16,W,26,14,6,14,42.9,1,4,25.0,1,1,100,0,5,5,2,1,0,1,1,16
Nene,WAS,WAS vs. ATL,04/13/2016,2015-16,W,29,19,8,12,66.7,0,0,-,3,5,60.0,3,5,8,8,3,0,3,3,22
Garrett Temple,WAS,WAS vs. ATL,04/13/2016,2015-16,W,16,12,4,7,57.1,2,4,50.0,2,3,66.7,0,1,1,1,1,1,6,0,-20
Ramon Sessions,WAS,WAS vs. ATL,04/13/2016,2015-16,W,34,22,9,16,56.3,3,5,60.0,1,2,50.0,0,4,4,6,1,0,5,5,29
Otto Porter Jr.,WAS,WAS vs. ATL,04/13/2016,2015-16,W,22,5,2,7,28.6,0,4,0.0,1,1,100,0,3,3,1,3,1,0,1,14
Kyle Korver,ATL,ATL @ WAS,04/13/2016,2015-16,L,29,3,1,5,20.0,1,4,25.0,0,0,-,0,0,0,1,0,0,2,2,-22
Tim Hardaway Jr.,ATL,ATL @ WAS,04/13/2016,2015-16,L,16,13,4,7,57.1,3,4,75.0,2,2,100,0,4,4,1,0,0,1,0,5
Al Horford,ATL,ATL @ WAS,04/13/2016,2015-16,L,30,19,6,10,60.0,2,5,40.0,5,5,100,0,8,8,2,1,1,2,2,-10
Mike Muscala,ATL,ATL @ WAS,04/13/2016,2015-16,L,10,6,2,4,50.0,0,0,-,2,2,100,1,0,1,1,0,1,0,3,7
Alan Anderson,WAS,WAS vs. ATL,04/13/2016,2015-16,W,12,3,1,4,25.0,1,3,33.3,0,0,-,0,4,4,1,1,0,0,4,-16
Dennis Schroder,ATL,ATL @ WAS,04/13/2016,2015-16,L,21,11,4,11,36.4,1,3,33.3,2,6,33.3,0,0,0,3,1,0,3,1,9
Kirk Hinrich,ATL,ATL @ WAS,04/13/2016,2015-16,L,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,3
Drew Gooden,WAS,WAS vs. ATL,04/13/2016,2015-16,W,2,1,0,0,-,0,0,-,1,2,50.0,0,0,0,0,1,0,0,0,-3
Paul Millsap,ATL,ATL @ WAS,04/13/2016,2015-16,L,31,13,4,14,28.6,0,2,0.0,5,6,83.3,4,7,11,1,2,3,4,3,-21
Kent Bazemore,ATL,ATL @ WAS,04/13/2016,2015-16,L,21,4,1,7,14.3,0,4,0.0,2,2,100,0,8,8,4,2,0,4,3,-24
Mike Scott,ATL,ATL @ WAS,04/13/2016,2015-16,L,17,10,3,4,75.0,2,2,100,2,2,100,2,1,3,1,0,0,0,1,2
Thabo Sefolosha,ATL,ATL @ WAS,04/13/2016,2015-16,L,24,0,0,5,0.0,0,1,0.0,0,2,0.0,1,6,7,2,2,0,1,1,13
Jared Dudley,WAS,WAS vs. ATL,04/13/2016,2015-16,W,33,14,5,8,62.5,1,4,25.0,3,4,75.0,2,4,6,4,2,0,1,3,30
Kris Humphries,ATL,ATL @ WAS,04/13/2016,2015-16,L,11,3,1,3,33.3,0,0,-,1,2,50.0,1,2,3,1,3,0,0,1,3
Courtney Lee,CHA,CHA vs. ORL,04/13/2016,2015-16,W,14,7,3,9,33.3,1,3,33.3,0,0,-,0,1,1,2,2,0,0,0,13
Elfrid Payton,ORL,ORL @ CHA,04/13/2016,2015-16,L,25,2,1,5,20.0,0,2,0.0,0,2,0.0,1,3,4,7,1,0,2,1,-5
Devyn Marble,ORL,ORL @ CHA,04/13/2016,2015-16,L,20,2,1,6,16.7,0,4,0.0,0,2,0.0,0,6,6,2,1,0,0,2,-3
Kemba Walker,CHA,CHA vs. ORL,04/13/2016,2015-16,W,18,2,1,6,16.7,0,4,0.0,0,0,-,0,1,1,8,0,0,0,1,16
Aaron Harrison,CHA,CHA vs. ORL,04/13/2016,2015-16,W,16,6,2,3,66.7,1,1,100,1,2,50.0,0,5,5,1,1,0,0,3,3
Jeremy Lin,CHA,CHA vs. ORL,04/13/2016,2015-16,W,21,10,4,7,57.1,2,3,66.7,0,0,-,1,3,4,4,0,0,1,1,5
Mario Hezonja,ORL,ORL @ CHA,04/13/2016,2015-16,L,42,10,3,11,27.3,1,7,14.3,3,3,100,0,5,5,4,1,0,0,2,-13
Jeremy Lamb,CHA,CHA vs. ORL,04/13/2016,2015-16,W,30,12,6,10,60.0,0,3,0.0,0,0,-,1,8,9,2,1,3,3,2,-4
Nikola Vucevic,ORL,ORL @ CHA,04/13/2016,2015-16,L,20,17,8,13,61.5,0,0,-,1,2,50.0,0,4,4,1,0,0,0,2,-3
Ersan Ilyasova,ORL,ORL @ CHA,04/13/2016,2015-16,L,20,7,3,8,37.5,1,2,50.0,0,0,-,2,5,7,0,0,0,2,1,-11
Shabazz Napier,ORL,ORL @ CHA,04/13/2016,2015-16,L,4,4,1,2,50.0,1,2,50.0,1,2,50.0,0,0,0,0,0,0,0,0,-3
Andrew Nicholson,ORL,ORL @ CHA,04/13/2016,2015-16,L,4,0,0,1,0.0,0,0,-,0,0,-,1,0,1,0,0,0,0,0,-3
Dewayne Dedmon,ORL,ORL @ CHA,04/13/2016,2015-16,L,12,4,2,2,100,0,0,-,0,0,-,0,4,4,0,0,2,2,3,-3
C.J. Watson,ORL,ORL @ CHA,04/13/2016,2015-16,L,19,7,3,5,60.0,0,1,0.0,1,1,100,0,0,0,3,0,0,2,0,-6
Troy Daniels,CHA,CHA vs. ORL,04/13/2016,2015-16,W,27,13,5,9,55.6,3,7,42.9,0,0,-,0,3,3,4,1,0,2,1,3
Evan Fournier,ORL,ORL @ CHA,04/13/2016,2015-16,L,34,22,8,14,57.1,4,5,80.0,2,2,100,0,2,2,3,2,0,2,3,-12
Al Jefferson,CHA,CHA vs. ORL,04/13/2016,2015-16,W,23,26,11,15,73.3,0,0,-,4,6,66.7,0,4,4,2,0,1,0,1,1
Jason Smith,ORL,ORL @ CHA,04/13/2016,2015-16,L,16,6,3,7,42.9,0,0,-,0,0,-,0,1,1,1,0,1,0,3,-8
Tyler Hansbrough,CHA,CHA vs. ORL,04/13/2016,2015-16,W,12,8,2,3,66.7,0,0,-,4,6,66.7,0,1,1,1,0,0,1,2,7
Jorge Gutierrez,CHA,CHA vs. ORL,04/13/2016,2015-16,W,18,4,2,6,33.3,0,2,0.0,0,0,-,0,4,4,4,0,0,1,1,6
Marvin Williams,CHA,CHA vs. ORL,04/13/2016,2015-16,W,10,11,4,5,80.0,2,3,66.7,1,1,100,0,4,4,0,0,0,0,0,12
Aaron Gordon,ORL,ORL @ CHA,04/13/2016,2015-16,L,24,22,9,17,52.9,1,4,25.0,3,4,75.0,1,4,5,1,2,1,0,1,0
Cody Zeller,CHA,CHA vs. ORL,04/13/2016,2015-16,W,13,3,1,2,50.0,0,0,-,1,2,50.0,1,2,3,0,1,0,0,1,6
Spencer Hawes,CHA,CHA vs. ORL,04/13/2016,2015-16,W,18,12,5,6,83.3,2,2,100,0,0,-,2,3,5,3,0,1,0,1,-3
Frank Kaminsky,CHA,CHA vs. ORL,04/13/2016,2015-16,W,20,3,1,5,20.0,0,1,0.0,1,2,50.0,0,2,2,1,0,0,1,0,5
Toney Douglas,NOP,NOP @ MIN,04/13/2016,2015-16,L,42,22,6,13,46.2,2,5,40.0,8,8,100,3,1,4,5,4,0,3,2,-21
Tyus Jones,MIN,MIN vs. NOP,04/13/2016,2015-16,W,26,9,3,5,60.0,1,2,50.0,2,4,50.0,0,1,1,12,1,0,0,0,14
Zach LaVine,MIN,MIN vs. NOP,04/13/2016,2015-16,W,31,19,8,16,50.0,3,9,33.3,0,0,-,0,2,2,5,2,1,3,1,26
Gorgui Dieng,MIN,MIN vs. NOP,04/13/2016,2015-16,W,33,20,7,8,87.5,2,2,100,4,4,100,4,7,11,4,0,2,1,3,38
James Ennis III,NOP,NOP @ MIN,04/13/2016,2015-16,L,40,28,11,20,55.0,6,11,54.5,0,0,-,1,1,2,0,1,0,0,4,-16
Dante Cunningham,NOP,NOP @ MIN,04/13/2016,2015-16,L,35,17,6,14,42.9,2,6,33.3,3,4,75.0,0,0,0,2,0,0,1,3,-28
Damjan Rudez,MIN,MIN vs. NOP,04/13/2016,2015-16,W,9,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,0,2,-3
Omer Asik,NOP,NOP @ MIN,04/13/2016,2015-16,L,32,24,10,13,76.9,0,0,-,4,6,66.7,3,8,11,1,1,0,2,1,-14
Greg Smith,MIN,MIN vs. NOP,04/13/2016,2015-16,W,6,0,0,0,-,0,0,-,0,0,-,0,1,1,0,1,0,1,1,-4
Ricky Rubio,MIN,MIN vs. NOP,04/13/2016,2015-16,W,22,7,1,3,33.3,1,2,50.0,4,4,100,0,4,4,10,5,0,2,3,21
Nemanja Bjelica,MIN,MIN vs. NOP,04/13/2016,2015-16,W,19,10,4,5,80.0,2,3,66.7,0,0,-,0,3,3,3,3,1,1,4,16
Tim Frazier,NOP,NOP @ MIN,04/13/2016,2015-16,L,36,6,3,15,20.0,0,2,0.0,0,0,-,1,3,4,15,1,0,3,4,-21
Andrew Wiggins,MIN,MIN vs. NOP,04/13/2016,2015-16,W,33,21,8,14,57.1,1,2,50.0,4,6,66.7,1,3,4,0,0,2,0,1,27
