Player,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Mike Bibby,NYK,NYK @ CHA,04/26/2012,2011-12,W,37,3,1,4,25.0,1,3,33.3,0,0,-,1,3,4,12,1,0,1,1,15
Byron Mullens,CHA,CHA vs. NYK,04/26/2012,2011-12,L,19,5,2,6,33.3,1,3,33.3,0,0,-,1,5,6,1,0,0,1,3,-12
Steve Novak,NYK,NYK @ CHA,04/26/2012,2011-12,W,32,9,3,7,42.9,3,6,50.0,0,0,-,0,6,6,1,1,0,1,3,16
Landry Fields,NYK,NYK @ CHA,04/26/2012,2011-12,W,31,6,3,10,30.0,0,2,0.0,0,0,-,0,5,5,7,0,0,1,3,7
Cory Higgins,CHA,CHA vs. NYK,04/26/2012,2011-12,L,6,1,0,2,0.0,0,0,-,1,2,50.0,0,0,0,0,1,0,1,0,0
Tyrus Thomas,CHA,CHA vs. NYK,04/26/2012,2011-12,L,21,9,4,8,50.0,1,1,100,0,0,-,1,0,1,0,0,1,0,3,-10
Bismack Biyombo,CHA,CHA vs. NYK,04/26/2012,2011-12,L,25,5,2,3,66.7,0,0,-,1,4,25.0,2,1,3,0,0,5,2,3,-11
Matt Carroll,CHA,CHA vs. NYK,04/26/2012,2011-12,L,6,1,0,1,0.0,0,0,-,1,2,50.0,0,1,1,0,1,0,0,0,0
Dan Gadzuric,NYK,NYK @ CHA,04/26/2012,2011-12,W,6,0,0,2,0.0,0,0,-,0,2,0.0,1,2,3,0,1,1,1,2,0
Gerald Henderson,CHA,CHA vs. NYK,04/26/2012,2011-12,L,37,21,7,12,58.3,0,1,0.0,7,10,70.0,1,6,7,4,0,0,2,1,-20
Iman Shumpert,NYK,NYK @ CHA,04/26/2012,2011-12,W,21,12,4,8,50.0,1,3,33.3,3,4,75.0,0,0,0,2,1,0,2,4,7
Jerome Jordan,NYK,NYK @ CHA,04/26/2012,2011-12,W,24,13,6,11,54.5,0,0,-,1,2,50.0,2,2,4,0,0,1,0,2,6
Josh Harrellson,NYK,NYK @ CHA,04/26/2012,2011-12,W,30,18,8,12,66.7,2,3,66.7,0,0,-,2,7,9,0,0,2,1,1,17
JR Smith,NYK,NYK @ CHA,04/26/2012,2011-12,W,36,22,10,16,62.5,1,3,33.3,1,2,50.0,0,3,3,6,3,0,1,3,18
DJ White,CHA,CHA vs. NYK,04/26/2012,2011-12,L,28,11,5,9,55.6,0,0,-,1,2,50.0,1,6,7,2,1,1,1,2,-10
DeSagana Diop,CHA,CHA vs. NYK,04/26/2012,2011-12,L,20,2,1,1,100,0,0,-,0,0,-,2,1,3,0,0,1,0,1,-1
D.J. Augustin,CHA,CHA vs. NYK,04/26/2012,2011-12,L,32,12,5,15,33.3,2,6,33.3,0,0,-,0,1,1,7,0,0,4,0,-8
Jamario Moon,CHA,CHA vs. NYK,04/26/2012,2011-12,L,23,4,2,5,40.0,0,1,0.0,0,0,-,0,8,8,2,0,1,2,0,-12
Amar'e Stoudemire,NYK,NYK @ CHA,04/26/2012,2011-12,W,24,21,9,15,60.0,0,0,-,3,5,60.0,0,2,2,3,0,2,1,2,14
Kemba Walker,CHA,CHA vs. NYK,04/26/2012,2011-12,L,25,13,4,12,33.3,2,4,50.0,3,6,50.0,0,2,2,4,2,0,1,3,-16
Justin Harper,ORL,ORL @ MEM,04/26/2012,2011-12,L,32,16,7,18,38.9,2,8,25.0,0,1,0.0,3,4,7,1,1,2,1,2,-5
Von Wafer,ORL,ORL @ MEM,04/26/2012,2011-12,L,41,11,4,13,30.8,0,4,0.0,3,4,75.0,1,2,3,2,2,0,1,1,-2
Mike Conley,MEM,MEM vs. ORL,04/26/2012,2011-12,W,32,0,0,5,0.0,0,0,-,0,0,-,0,1,1,3,1,0,1,1,14
DeAndre Liggins,ORL,ORL @ MEM,04/26/2012,2011-12,L,26,7,3,6,50.0,0,1,0.0,1,2,50.0,2,3,5,0,0,0,2,4,-9
Marc Gasol,MEM,MEM vs. ORL,04/26/2012,2011-12,W,32,22,8,13,61.5,0,1,0.0,6,6,100,0,6,6,1,0,3,1,3,22
Earl Clark,ORL,ORL @ MEM,04/26/2012,2011-12,L,38,8,3,11,27.3,0,0,-,2,2,100,1,8,9,1,1,4,1,3,-23
Daniel Orton,ORL,ORL @ MEM,04/26/2012,2011-12,L,26,7,3,3,100,0,0,-,1,2,50.0,0,2,2,3,1,2,2,4,4
Jeremy Pargo,MEM,MEM vs. ORL,04/26/2012,2011-12,W,3,1,0,1,0.0,0,1,0.0,1,2,50.0,0,1,1,0,0,0,0,1,-4
Tony Allen,MEM,MEM vs. ORL,04/26/2012,2011-12,W,22,8,3,6,50.0,0,0,-,2,2,100,1,4,5,2,2,0,0,2,13
Lester Hudson,MEM,MEM vs. ORL,04/26/2012,2011-12,W,3,0,0,2,0.0,0,0,-,0,0,-,0,0,0,0,0,0,1,0,-5
Hedo Turkoglu,ORL,ORL @ MEM,04/26/2012,2011-12,L,30,18,7,13,53.8,4,9,44.4,0,0,-,0,2,2,1,1,0,2,1,-13
Quincy Pondexter,MEM,MEM vs. ORL,04/26/2012,2011-12,W,10,2,1,3,33.3,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,1
Dante Cunningham,MEM,MEM vs. ORL,04/26/2012,2011-12,W,21,4,2,4,50.0,0,0,-,0,0,-,1,1,2,0,0,0,1,0,-11
Gilbert Arenas,MEM,MEM vs. ORL,04/26/2012,2011-12,W,13,1,0,3,0.0,0,2,0.0,1,2,50.0,0,2,2,2,0,0,0,2,2
Zach Randolph,MEM,MEM vs. ORL,04/26/2012,2011-12,W,26,13,6,12,50.0,0,0,-,1,2,50.0,6,6,12,3,0,0,3,1,16
Rudy Gay,MEM,MEM vs. ORL,04/26/2012,2011-12,W,34,20,8,11,72.7,1,4,25.0,3,4,75.0,0,5,5,0,2,1,3,1,7
Chris Duhon,ORL,ORL @ MEM,04/26/2012,2011-12,L,27,5,2,5,40.0,1,3,33.3,0,0,-,0,2,2,3,2,0,3,2,-9
Ish Smith,ORL,ORL @ MEM,04/26/2012,2011-12,L,21,4,1,4,25.0,0,1,0.0,2,4,50.0,1,3,4,3,1,0,1,2,-3
O.J. Mayo,MEM,MEM vs. ORL,04/26/2012,2011-12,W,27,15,5,9,55.6,1,3,33.3,4,4,100,1,6,7,6,1,1,2,3,8
Marreese Speights,MEM,MEM vs. ORL,04/26/2012,2011-12,W,14,2,1,3,33.3,0,0,-,0,0,-,0,2,2,1,0,0,1,1,2
Hamed Haddadi,MEM,MEM vs. ORL,04/26/2012,2011-12,W,3,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,1,1,-5
Johan Petro,NJN,NJN @ TOR,04/26/2012,2011-12,L,39,9,4,9,44.4,0,0,-,1,2,50.0,3,9,12,2,0,0,2,4,-22
Armon Johnson,NJN,NJN @ TOR,04/26/2012,2011-12,L,34,11,3,10,30.0,1,3,33.3,4,4,100,1,2,3,5,4,0,1,2,-9
Ben Uzoh,TOR,TOR vs. NJN,04/26/2012,2011-12,W,46,12,6,19,31.6,0,0,-,0,0,-,4,7,11,12,4,1,2,3,33
Jamaal Magloire,TOR,TOR vs. NJN,04/26/2012,2011-12,W,5,0,0,0,-,0,0,-,0,0,-,1,3,4,0,0,0,0,0,15
Gerald Green,NJN,NJN @ TOR,04/26/2012,2011-12,L,25,10,4,13,30.8,2,3,66.7,0,1,0.0,0,5,5,2,0,1,3,2,-13
James Johnson,TOR,TOR vs. NJN,04/26/2012,2011-12,W,19,8,4,7,57.1,0,1,0.0,0,0,-,0,2,2,2,0,0,4,1,18
Jordan Williams,NJN,NJN @ TOR,04/26/2012,2011-12,L,39,10,5,13,38.5,0,0,-,0,0,-,5,5,10,0,0,1,2,4,-12
MarShon Brooks,NJN,NJN @ TOR,04/26/2012,2011-12,L,31,9,4,17,23.5,0,0,-,1,1,100,2,2,4,1,2,0,3,2,-25
Anthony Morrow,NJN,NJN @ TOR,04/26/2012,2011-12,L,29,11,4,12,33.3,3,7,42.9,0,0,-,0,2,2,2,0,0,3,1,-24
Gary Forbes,TOR,TOR vs. NJN,04/26/2012,2011-12,W,41,23,8,21,38.1,5,9,55.6,2,4,50.0,0,6,6,3,2,0,1,2,18
Ed Davis,TOR,TOR vs. NJN,04/26/2012,2011-12,W,43,24,10,15,66.7,0,0,-,4,5,80.0,4,8,12,2,1,1,3,3,25
DeShawn Stevenson,NJN,NJN @ TOR,04/26/2012,2011-12,L,20,0,0,4,0.0,0,3,0.0,0,0,-,0,1,1,1,1,0,1,0,-32
Sundiata Gaines,NJN,NJN @ TOR,04/26/2012,2011-12,L,23,7,1,5,20.0,0,2,0.0,5,8,62.5,1,1,2,2,2,0,0,0,-18
Solomon Alabi,TOR,TOR vs. NJN,04/26/2012,2011-12,W,40,11,3,10,30.0,0,0,-,5,6,83.3,5,14,19,0,0,3,0,1,14
Alan Anderson,TOR,TOR vs. NJN,04/26/2012,2011-12,W,45,20,6,16,37.5,5,9,55.6,3,3,100,1,3,4,4,0,0,3,2,32
Joel Anthony,MIA,MIA @ WAS,04/26/2012,2011-12,L,6,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-4
Brian Cook,WAS,WAS vs. MIA,04/26/2012,2011-12,W,7,4,2,3,66.7,0,1,0.0,0,0,-,1,0,1,0,0,0,0,1,4
Cartier Martin,WAS,WAS vs. MIA,04/26/2012,2011-12,W,22,12,4,8,50.0,2,4,50.0,2,4,50.0,1,2,3,0,2,0,1,1,10
Eddy Curry,MIA,MIA @ WAS,04/26/2012,2011-12,L,24,10,3,7,42.9,0,0,-,4,6,66.7,1,3,4,0,0,1,4,2,-20
Jan Vesely,WAS,WAS vs. MIA,04/26/2012,2011-12,W,23,11,5,7,71.4,0,0,-,1,2,50.0,2,6,8,1,3,1,1,0,17
Mario Chalmers,MIA,MIA @ WAS,04/26/2012,2011-12,L,17,8,3,9,33.3,0,4,0.0,2,2,100,0,1,1,2,0,0,3,0,-11
Shelvin Mack,WAS,WAS vs. MIA,04/26/2012,2011-12,W,23,6,2,2,100,0,0,-,2,2,100,0,2,2,7,0,0,6,2,15
Mike Miller,MIA,MIA @ WAS,04/26/2012,2011-12,L,17,8,3,4,75.0,1,2,50.0,1,2,50.0,0,3,3,1,0,1,3,2,-9
Morris Almond,WAS,WAS vs. MIA,04/26/2012,2011-12,W,26,5,2,6,33.3,0,0,-,1,2,50.0,0,4,4,1,5,0,1,4,24
James Singleton,WAS,WAS vs. MIA,04/26/2012,2011-12,W,22,4,2,4,50.0,0,0,-,0,0,-,1,7,8,3,0,0,1,3,18
Kevin Seraphin,WAS,WAS vs. MIA,04/26/2012,2011-12,W,25,15,6,10,60.0,0,0,-,3,4,75.0,1,2,3,0,0,0,1,1,16
Norris Cole,MIA,MIA @ WAS,04/26/2012,2011-12,L,31,14,6,10,60.0,0,0,-,2,2,100,0,0,0,2,0,0,4,1,-23
Udonis Haslem,MIA,MIA @ WAS,04/26/2012,2011-12,L,19,6,2,5,40.0,0,0,-,2,2,100,2,2,4,1,1,1,0,0,-11
Nene,WAS,WAS vs. MIA,04/26/2012,2011-12,W,19,15,6,7,85.7,0,0,-,3,5,60.0,1,6,7,3,0,2,2,2,13
Ronny Turiaf,MIA,MIA @ WAS,04/26/2012,2011-12,L,18,5,1,2,50.0,0,0,-,3,4,75.0,1,4,5,1,3,1,1,3,-10
Maurice Evans,WAS,WAS vs. MIA,04/26/2012,2011-12,W,23,18,7,13,53.8,2,3,66.7,2,3,66.7,0,0,0,0,1,0,0,2,19
John Wall,WAS,WAS vs. MIA,04/26/2012,2011-12,W,25,7,3,8,37.5,0,0,-,1,2,50.0,0,2,2,12,2,0,2,2,19
James Jones,MIA,MIA @ WAS,04/26/2012,2011-12,L,29,8,3,9,33.3,1,5,20.0,1,2,50.0,0,2,2,0,0,0,1,2,-23
Juwan Howard,MIA,MIA @ WAS,04/26/2012,2011-12,L,29,2,1,7,14.3,0,0,-,0,0,-,1,4,5,0,0,1,2,2,-23
Chris Singleton,WAS,WAS vs. MIA,04/26/2012,2011-12,W,25,7,3,8,37.5,1,2,50.0,0,0,-,0,5,5,0,2,0,1,3,15
Terrel Harris,MIA,MIA @ WAS,04/26/2012,2011-12,L,31,6,1,9,11.1,1,5,20.0,3,4,75.0,2,3,5,3,0,0,3,2,-25
Shane Battier,MIA,MIA @ WAS,04/26/2012,2011-12,L,19,3,1,4,25.0,1,2,50.0,0,0,-,0,2,2,1,3,0,1,1,-11
Jordan Hamilton,DEN,DEN @ MIN,04/26/2012,2011-12,W,12,8,4,7,57.1,0,1,0.0,0,0,-,1,4,5,2,0,0,1,0,5
Derrick Williams,MIN,MIN vs. DEN,04/26/2012,2011-12,L,15,4,1,5,20.0,0,2,0.0,2,2,100,0,2,2,0,1,0,0,0,-5
Michael Beasley,MIN,MIN vs. DEN,04/26/2012,2011-12,L,24,13,5,12,41.7,0,2,0.0,3,4,75.0,0,1,1,1,0,0,4,2,-21
Corey Brewer,DEN,DEN @ MIN,04/26/2012,2011-12,W,28,12,5,10,50.0,1,1,100,1,2,50.0,0,1,1,3,1,0,1,2,19
Anthony Tolliver,MIN,MIN vs. DEN,04/26/2012,2011-12,L,17,3,1,4,25.0,1,3,33.3,0,0,-,1,3,4,1,0,0,0,2,-20
Wesley Johnson,MIN,MIN vs. DEN,04/26/2012,2011-12,L,19,6,2,3,66.7,2,2,100,0,0,-,0,0,0,2,0,2,0,1,-8
Timofey Mozgov,DEN,DEN @ MIN,04/26/2012,2011-12,W,13,15,7,8,87.5,0,0,-,1,1,100,1,3,4,0,1,2,4,4,0
Wayne Ellington,MIN,MIN vs. DEN,04/26/2012,2011-12,L,23,12,5,12,41.7,2,5,40.0,0,0,-,0,2,2,1,1,0,0,3,-7
Nikola Pekovic,MIN,MIN vs. DEN,04/26/2012,2011-12,L,25,18,8,12,66.7,0,0,-,2,5,40.0,5,5,10,0,1,1,0,2,-22
J.J. Barea,MIN,MIN vs. DEN,04/26/2012,2011-12,L,31,20,7,13,53.8,3,6,50.0,3,4,75.0,0,1,1,5,0,0,4,1,-16
Malcolm Lee,MIN,MIN vs. DEN,04/26/2012,2011-12,L,20,2,1,6,16.7,0,1,0.0,0,0,-,2,0,2,2,0,0,0,1,-14
Martell Webster,MIN,MIN vs. DEN,04/26/2012,2011-12,L,28,11,5,10,50.0,1,4,25.0,0,0,-,0,1,1,3,0,0,2,1,-21
Kenneth Faried,DEN,DEN @ MIN,04/26/2012,2011-12,W,32,15,7,13,53.8,0,0,-,1,2,50.0,5,2,7,3,0,0,3,5,11
Kosta Koufos,DEN,DEN @ MIN,04/26/2012,2011-12,W,26,7,3,5,60.0,0,0,-,1,2,50.0,2,9,11,0,1,0,0,4,23
Anthony Randolph,MIN,MIN vs. DEN,04/26/2012,2011-12,L,21,9,4,9,44.4,0,0,-,1,2,50.0,0,2,2,3,0,1,1,0,-10
Brad Miller,MIN,MIN vs. DEN,04/26/2012,2011-12,L,17,4,1,3,33.3,1,2,50.0,1,2,50.0,0,4,4,4,2,0,2,1,-1
Andre Miller,DEN,DEN @ MIN,04/26/2012,2011-12,W,21,5,2,5,40.0,0,2,0.0,1,2,50.0,0,3,3,10,1,0,4,2,10
Ty Lawson,DEN,DEN @ MIN,04/26/2012,2011-12,W,25,15,7,10,70.0,1,3,33.3,0,1,0.0,2,2,4,4,2,0,0,0,28
JaVale McGee,DEN,DEN @ MIN,04/26/2012,2011-12,W,18,19,9,12,75.0,0,0,-,1,1,100,0,5,5,0,0,1,1,4,17
Danilo Gallinari,DEN,DEN @ MIN,04/26/2012,2011-12,W,27,17,5,7,71.4,0,0,-,7,8,87.5,0,3,3,4,1,1,0,0,17
Julyan Stone,DEN,DEN @ MIN,04/26/2012,2011-12,W,8,0,0,0,-,0,0,-,0,0,-,0,1,1,3,1,0,0,0,2
Arron Afflalo,DEN,DEN @ MIN,04/26/2012,2011-12,W,30,18,7,12,58.3,3,3,100,1,1,100,1,3,4,1,1,0,2,1,13
Chuck Hayes,SAC,SAC vs. LAL,04/26/2012,2011-12,W,8,2,1,2,50.0,0,0,-,0,0,-,0,0,0,0,1,0,1,0,0
Jordan Hill,LAL,LAL @ SAC,04/26/2012,2011-12,L,30,8,4,12,33.3,0,0,-,0,0,-,2,6,8,2,3,1,2,4,-12
Jimmer Fredette,SAC,SAC vs. LAL,04/26/2012,2011-12,W,24,10,4,10,40.0,2,4,50.0,0,0,-,0,1,1,3,0,1,0,1,2
Tyler Honeycutt,SAC,SAC vs. LAL,04/26/2012,2011-12,W,15,7,3,5,60.0,1,1,100,0,0,-,1,4,5,2,0,0,0,0,-4
Travis Outlaw,SAC,SAC vs. LAL,04/26/2012,2011-12,W,28,11,4,10,40.0,2,4,50.0,1,2,50.0,1,1,2,0,0,2,1,0,17
Francisco Garcia,SAC,SAC vs. LAL,04/26/2012,2011-12,W,12,2,1,4,25.0,0,1,0.0,0,0,-,0,5,5,1,0,1,0,2,2
Devin Ebanks,LAL,LAL @ SAC,04/26/2012,2011-12,L,29,14,7,11,63.6,0,0,-,0,0,-,2,3,5,0,0,1,2,1,-20
Isaiah Thomas,SAC,SAC vs. LAL,04/26/2012,2011-12,W,26,11,5,6,83.3,1,1,100,0,0,-,0,1,1,7,0,0,1,2,13
Andrew Goudelock,LAL,LAL @ SAC,04/26/2012,2011-12,L,25,11,4,12,33.3,3,5,60.0,0,0,-,0,5,5,2,0,0,2,1,-3
Jason Thompson,SAC,SAC vs. LAL,04/26/2012,2011-12,W,36,17,7,11,63.6,0,0,-,3,4,75.0,3,7,10,3,2,2,0,0,22
DeMarcus Cousins,SAC,SAC vs. LAL,04/26/2012,2011-12,W,38,23,9,19,47.4,0,1,0.0,5,7,71.4,8,11,19,2,1,0,1,5,19
Darius Morris,LAL,LAL @ SAC,04/26/2012,2011-12,L,21,9,4,10,40.0,1,3,33.3,0,0,-,0,3,3,5,0,0,2,2,3
Tyreke Evans,SAC,SAC vs. LAL,04/26/2012,2011-12,W,31,21,9,14,64.3,0,1,0.0,3,4,75.0,1,3,4,2,1,0,4,0,17
Terrence Williams,SAC,SAC vs. LAL,04/26/2012,2011-12,W,10,4,2,4,50.0,0,0,-,0,0,-,0,1,1,1,1,1,0,0,2
Steve Blake,LAL,LAL @ SAC,04/26/2012,2011-12,L,23,4,1,5,20.0,1,2,50.0,1,2,50.0,0,0,0,6,0,0,0,0,-14
Christian Eyenga,LAL,LAL @ SAC,04/26/2012,2011-12,L,19,8,3,6,50.0,0,1,0.0,2,2,100,1,1,2,1,0,1,1,0,3
Josh McRoberts,LAL,LAL @ SAC,04/26/2012,2011-12,L,38,16,6,12,50.0,2,3,66.7,2,2,100,2,7,9,4,0,0,2,3,-14
Donte Greene,SAC,SAC vs. LAL,04/26/2012,2011-12,W,12,5,2,7,28.6,0,2,0.0,1,1,100,0,0,0,0,0,0,0,0,-5
Ramon Sessions,LAL,LAL @ SAC,04/26/2012,2011-12,L,27,14,6,13,46.2,0,1,0.0,2,3,66.7,1,2,3,4,0,0,3,1,-20
Troy Murphy,LAL,LAL @ SAC,04/26/2012,2011-12,L,29,12,6,10,60.0,0,0,-,0,0,-,3,3,6,3,1,0,1,2,-8
Dominique Jones,DAL,DAL @ ATL,04/26/2012,2011-12,L,16,3,0,5,0.0,0,1,0.0,3,4,75.0,1,5,6,2,0,0,1,0,0
Brandan Wright,DAL,DAL @ ATL,04/26/2012,2011-12,L,17,6,3,7,42.9,0,0,-,0,2,0.0,0,4,4,0,1,1,0,1,1
Jason Terry,DAL,DAL @ ATL,04/26/2012,2011-12,L,26,11,3,9,33.3,1,4,25.0,4,4,100,0,5,5,5,0,0,0,1,-7
Jeff Teague,ATL,ATL vs. DAL,04/26/2012,2011-12,W,28,17,7,11,63.6,3,4,75.0,0,0,-,0,2,2,5,1,0,0,0,12
Brendan Haywood,DAL,DAL @ ATL,04/26/2012,2011-12,L,14,4,2,2,100,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-14
Marvin Williams,ATL,ATL vs. DAL,04/26/2012,2011-12,W,23,6,2,9,22.2,1,3,33.3,1,1,100,0,2,2,2,1,0,2,0,13
Brian Cardinal,DAL,DAL @ ATL,04/26/2012,2011-12,L,5,2,1,2,50.0,0,1,0.0,0,0,-,1,0,1,0,0,0,0,0,-4
Vladimir Radmanovic,ATL,ATL vs. DAL,04/26/2012,2011-12,W,9,2,1,3,33.3,0,1,0.0,0,0,-,0,0,0,1,1,0,1,1,-8
Erick Dampier,ATL,ATL vs. DAL,04/26/2012,2011-12,W,5,0,0,0,-,0,0,-,0,0,-,1,3,4,0,0,0,0,1,-5
Dirk Nowitzki,DAL,DAL @ ATL,04/26/2012,2011-12,L,26,22,7,12,58.3,1,1,100,7,7,100,0,3,3,1,0,0,4,2,-7
Jerry Stackhouse,ATL,ATL vs. DAL,04/26/2012,2011-12,W,12,2,1,5,20.0,0,2,0.0,0,0,-,0,0,0,0,0,1,2,1,-12
Joe Johnson,ATL,ATL vs. DAL,04/26/2012,2011-12,W,24,15,7,11,63.6,1,4,25.0,0,0,-,0,4,4,3,0,1,3,0,15
Willie Green,ATL,ATL vs. DAL,04/26/2012,2011-12,W,22,11,4,8,50.0,2,3,66.7,1,1,100,0,0,0,2,0,0,2,4,6
Tracy McGrady,ATL,ATL vs. DAL,04/26/2012,2011-12,W,14,2,1,3,33.3,0,2,0.0,0,0,-,1,7,8,4,0,0,0,0,10
Shawn Marion,DAL,DAL @ ATL,04/26/2012,2011-12,L,27,4,2,8,25.0,0,1,0.0,0,2,0.0,3,5,8,3,1,0,1,1,-15
Delonte West,DAL,DAL @ ATL,04/26/2012,2011-12,L,21,3,1,4,25.0,1,1,100,0,0,-,1,2,3,0,0,0,1,0,-16
Josh Smith,ATL,ATL vs. DAL,04/26/2012,2011-12,W,28,23,10,14,71.4,0,1,0.0,3,4,75.0,2,7,9,7,1,0,1,4,12
Ivan Johnson,ATL,ATL vs. DAL,04/26/2012,2011-12,W,22,10,4,6,66.7,0,1,0.0,2,3,66.7,1,5,6,1,2,1,1,4,13
Vince Carter,DAL,DAL @ ATL,04/26/2012,2011-12,L,23,6,3,7,42.9,0,2,0.0,0,0,-,1,0,1,3,2,0,2,0,-6
Kirk Hinrich,ATL,ATL vs. DAL,04/26/2012,2011-12,W,36,12,5,11,45.5,2,6,33.3,0,0,-,0,5,5,3,2,0,1,1,17
Kelenna Azubuike,DAL,DAL @ ATL,04/26/2012,2011-12,L,8,7,3,5,60.0,1,1,100,0,0,-,0,0,0,0,1,0,2,1,0
Rodrigue Beaubois,DAL,DAL @ ATL,04/26/2012,2011-12,L,34,13,5,12,41.7,1,3,33.3,2,2,100,1,4,5,6,0,1,4,1,-11
Yi Jianlian,DAL,DAL @ ATL,04/26/2012,2011-12,L,7,4,1,2,50.0,0,0,-,2,2,100,0,1,1,0,3,0,1,0,-2
Jason Collins,ATL,ATL vs. DAL,04/26/2012,2011-12,W,16,6,3,4,75.0,0,0,-,0,0,-,0,1,1,0,0,0,0,1,12
Ian Mahinmi,DAL,DAL @ ATL,04/26/2012,2011-12,L,17,4,2,3,66.7,0,0,-,0,0,-,1,2,3,0,1,1,0,4,-4
DeMarre Carroll,UTA,UTA vs. POR,04/26/2012,2011-12,W,23,3,1,9,11.1,1,3,33.3,0,0,-,1,3,4,0,0,0,1,1,-4
Craig Smith,POR,POR @ UTA,04/26/2012,2011-12,L,7,7,2,4,50.0,0,0,-,3,3,100,0,1,1,0,0,0,0,1,5
Blake Ahearn,UTA,UTA vs. POR,04/26/2012,2011-12,W,15,7,3,8,37.5,1,4,25.0,0,0,-,0,0,0,0,0,0,3,2,-11
Enes Kanter,UTA,UTA vs. POR,04/26/2012,2011-12,W,34,12,4,8,50.0,0,0,-,4,7,57.1,3,7,10,1,1,2,1,3,-1
Gordon Hayward,UTA,UTA vs. POR,04/26/2012,2011-12,W,7,3,1,3,33.3,1,3,33.3,0,0,-,0,0,0,0,0,0,0,0,6
Josh Howard,UTA,UTA vs. POR,04/26/2012,2011-12,W,25,12,5,10,50.0,1,1,100,1,2,50.0,1,5,6,1,0,1,1,1,7
Kurt Thomas,POR,POR @ UTA,04/26/2012,2011-12,L,26,10,5,7,71.4,0,0,-,0,0,-,0,6,6,4,3,1,1,2,7
Wesley Matthews,POR,POR @ UTA,04/26/2012,2011-12,L,44,14,4,18,22.2,3,11,27.3,3,3,100,0,4,4,2,1,0,1,2,-3
Joel Przybilla,POR,POR @ UTA,04/26/2012,2011-12,L,17,2,0,1,0.0,0,0,-,2,2,100,1,3,4,0,0,0,1,4,-7
Al Jefferson,UTA,UTA vs. POR,04/26/2012,2011-12,W,10,5,2,5,40.0,0,0,-,1,2,50.0,0,4,4,0,0,0,0,0,7
Luke Babbitt,POR,POR @ UTA,04/26/2012,2011-12,L,38,7,3,11,27.3,1,8,12.5,0,0,-,1,4,5,0,0,0,2,3,-5
Devin Harris,UTA,UTA vs. POR,04/26/2012,2011-12,W,12,4,1,5,20.0,1,3,33.3,1,2,50.0,0,2,2,3,3,0,3,1,7
Derrick Favors,UTA,UTA vs. POR,04/26/2012,2011-12,W,24,15,5,10,50.0,0,0,-,5,5,100,1,4,5,1,0,1,0,2,3
Raja Bell,UTA,UTA vs. POR,04/26/2012,2011-12,W,18,0,0,5,0.0,0,3,0.0,0,0,-,0,1,1,1,1,0,0,0,8
JJ Hickson,POR,POR @ UTA,04/26/2012,2011-12,L,39,20,10,13,76.9,0,0,-,0,2,0.0,2,7,9,0,2,2,4,3,-12
Jonny Flynn,POR,POR @ UTA,04/26/2012,2011-12,L,34,18,6,14,42.9,1,3,33.3,5,5,100,1,4,5,11,0,0,3,0,4
Jeremy Evans,UTA,UTA vs. POR,04/26/2012,2011-12,W,28,13,5,9,55.6,0,1,0.0,3,4,75.0,6,4,10,1,3,3,0,2,-5
Alec Burks,UTA,UTA vs. POR,04/26/2012,2011-12,W,23,18,6,9,66.7,1,1,100,5,5,100,0,3,3,0,2,0,1,3,-13
