Player,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Bismack Biyombo,CHA,CHA vs. CLE,04/17/2013,2012-13,W,36,8,3,5,60.0,0,0,-,2,2,100,0,4,4,0,0,3,0,2,-3
Marreese Speights,CLE,CLE @ CHA,04/17/2013,2012-13,L,14,6,3,6,50.0,0,0,-,0,0,-,2,3,5,0,0,1,1,2,-13
Jeffery Taylor,CHA,CHA vs. CLE,04/17/2013,2012-13,W,24,6,3,6,50.0,0,1,0.0,0,0,-,1,4,5,3,1,0,0,3,12
Omri Casspi,CLE,CLE @ CHA,04/17/2013,2012-13,L,24,8,3,6,50.0,2,4,50.0,0,0,-,0,9,9,3,4,0,1,6,12
Dion Waiters,CLE,CLE @ CHA,04/17/2013,2012-13,L,22,16,6,13,46.2,1,4,25.0,3,4,75.0,0,0,0,3,1,0,3,4,-19
Ben Gordon,CHA,CHA vs. CLE,04/17/2013,2012-13,W,12,7,3,9,33.3,1,6,16.7,0,0,-,0,1,1,1,0,0,0,0,-12
Shaun Livingston,CLE,CLE @ CHA,04/17/2013,2012-13,L,20,2,1,2,50.0,0,0,-,0,0,-,0,0,0,2,0,2,0,1,2
Wayne Ellington,CLE,CLE @ CHA,04/17/2013,2012-13,L,18,13,5,6,83.3,1,2,50.0,2,2,100,0,0,0,1,1,0,0,0,2
Kevin Jones,CLE,CLE @ CHA,04/17/2013,2012-13,L,11,2,1,3,33.3,0,0,-,0,0,-,0,3,3,0,0,0,0,0,2
Kemba Walker,CHA,CHA vs. CLE,04/17/2013,2012-13,W,36,24,6,16,37.5,3,7,42.9,9,12,75.0,1,3,4,7,2,1,5,3,14
Alonzo Gee,CLE,CLE @ CHA,04/17/2013,2012-13,L,28,13,5,9,55.6,2,4,50.0,1,2,50.0,0,2,2,1,1,0,0,1,-22
