Player,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Wade Baldwin IV,MEM,MEM vs. DAL,04/12/2017,2016-17,L,18,9,3,8,37.5,0,1,0.0,3,3,100,1,3,4,0,2,0,4,2,-13
Wayne Selden,MEM,MEM vs. DAL,04/12/2017,2016-17,L,31,10,4,7,57.1,2,3,66.7,0,0,-,0,1,1,1,0,0,1,3,-12
Nerlens Noel,DAL,DAL @ MEM,04/12/2017,2016-17,W,23,10,4,8,50.0,0,0,-,2,2,100,1,6,7,0,1,1,2,0,-11
Dwight Powell,DAL,DAL @ MEM,04/12/2017,2016-17,W,34,12,2,11,18.2,2,9,22.2,6,6,100,1,2,3,0,1,0,2,4,-6
Deyonta Davis,MEM,MEM vs. DAL,04/12/2017,2016-17,L,9,0,0,1,0.0,0,0,-,0,0,-,2,1,3,0,0,0,0,3,-9
Jarrod Uthoff,DAL,DAL @ MEM,04/12/2017,2016-17,W,19,11,4,6,66.7,0,1,0.0,3,4,75.0,0,1,1,1,0,1,0,0,15
JaMychal Green,MEM,MEM vs. DAL,04/12/2017,2016-17,L,21,3,1,2,50.0,1,2,50.0,0,0,-,0,5,5,1,0,0,0,2,-1
Marc Gasol,MEM,MEM vs. DAL,04/12/2017,2016-17,L,24,13,5,13,38.5,1,2,50.0,2,2,100,0,8,8,4,0,2,2,1,9
Brandan Wright,MEM,MEM vs. DAL,04/12/2017,2016-17,L,16,4,1,3,33.3,0,0,-,2,2,100,3,1,4,1,0,1,0,1,1
Vince Carter,MEM,MEM vs. DAL,04/12/2017,2016-17,L,22,5,1,4,25.0,1,4,25.0,2,2,100,0,2,2,4,0,0,1,2,7
Jarell Martin,MEM,MEM vs. DAL,04/12/2017,2016-17,L,6,4,1,4,25.0,0,0,-,2,2,100,5,1,6,0,0,0,1,0,-9
Devin Harris,DAL,DAL @ MEM,04/12/2017,2016-17,W,20,15,6,12,50.0,0,5,0.0,3,4,75.0,0,2,2,8,1,0,1,0,11
DeAndre Liggins,DAL,DAL @ MEM,04/12/2017,2016-17,W,25,8,3,6,50.0,0,1,0.0,2,3,66.7,3,4,7,0,2,0,0,3,7
AJ Hammons,DAL,DAL @ MEM,04/12/2017,2016-17,W,12,9,3,4,75.0,0,0,-,3,4,75.0,0,1,1,0,0,2,1,2,11
Yogi Ferrell,DAL,DAL @ MEM,04/12/2017,2016-17,W,28,7,2,9,22.2,1,4,25.0,2,3,66.7,0,1,1,5,1,1,2,3,-5
Zach Randolph,MEM,MEM vs. DAL,04/12/2017,2016-17,L,20,15,7,14,50.0,0,1,0.0,1,1,100,1,4,5,2,0,0,2,2,-5
Tony Allen,MEM,MEM vs. DAL,04/12/2017,2016-17,L,6,4,2,4,50.0,0,0,-,0,0,-,2,0,2,0,0,0,0,0,6
Mike Conley,MEM,MEM vs. DAL,04/12/2017,2016-17,L,17,15,5,9,55.6,2,5,40.0,3,4,75.0,0,2,2,2,1,0,0,0,11
Salah Mejri,DAL,DAL @ MEM,04/12/2017,2016-17,W,12,6,2,2,100,1,1,100,1,2,50.0,1,1,2,0,0,0,0,3,5
Dorian Finney-Smith,DAL,DAL @ MEM,04/12/2017,2016-17,W,31,7,3,9,33.3,1,5,20.0,0,0,-,0,5,5,5,1,0,1,2,2
Nicolas Brussino,DAL,DAL @ MEM,04/12/2017,2016-17,W,37,15,4,8,50.0,4,8,50.0,3,3,100,2,6,8,2,2,0,3,2,6
Troy Daniels,MEM,MEM vs. DAL,04/12/2017,2016-17,L,24,3,1,9,11.1,1,4,25.0,0,0,-,1,1,2,2,0,0,3,3,-7
Andrew Harrison,MEM,MEM vs. DAL,04/12/2017,2016-17,L,25,8,2,6,33.3,0,3,0.0,4,6,66.7,1,3,4,1,1,2,0,4,-13
Josh Huestis,OKC,OKC vs. DEN,04/12/2017,2016-17,L,24,7,3,7,42.9,1,2,50.0,0,1,0.0,2,3,5,2,0,3,0,0,5
Jerami Grant,OKC,OKC vs. DEN,04/12/2017,2016-17,L,17,13,5,6,83.3,1,1,100,2,2,100,0,4,4,1,1,0,0,1,4
Alex Abrines,OKC,OKC vs. DEN,04/12/2017,2016-17,L,18,11,4,11,36.4,3,6,50.0,0,0,-,3,3,6,1,0,0,1,1,0
Steven Adams,OKC,OKC vs. DEN,04/12/2017,2016-17,L,14,8,4,7,57.1,0,0,-,0,0,-,2,2,4,0,2,0,1,2,-7
Enes Kanter,OKC,OKC vs. DEN,04/12/2017,2016-17,L,20,12,6,8,75.0,0,0,-,0,0,-,2,3,5,1,1,0,2,2,8
Nick Collison,OKC,OKC vs. DEN,04/12/2017,2016-17,L,9,6,3,5,60.0,0,1,0.0,0,0,-,2,0,2,1,0,0,0,1,-3
Mike Miller,DEN,DEN @ OKC,04/12/2017,2016-17,W,28,0,0,3,0.0,0,3,0.0,0,0,-,1,7,8,4,0,0,1,0,-4
Taj Gibson,OKC,OKC vs. DEN,04/12/2017,2016-17,L,22,13,4,11,36.4,0,0,-,5,6,83.3,3,4,7,0,0,2,1,2,-12
Kyle Singler,OKC,OKC vs. DEN,04/12/2017,2016-17,L,26,8,3,6,50.0,0,2,0.0,2,4,50.0,0,6,6,1,1,1,0,1,-16
Semaj Christon,OKC,OKC vs. DEN,04/12/2017,2016-17,L,18,5,2,4,50.0,1,2,50.0,0,0,-,0,0,0,2,0,0,0,4,2
Juancho Hernangomez,DEN,DEN @ OKC,04/12/2017,2016-17,W,35,9,4,17,23.5,1,9,11.1,0,0,-,0,7,7,1,0,0,1,3,3
Jamal Murray,DEN,DEN @ OKC,04/12/2017,2016-17,W,41,27,10,17,58.8,4,5,80.0,3,3,100,0,2,2,6,0,1,3,1,0
Mason Plumlee,DEN,DEN @ OKC,04/12/2017,2016-17,W,33,16,6,10,60.0,0,0,-,4,6,66.7,1,4,5,0,0,1,3,5,8
Malik Beasley,DEN,DEN @ OKC,04/12/2017,2016-17,W,40,17,8,17,47.1,1,4,25.0,0,0,-,1,2,3,3,1,0,2,2,19
Domantas Sabonis,OKC,OKC vs. DEN,04/12/2017,2016-17,L,14,2,1,8,12.5,0,2,0.0,0,0,-,0,2,2,0,2,0,1,6,-2
Nikola Jokic,DEN,DEN @ OKC,04/12/2017,2016-17,W,40,29,9,14,64.3,0,0,-,11,14,78.6,2,14,16,8,1,5,4,4,9
Russell Westbrook,OKC,OKC vs. DEN,04/12/2017,2016-17,L,18,5,2,10,20.0,1,5,20.0,0,0,-,0,5,5,8,0,1,3,2,-5
Victor Oladipo,OKC,OKC vs. DEN,04/12/2017,2016-17,L,25,10,4,9,44.4,1,2,50.0,1,2,50.0,0,3,3,3,1,1,3,0,-1
Darrell Arthur,DEN,DEN @ OKC,04/12/2017,2016-17,W,23,13,2,7,28.6,1,4,25.0,8,9,88.9,0,2,2,0,4,1,1,2,-5
Norris Cole,OKC,OKC vs. DEN,04/12/2017,2016-17,L,15,5,2,9,22.2,0,2,0.0,1,2,50.0,0,2,2,0,2,0,0,2,-3
Jose Calderon,ATL,ATL @ IND,04/12/2017,2016-17,L,30,12,5,8,62.5,2,4,50.0,0,0,-,0,2,2,5,0,0,3,1,-9
Mike Dunleavy,ATL,ATL @ IND,04/12/2017,2016-17,L,17,8,2,6,33.3,1,4,25.0,3,3,100,0,3,3,1,0,0,1,0,-6
Mike Muscala,ATL,ATL @ IND,04/12/2017,2016-17,L,20,10,3,7,42.9,2,4,50.0,2,2,100,0,3,3,2,0,1,1,1,-10
Thabo Sefolosha,ATL,ATL @ IND,04/12/2017,2016-17,L,23,0,0,3,0.0,0,1,0.0,0,0,-,1,3,4,0,0,0,3,0,-15
CJ Miles,IND,IND vs. ATL,04/12/2017,2016-17,W,21,9,3,8,37.5,3,7,42.9,0,0,-,0,2,2,1,0,0,0,1,-1
