Player,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Ryan Kelly,ATL,ATL @ IND,04/12/2017,2016-17,L,22,8,3,8,37.5,2,2,100,0,0,-,1,2,3,0,0,0,1,0,-15
Monta Ellis,IND,IND vs. ATL,04/12/2017,2016-17,W,24,0,0,4,0.0,0,1,0.0,0,0,-,0,0,0,1,1,0,0,2,14
DeAndre' Bembry,ATL,ATL @ IND,04/12/2017,2016-17,L,32,7,3,6,50.0,1,2,50.0,0,0,-,2,5,7,2,1,1,2,3,-8
Myles Turner,IND,IND vs. ATL,04/12/2017,2016-17,W,33,18,7,14,50.0,0,1,0.0,4,4,100,3,5,8,2,0,6,1,2,13
Thaddeus Young,IND,IND vs. ATL,04/12/2017,2016-17,W,36,9,4,8,50.0,0,0,-,1,2,50.0,4,4,8,1,2,0,2,0,22
Lance Stephenson,IND,IND vs. ATL,04/12/2017,2016-17,W,23,4,2,7,28.6,0,1,0.0,0,0,-,1,9,10,6,1,1,3,2,2
Aaron Brooks,IND,IND vs. ATL,04/12/2017,2016-17,W,17,5,2,3,66.7,1,2,50.0,0,0,-,0,0,0,0,0,0,0,1,7
Kris Humphries,ATL,ATL @ IND,04/12/2017,2016-17,L,28,5,2,9,22.2,0,3,0.0,1,4,25.0,4,4,8,0,0,2,0,2,-8
Malcolm Delaney,ATL,ATL @ IND,04/12/2017,2016-17,L,26,10,2,7,28.6,1,3,33.3,5,5,100,0,2,2,5,2,0,3,2,-13
Kevin Seraphin,IND,IND vs. ATL,04/12/2017,2016-17,W,15,8,3,8,37.5,0,0,-,2,2,100,0,2,2,0,0,0,2,2,5
Jeff Teague,IND,IND vs. ATL,04/12/2017,2016-17,W,32,19,6,9,66.7,1,2,50.0,6,8,75.0,0,0,0,7,0,0,1,1,13
Paul George,IND,IND vs. ATL,04/12/2017,2016-17,W,40,32,12,21,57.1,5,10,50.0,3,3,100,0,11,11,3,1,0,1,3,15
Ersan Ilyasova,ATL,ATL @ IND,04/12/2017,2016-17,L,18,15,6,10,60.0,1,3,33.3,2,2,100,0,3,3,2,1,0,3,2,-2
Taurean Prince,ATL,ATL @ IND,04/12/2017,2016-17,L,25,11,4,8,50.0,1,3,33.3,2,3,66.7,0,2,2,2,1,0,1,4,-4
Dante Exum,UTA,UTA vs. SAS,04/12/2017,2016-17,W,17,2,1,2,50.0,0,1,0.0,0,0,-,0,1,1,3,1,0,1,2,1
Dejounte Murray,SAS,SAS @ UTA,04/12/2017,2016-17,L,5,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-2
Kyle Anderson,SAS,SAS @ UTA,04/12/2017,2016-17,L,16,8,3,7,42.9,1,2,50.0,1,1,100,0,2,2,2,1,0,0,3,9
Boris Diaw,UTA,UTA vs. SAS,04/12/2017,2016-17,W,15,4,2,4,50.0,0,1,0.0,0,0,-,0,1,1,1,1,0,0,3,11
Danny Green,SAS,SAS @ UTA,04/12/2017,2016-17,L,20,2,1,6,16.7,0,2,0.0,0,0,-,2,2,4,2,2,1,1,1,-7
Rodney Hood,UTA,UTA vs. SAS,04/12/2017,2016-17,W,23,10,4,13,30.8,2,8,25.0,0,0,-,1,3,4,2,1,0,2,2,-7
Patty Mills,SAS,SAS @ UTA,04/12/2017,2016-17,L,19,8,3,5,60.0,2,2,100,0,0,-,0,2,2,5,1,0,1,1,-1
Tony Parker,SAS,SAS @ UTA,04/12/2017,2016-17,L,24,14,5,8,62.5,0,1,0.0,4,4,100,0,1,1,2,1,0,2,2,-1
Joe Johnson,UTA,UTA vs. SAS,04/12/2017,2016-17,W,17,8,3,6,50.0,1,3,33.3,1,2,50.0,0,0,0,3,0,0,0,0,-8
Jonathon Simmons,SAS,SAS @ UTA,04/12/2017,2016-17,L,13,2,1,4,25.0,0,1,0.0,0,0,-,1,1,2,1,0,0,2,0,-6
Manu Ginobili,SAS,SAS @ UTA,04/12/2017,2016-17,L,18,5,1,3,33.3,1,3,33.3,2,2,100,0,2,2,2,1,0,2,1,-1
Shelvin Mack,UTA,UTA vs. SAS,04/12/2017,2016-17,W,26,13,4,7,57.1,2,3,66.7,3,4,75.0,2,1,3,3,1,1,1,1,-6
Trey Lyles,UTA,UTA vs. SAS,04/12/2017,2016-17,W,9,1,0,2,0.0,0,0,-,1,2,50.0,0,3,3,0,0,0,1,1,0
Jeff Withey,UTA,UTA vs. SAS,04/12/2017,2016-17,W,6,3,1,2,50.0,0,0,-,1,2,50.0,1,1,2,0,0,1,0,0,0
David Lee,SAS,SAS @ UTA,04/12/2017,2016-17,L,13,2,1,3,33.3,0,0,-,0,0,-,1,2,3,0,0,0,2,0,-8
Davis Bertans,SAS,SAS @ UTA,04/12/2017,2016-17,L,12,7,2,5,40.0,2,5,40.0,1,1,100,0,1,1,0,1,0,1,1,6
LaMarcus Aldridge,SAS,SAS @ UTA,04/12/2017,2016-17,L,34,18,9,14,64.3,0,1,0.0,0,0,-,2,3,5,0,3,1,1,1,1
Kawhi Leonard,SAS,SAS @ UTA,04/12/2017,2016-17,L,31,14,5,13,38.5,1,2,50.0,3,3,100,1,4,5,2,1,0,1,2,-3
Dewayne Dedmon,SAS,SAS @ UTA,04/12/2017,2016-17,L,14,2,1,4,25.0,0,0,-,0,2,0.0,5,3,8,0,0,0,2,1,-8
George Hill,UTA,UTA vs. SAS,04/12/2017,2016-17,W,22,13,4,7,57.1,1,2,50.0,4,5,80.0,1,1,2,5,1,0,0,1,10
Derrick Favors,UTA,UTA vs. SAS,04/12/2017,2016-17,W,21,8,4,8,50.0,0,0,-,0,0,-,0,5,5,3,3,0,4,0,4
Rudy Gobert,UTA,UTA vs. SAS,04/12/2017,2016-17,W,29,13,5,9,55.6,0,0,-,3,5,60.0,1,8,9,0,0,1,3,2,1
Joe Ingles,UTA,UTA vs. SAS,04/12/2017,2016-17,W,28,9,3,7,42.9,3,6,50.0,0,0,-,0,2,2,3,1,0,3,3,4
Pau Gasol,SAS,SAS @ UTA,04/12/2017,2016-17,L,23,13,6,13,46.2,1,2,50.0,0,0,-,3,4,7,0,1,0,0,3,1
Alec Burks,UTA,UTA vs. SAS,04/12/2017,2016-17,W,5,3,1,1,100,1,1,100,0,0,-,0,2,2,0,0,1,0,0,2
Gordon Hayward,UTA,UTA vs. SAS,04/12/2017,2016-17,W,23,14,7,9,77.8,0,1,0.0,0,0,-,1,1,2,1,1,1,1,1,8
Jake Layman,POR,POR vs. NOP,04/12/2017,2016-17,L,37,10,4,10,40.0,2,5,40.0,0,0,-,2,2,4,3,0,0,4,2,1
Pat Connaughton,POR,POR vs. NOP,04/12/2017,2016-17,L,36,19,7,13,53.8,5,10,50.0,0,0,-,0,7,7,7,0,0,3,5,-8
Tim Quarterman,POR,POR vs. NOP,04/12/2017,2016-17,L,22,10,4,11,36.4,2,5,40.0,0,2,0.0,2,2,4,3,1,1,7,2,-4
Shabazz Napier,POR,POR vs. NOP,04/12/2017,2016-17,L,26,25,10,18,55.6,3,6,50.0,2,3,66.7,0,4,4,2,1,0,4,2,1
Alexis Ajinca,NOP,NOP @ POR,04/12/2017,2016-17,W,25,11,5,12,41.7,0,0,-,1,1,100,1,6,7,0,1,0,3,3,2
E'Twaun Moore,NOP,NOP @ POR,04/12/2017,2016-17,W,14,3,1,3,33.3,0,1,0.0,1,2,50.0,1,0,1,2,1,0,0,0,-6
Noah Vonleh,POR,POR vs. NOP,04/12/2017,2016-17,L,38,12,5,8,62.5,0,0,-,2,3,66.7,9,10,19,1,1,0,1,1,-13
Cheick Diallo,NOP,NOP @ POR,04/12/2017,2016-17,W,29,12,4,9,44.4,0,0,-,4,5,80.0,4,12,16,0,1,1,1,4,5
Jrue Holiday,NOP,NOP @ POR,04/12/2017,2016-17,W,16,8,4,11,36.4,0,2,0.0,0,0,-,1,2,3,5,0,0,1,0,-3
Maurice Harkless,POR,POR vs. NOP,04/12/2017,2016-17,L,22,11,5,6,83.3,0,0,-,1,5,20.0,1,1,2,2,1,0,0,1,5
Quinn Cook,NOP,NOP @ POR,04/12/2017,2016-17,W,20,11,4,7,57.1,1,1,100,2,2,100,1,0,1,1,2,0,2,2,4
Tim Frazier,NOP,NOP @ POR,04/12/2017,2016-17,W,27,6,1,8,12.5,1,5,20.0,3,4,75.0,1,1,2,8,1,0,1,2,-3
Dante Cunningham,NOP,NOP @ POR,04/12/2017,2016-17,W,19,10,4,5,80.0,2,3,66.7,0,0,-,1,4,5,0,1,1,0,0,-2
Evan Turner,POR,POR vs. NOP,04/12/2017,2016-17,L,23,6,3,8,37.5,0,0,-,0,0,-,0,4,4,3,0,0,3,1,1
Jordan Crawford,NOP,NOP @ POR,04/12/2017,2016-17,W,23,15,6,12,50.0,3,4,75.0,0,0,-,0,1,1,4,1,0,2,0,20
Meyers Leonard,POR,POR vs. NOP,04/12/2017,2016-17,L,36,7,3,11,27.3,1,4,25.0,0,0,-,0,9,9,1,0,1,1,4,2
Solomon Hill,NOP,NOP @ POR,04/12/2017,2016-17,W,30,13,4,8,50.0,1,4,25.0,4,6,66.7,0,3,3,0,1,1,1,0,-9
Donatas Motiejunas,NOP,NOP @ POR,04/12/2017,2016-17,W,17,6,3,11,27.3,0,4,0.0,0,1,0.0,1,1,2,0,3,0,0,2,-5
Axel Toupane,NOP,NOP @ POR,04/12/2017,2016-17,W,21,8,4,4,100,0,0,-,0,0,-,0,1,1,0,1,0,0,4,12
Brandon Jennings,WAS,WAS @ MIA,04/12/2017,2016-17,L,27,2,1,9,11.1,0,5,0.0,0,0,-,0,3,3,5,1,0,0,2,-6
Wayne Ellington,MIA,MIA vs. WAS,04/12/2017,2016-17,W,31,9,3,10,30.0,3,9,33.3,0,0,-,0,7,7,1,0,0,0,0,5
Jason Smith,WAS,WAS @ MIA,04/12/2017,2016-17,L,6,3,1,3,33.3,0,0,-,1,2,50.0,0,3,3,0,0,0,2,2,-1
James Johnson,MIA,MIA vs. WAS,04/12/2017,2016-17,W,37,12,5,11,45.5,0,3,0.0,2,2,100,1,7,8,8,0,1,2,3,6
Udonis Haslem,MIA,MIA vs. WAS,04/12/2017,2016-17,W,1,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,0,0,0,0,1,-4
Sheldon Mac,WAS,WAS @ MIA,04/12/2017,2016-17,L,35,18,6,11,54.5,1,4,25.0,5,6,83.3,0,4,4,0,0,0,2,1,-7
Kelly Oubre Jr.,WAS,WAS @ MIA,04/12/2017,2016-17,L,28,8,4,12,33.3,0,2,0.0,0,0,-,1,2,3,1,3,0,0,1,0
Josh Richardson,MIA,MIA vs. WAS,04/12/2017,2016-17,W,37,15,6,12,50.0,3,6,50.0,0,0,-,0,2,2,1,0,1,1,2,6
Rodney McGruder,MIA,MIA vs. WAS,04/12/2017,2016-17,W,20,2,1,2,50.0,0,1,0.0,0,0,-,2,0,2,2,0,0,2,0,0
Daniel Ochefu,WAS,WAS @ MIA,04/12/2017,2016-17,L,17,8,4,6,66.7,0,0,-,0,0,-,2,1,3,1,1,0,0,1,4
Trey Burke,WAS,WAS @ MIA,04/12/2017,2016-17,L,31,27,10,13,76.9,5,7,71.4,2,2,100,0,0,0,4,1,0,2,0,-11
Otto Porter Jr.,WAS,WAS @ MIA,04/12/2017,2016-17,L,15,11,4,8,50.0,0,2,0.0,3,3,100,1,5,6,0,0,0,0,2,-8
Marcin Gortat,WAS,WAS @ MIA,04/12/2017,2016-17,L,25,16,8,9,88.9,0,0,-,0,1,0.0,2,3,5,1,0,0,1,1,-11
Tyler Johnson,MIA,MIA vs. WAS,04/12/2017,2016-17,W,19,4,2,4,50.0,0,0,-,0,0,-,1,2,3,2,0,0,3,1,7
Willie Reed,MIA,MIA vs. WAS,04/12/2017,2016-17,W,15,16,8,9,88.9,0,0,-,0,0,-,3,3,6,0,0,0,1,3,4
Hassan Whiteside,MIA,MIA vs. WAS,04/12/2017,2016-17,W,31,24,10,17,58.8,0,0,-,4,6,66.7,5,13,18,0,0,2,1,1,10
Bojan Bogdanovic,WAS,WAS @ MIA,04/12/2017,2016-17,L,19,7,3,8,37.5,1,2,50.0,0,0,-,1,0,1,1,0,0,0,1,-10
Tomas Satoransky,WAS,WAS @ MIA,04/12/2017,2016-17,L,30,2,1,7,14.3,0,3,0.0,0,0,-,1,3,4,5,2,0,2,2,4
Chris McCullough,WAS,WAS @ MIA,04/12/2017,2016-17,L,7,0,0,1,0.0,0,1,0.0,0,0,-,0,2,2,0,1,0,1,0,6
Goran Dragic,MIA,MIA vs. WAS,04/12/2017,2016-17,W,37,28,11,21,52.4,2,4,50.0,4,4,100,2,2,4,5,1,0,7,2,6
Okaro White,MIA,MIA vs. WAS,04/12/2017,2016-17,W,12,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,1,0,0,0,0
Lou Williams,HOU,HOU vs. MIN,04/12/2017,2016-17,W,25,7,1,11,9.1,1,7,14.3,4,4,100,0,5,5,4,1,0,2,0,-24
Gorgui Dieng,MIN,MIN @ HOU,04/12/2017,2016-17,L,27,6,3,8,37.5,0,0,-,0,0,-,3,5,8,2,0,0,3,2,-30
Bobby Brown,HOU,HOU vs. MIN,04/12/2017,2016-17,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-5
Nene,HOU,HOU vs. MIN,04/12/2017,2016-17,W,17,9,4,7,57.1,0,0,-,1,2,50.0,1,1,2,0,1,1,1,1,-8
Kris Dunn,MIN,MIN @ HOU,04/12/2017,2016-17,L,32,10,5,13,38.5,0,2,0.0,0,0,-,0,2,2,16,1,2,3,4,3
Patrick Beverley,HOU,HOU vs. MIN,04/12/2017,2016-17,W,31,10,3,9,33.3,2,6,33.3,2,3,66.7,5,5,10,7,3,0,1,2,13
Trevor Ariza,HOU,HOU vs. MIN,04/12/2017,2016-17,W,38,15,6,14,42.9,2,8,25.0,1,2,50.0,2,3,5,6,1,1,0,1,10
Eric Gordon,HOU,HOU vs. MIN,04/12/2017,2016-17,W,27,11,4,12,33.3,3,10,30.0,0,0,-,1,2,3,2,0,1,0,3,-1
Ryan Anderson,HOU,HOU vs. MIN,04/12/2017,2016-17,W,32,20,7,17,41.2,6,15,40.0,0,0,-,1,1,2,4,0,0,0,2,17
James Harden,HOU,HOU vs. MIN,04/12/2017,2016-17,W,35,27,8,13,61.5,5,10,50.0,6,8,75.0,1,9,10,12,4,1,4,3,19
Adreian Payne,MIN,MIN @ HOU,04/12/2017,2016-17,L,5,0,0,0,-,0,0,-,0,0,-,0,1,1,1,0,0,0,0,14
Clint Capela,HOU,HOU vs. MIN,04/12/2017,2016-17,W,30,22,11,12,91.7,0,0,-,0,3,0.0,5,5,10,2,1,3,2,1,18
Troy Williams,HOU,HOU vs. MIN,04/12/2017,2016-17,W,3,2,1,2,50.0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-4
Brandon Rush,MIN,MIN @ HOU,04/12/2017,2016-17,L,24,8,3,3,100,2,2,100,0,0,-,1,1,2,2,0,0,2,0,-13
Omri Casspi,MIN,MIN @ HOU,04/12/2017,2016-17,L,19,4,2,4,50.0,0,0,-,0,0,-,2,1,3,2,0,0,0,2,-7
Cole Aldrich,MIN,MIN @ HOU,04/12/2017,2016-17,L,15,2,1,2,50.0,0,0,-,0,0,-,1,3,4,0,0,0,1,1,19
Isaiah Taylor,HOU,HOU vs. MIN,04/12/2017,2016-17,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-5
Shabazz Muhammad,MIN,MIN @ HOU,04/12/2017,2016-17,L,22,22,9,18,50.0,1,6,16.7,3,5,60.0,1,1,2,1,2,0,1,1,10
Andrew Wiggins,MIN,MIN @ HOU,04/12/2017,2016-17,L,30,21,7,17,41.2,2,5,40.0,5,7,71.4,0,2,2,3,1,0,4,2,-33
Tyus Jones,MIN,MIN @ HOU,04/12/2017,2016-17,L,28,17,6,9,66.7,3,4,75.0,2,2,100,1,3,4,7,2,1,1,1,10
Karl-Anthony Towns,MIN,MIN @ HOU,04/12/2017,2016-17,L,36,28,12,17,70.6,3,4,75.0,1,1,100,1,20,21,3,1,0,0,2,2
Kyle Wiltjer,HOU,HOU vs. MIN,04/12/2017,2016-17,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-5
JR Smith,CLE,CLE vs. TOR,04/12/2017,2016-17,L,25,3,1,9,11.1,1,6,16.7,0,0,-,0,2,2,4,1,0,1,2,-16
Dahntay Jones,CLE,CLE vs. TOR,04/12/2017,2016-17,L,12,9,3,8,37.5,0,2,0.0,3,4,75.0,1,1,2,1,0,0,1,1,2
Cory Joseph,TOR,TOR @ CLE,04/12/2017,2016-17,W,6,2,1,5,20.0,0,0,-,0,0,-,0,1,1,0,0,0,0,0,2
Kyle Lowry,TOR,TOR @ CLE,04/12/2017,2016-17,W,17,13,4,8,50.0,1,5,20.0,4,6,66.7,0,2,2,4,0,0,4,1,11
Channing Frye,CLE,CLE vs. TOR,04/12/2017,2016-17,L,7,5,2,4,50.0,1,2,50.0,0,0,-,0,1,1,0,0,0,0,0,-2
Richard Jefferson,CLE,CLE vs. TOR,04/12/2017,2016-17,L,26,7,1,4,25.0,1,3,33.3,4,5,80.0,0,6,6,2,1,0,1,1,-5
P.J. Tucker,TOR,TOR @ CLE,04/12/2017,2016-17,W,6,0,0,2,0.0,0,1,0.0,0,0,-,0,2,2,1,0,0,0,2,2
Derrick Williams,CLE,CLE vs. TOR,04/12/2017,2016-17,L,27,10,3,8,37.5,2,3,66.7,2,2,100,0,4,4,3,0,0,0,0,-2
Kyle Korver,CLE,CLE vs. TOR,04/12/2017,2016-17,L,10,3,1,3,33.3,1,2,50.0,0,0,-,0,2,2,0,0,0,0,0,-5
Lucas Nogueira,TOR,TOR @ CLE,04/12/2017,2016-17,W,13,0,0,3,0.0,0,2,0.0,0,0,-,1,2,3,2,0,0,0,1,-5
Fred VanVleet,TOR,TOR @ CLE,04/12/2017,2016-17,W,21,5,2,7,28.6,0,1,0.0,1,2,50.0,0,4,4,6,0,0,0,3,9
Delon Wright,TOR,TOR @ CLE,04/12/2017,2016-17,W,28,9,3,10,30.0,1,3,33.3,2,4,50.0,1,0,1,0,2,0,1,1,15
Deron Williams,CLE,CLE vs. TOR,04/12/2017,2016-17,L,25,10,3,6,50.0,3,4,75.0,1,1,100,0,3,3,4,0,0,4,4,-16
Iman Shumpert,CLE,CLE vs. TOR,04/12/2017,2016-17,L,30,11,3,8,37.5,0,3,0.0,5,6,83.3,1,2,3,3,2,0,4,1,-8
Jonas Valanciunas,TOR,TOR @ CLE,04/12/2017,2016-17,W,15,13,6,10,60.0,1,1,100,0,0,-,3,4,7,1,1,0,1,1,15
Patrick Patterson,TOR,TOR @ CLE,04/12/2017,2016-17,W,15,3,1,1,100,1,1,100,0,0,-,0,1,1,0,2,0,0,0,2
Edy Tavares,CLE,CLE vs. TOR,04/12/2017,2016-17,L,24,6,3,4,75.0,0,0,-,0,1,0.0,4,6,10,1,0,6,2,3,4
Tristan Thompson,CLE,CLE vs. TOR,04/12/2017,2016-17,L,18,10,5,6,83.3,0,0,-,0,2,0.0,3,1,4,0,1,0,1,0,-17
Bruno Caboclo,TOR,TOR @ CLE,04/12/2017,2016-17,W,17,11,5,11,45.5,1,3,33.3,0,0,-,2,2,4,1,0,1,0,1,-3
James Jones,CLE,CLE vs. TOR,04/12/2017,2016-17,L,36,9,3,16,18.8,1,12,8.3,2,3,66.7,1,4,5,2,0,1,1,2,-10
Norman Powell,TOR,TOR @ CLE,04/12/2017,2016-17,W,34,25,10,13,76.9,3,5,60.0,2,2,100,1,1,2,2,1,0,0,2,6
Jakob Poeltl,TOR,TOR @ CLE,04/12/2017,2016-17,W,23,7,3,3,100,0,0,-,1,2,50.0,2,3,5,2,0,1,0,5,-3
