Player,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Manu Ginobili,SAS,SAS @ NOP,04/15/2015,2014-15,L,21,4,1,7,14.3,1,5,20.0,1,2,50.0,0,2,2,4,0,1,2,1,-5
Tony Parker,SAS,SAS @ NOP,04/15/2015,2014-15,L,35,23,11,17,64.7,0,0,-,1,2,50.0,0,1,1,6,0,0,3,4,-11
Norris Cole,NOP,NOP vs. SAS,04/15/2015,2014-15,W,15,13,6,10,60.0,0,1,0.0,1,1,100,0,0,0,2,3,1,0,1,1
Quincy Pondexter,NOP,NOP vs. SAS,04/15/2015,2014-15,W,23,4,1,3,33.3,0,1,0.0,2,3,66.7,0,1,1,1,1,0,1,2,3
Alexis Ajinca,NOP,NOP vs. SAS,04/15/2015,2014-15,W,3,0,0,1,0.0,0,0,-,0,0,-,0,2,2,0,0,0,0,0,-2
Danny Green,SAS,SAS @ NOP,04/15/2015,2014-15,L,18,0,0,0,-,0,0,-,0,0,-,0,1,1,2,0,0,1,3,-3
Aron Baynes,SAS,SAS @ NOP,04/15/2015,2014-15,L,26,8,4,6,66.7,0,0,-,0,0,-,1,5,6,2,0,0,0,3,-7
Marco Belinelli,SAS,SAS @ NOP,04/15/2015,2014-15,L,15,2,0,2,0.0,0,0,-,2,2,100,0,0,0,0,1,0,0,0,-7
Jrue Holiday,NOP,NOP vs. SAS,04/15/2015,2014-15,W,25,11,4,9,44.4,1,1,100,2,2,100,1,2,3,4,0,0,0,3,12
Kyle Anderson,SAS,SAS @ NOP,04/15/2015,2014-15,L,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,5
Patty Mills,SAS,SAS @ NOP,04/15/2015,2014-15,L,11,15,6,8,75.0,2,4,50.0,1,1,100,0,0,0,3,0,0,1,3,13
Dante Cunningham,NOP,NOP vs. SAS,04/15/2015,2014-15,W,14,2,1,1,100,0,0,-,0,0,-,0,1,1,0,0,0,0,1,3
Cory Joseph,SAS,SAS @ NOP,04/15/2015,2014-15,L,7,0,0,1,0.0,0,0,-,0,0,-,0,1,1,2,0,1,2,0,-2
Kawhi Leonard,SAS,SAS @ NOP,04/15/2015,2014-15,L,38,14,6,14,42.9,0,0,-,2,2,100,2,8,10,3,0,1,1,4,-3
Tim Duncan,SAS,SAS @ NOP,04/15/2015,2014-15,L,33,15,6,9,66.7,0,0,-,3,4,75.0,1,9,10,6,1,0,1,2,-2
Boris Diaw,SAS,SAS @ NOP,04/15/2015,2014-15,L,34,20,10,14,71.4,0,1,0.0,0,0,-,0,5,5,5,0,0,4,0,-6
Anthony Davis,NOP,NOP vs. SAS,04/15/2015,2014-15,W,43,31,12,26,46.2,0,0,-,7,9,77.8,2,11,13,2,2,3,6,1,10
Jeff Ayres,SAS,SAS @ NOP,04/15/2015,2014-15,L,0,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,0,3
Eric Gordon,NOP,NOP vs. SAS,04/15/2015,2014-15,W,33,14,5,12,41.7,2,4,50.0,2,2,100,1,3,4,1,1,0,2,4,-9
Tyreke Evans,NOP,NOP vs. SAS,04/15/2015,2014-15,W,34,19,9,15,60.0,1,2,50.0,0,0,-,1,3,4,11,3,1,0,3,4
Ryan Anderson,NOP,NOP vs. SAS,04/15/2015,2014-15,W,21,5,2,3,66.7,1,1,100,0,0,-,0,3,3,1,0,1,0,1,8
Omer Asik,NOP,NOP vs. SAS,04/15/2015,2014-15,W,29,9,3,3,100,0,0,-,3,8,37.5,2,2,4,1,1,1,0,2,-5
Solomon Hill,IND,IND @ MEM,04/15/2015,2014-15,L,21,0,0,3,0.0,0,0,-,0,0,-,2,1,3,1,0,0,0,1,10
Paul George,IND,IND @ MEM,04/15/2015,2014-15,L,15,2,1,5,20.0,0,2,0.0,0,0,-,1,3,4,1,0,0,2,5,-1
Zach Randolph,MEM,MEM vs. IND,04/15/2015,2014-15,W,35,18,7,12,58.3,0,0,-,4,4,100,1,8,9,0,0,0,3,3,1
Damjan Rudez,IND,IND @ MEM,04/15/2015,2014-15,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1
David West,IND,IND @ MEM,04/15/2015,2014-15,L,28,4,1,6,16.7,0,1,0.0,2,2,100,2,2,4,1,0,1,1,3,-10
JaMychal Green,MEM,MEM vs. IND,04/15/2015,2014-15,W,1,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,-1
Marc Gasol,MEM,MEM vs. IND,04/15/2015,2014-15,W,38,33,13,19,68.4,0,0,-,7,9,77.8,5,8,13,0,2,1,1,3,1
Jordan Adams,MEM,MEM vs. IND,04/15/2015,2014-15,W,23,6,3,7,42.9,0,0,-,0,0,-,2,3,5,2,1,0,0,1,15
Donald Sloan,IND,IND @ MEM,04/15/2015,2014-15,L,8,0,0,0,-,0,0,-,0,0,-,0,1,1,1,0,0,2,1,-6
Courtney Lee,MEM,MEM vs. IND,04/15/2015,2014-15,W,26,8,2,5,40.0,1,1,100,3,4,75.0,0,1,1,0,0,1,0,0,-4
Kosta Koufos,MEM,MEM vs. IND,04/15/2015,2014-15,W,16,6,1,3,33.3,0,0,-,4,4,100,3,6,9,0,0,0,0,2,10
Nick Calathes,MEM,MEM vs. IND,04/15/2015,2014-15,W,32,8,3,7,42.9,0,0,-,2,4,50.0,3,3,6,6,4,0,2,4,19
Lavoy Allen,IND,IND @ MEM,04/15/2015,2014-15,L,5,0,0,1,0.0,0,0,-,0,0,-,0,1,1,0,0,0,1,0,-14
CJ Miles,IND,IND @ MEM,04/15/2015,2014-15,L,33,26,10,22,45.5,5,12,41.7,1,1,100,0,2,2,0,2,1,0,2,-11
Ian Mahinmi,IND,IND @ MEM,04/15/2015,2014-15,L,17,6,3,4,75.0,0,0,-,0,0,-,4,1,5,0,0,1,0,4,-2
Rodney Stuckey,IND,IND @ MEM,04/15/2015,2014-15,L,28,11,3,13,23.1,1,3,33.3,4,4,100,2,1,3,4,2,1,1,1,-19
Luis Scola,IND,IND @ MEM,04/15/2015,2014-15,L,19,7,2,4,50.0,0,0,-,3,6,50.0,0,4,4,0,0,2,0,1,-4
Roy Hibbert,IND,IND @ MEM,04/15/2015,2014-15,L,25,7,3,4,75.0,0,0,-,1,2,50.0,1,3,4,1,1,1,2,4,4
George Hill,IND,IND @ MEM,04/15/2015,2014-15,L,38,20,9,16,56.3,2,6,33.3,0,0,-,1,4,5,6,2,1,3,4,-8
Jeff Green,MEM,MEM vs. IND,04/15/2015,2014-15,W,34,14,6,14,42.9,1,4,25.0,1,1,100,2,0,2,3,1,1,4,3,7
Beno Udrih,MEM,MEM vs. IND,04/15/2015,2014-15,W,16,2,1,3,33.3,0,0,-,0,0,-,0,1,1,0,1,0,1,0,-7
Vince Carter,MEM,MEM vs. IND,04/15/2015,2014-15,W,19,0,0,6,0.0,0,4,0.0,0,0,-,0,1,1,1,1,0,1,1,19
Amir Johnson,TOR,TOR vs. CHA,04/15/2015,2014-15,W,21,2,1,4,25.0,0,0,-,0,0,-,2,4,6,1,0,1,0,2,-9
Bismack Biyombo,CHA,CHA @ TOR,04/15/2015,2014-15,L,32,3,0,1,0.0,0,0,-,3,4,75.0,0,4,4,0,0,1,3,3,-7
Marvin Williams,CHA,CHA @ TOR,04/15/2015,2014-15,L,25,8,3,7,42.9,2,4,50.0,0,0,-,0,2,2,0,0,0,0,0,-15
Noah Vonleh,CHA,CHA @ TOR,04/15/2015,2014-15,L,23,9,3,7,42.9,1,2,50.0,2,2,100,4,8,12,0,0,2,2,0,10
