Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
CHI,CHI vs. SAS,01/27/2020,2019-20,W,240,110,42,93,45.2,14,37,37.8,12,15,80.0,14,36,50,28,8,2,12,23,1
SAS,SAS @ CHI,01/27/2020,2019-20,L,240,109,38,82,46.3,10,25,40.0,23,34,67.6,12,35,47,21,2,6,12,12,-1
BOS,BOS @ NOP,01/26/2020,2019-20,L,240,108,41,89,46.1,8,33,24.2,18,22,81.8,7,30,37,21,6,5,17,29,-15
NOP,NOP vs. BOS,01/26/2020,2019-20,W,240,123,44,92,47.8,16,36,44.4,19,29,65.5,18,36,54,31,7,5,20,21,15
MEM,MEM vs. PHX,01/26/2020,2019-20,W,240,114,44,84,52.4,8,19,42.1,18,26,69.2,8,38,46,25,10,8,26,27,5
PHX,PHX @ MEM,01/26/2020,2019-20,L,240,109,35,92,38.0,11,29,37.9,28,35,80.0,12,30,42,23,14,7,18,27,-5
DEN,DEN vs. HOU,01/26/2020,2019-20,W,240,117,44,93,47.3,11,28,39.3,18,20,90.0,11,31,42,28,10,3,15,23,7
HOU,HOU @ DEN,01/26/2020,2019-20,L,240,110,40,88,45.5,11,33,33.3,19,27,70.4,15,29,44,19,6,7,18,21,-7
ATL,ATL vs. WAS,01/26/2020,2019-20,W,240,152,54,93,58.1,15,35,42.9,29,34,85.3,12,36,48,30,7,3,15,35,19
WAS,WAS @ ATL,01/26/2020,2019-20,L,240,133,42,88,47.7,11,33,33.3,38,42,90.5,8,26,34,20,5,7,12,26,-19
POR,POR vs. IND,01/26/2020,2019-20,W,240,139,49,90,54.4,20,35,57.1,21,25,84.0,12,31,43,27,1,7,17,21,10
IND,IND @ POR,01/26/2020,2019-20,L,240,129,48,93,51.6,13,28,46.4,20,21,95.2,6,25,31,31,5,2,7,19,-10
ORL,ORL vs. LAC,01/26/2020,2019-20,L,240,97,34,95,35.8,7,32,21.9,22,32,68.8,16,28,44,27,9,7,7,23,-15
LAC,LAC @ ORL,01/26/2020,2019-20,W,240,112,37,79,46.8,13,30,43.3,25,29,86.2,12,41,53,20,2,7,18,26,15
BKN,BKN @ NYK,01/26/2020,2019-20,L,240,97,34,81,42.0,13,39,33.3,16,23,69.6,7,27,34,21,6,4,16,14,-13
NYK,NYK vs. BKN,01/26/2020,2019-20,W,240,110,49,92,53.3,6,19,31.6,6,13,46.2,14,34,48,19,7,8,15,23,13
SAS,SAS vs. TOR,01/26/2020,2019-20,L,240,106,34,82,41.5,16,37,43.2,22,24,91.7,7,41,48,27,5,8,17,15,-4
TOR,TOR @ SAS,01/26/2020,2019-20,W,240,110,41,99,41.4,16,50,32.0,12,15,80.0,14,36,50,31,11,2,9,22,4
OKC,OKC @ MIN,01/25/2020,2019-20,W,240,113,39,80,48.8,11,24,45.8,24,25,96.0,3,40,43,20,8,9,14,14,9
MIN,MIN vs. OKC,01/25/2020,2019-20,L,240,104,40,90,44.4,12,43,27.9,12,18,66.7,7,34,41,33,9,4,13,21,-9
UTA,UTA vs. DAL,01/25/2020,2019-20,W,240,112,40,91,44.0,15,43,34.9,17,22,77.3,12,42,54,22,5,6,13,21,5
DAL,DAL @ UTA,01/25/2020,2019-20,L,240,107,42,97,43.3,16,41,39.0,7,13,53.8,10,34,44,19,6,3,9,24,-5
BKN,BKN @ DET,01/25/2020,2019-20,W,265,121,42,94,44.7,15,42,35.7,22,25,88.0,11,44,55,19,3,5,11,17,10
DET,DET vs. BKN,01/25/2020,2019-20,L,265,111,43,104,41.3,13,35,37.1,12,18,66.7,14,38,52,20,5,3,8,25,-10
CLE,CLE vs. CHI,01/25/2020,2019-20,L,240,106,42,84,50.0,13,30,43.3,9,11,81.8,11,32,43,30,5,1,21,20,-12
CHI,CHI @ CLE,01/25/2020,2019-20,W,240,118,44,85,51.8,12,33,36.4,18,24,75.0,7,29,36,24,15,2,11,16,12
LAL,LAL @ PHI,01/25/2020,2019-20,L,240,91,35,76,46.1,6,31,19.4,15,23,65.2,6,29,35,23,12,1,22,18,-17
PHI,PHI vs. LAL,01/25/2020,2019-20,W,240,108,41,78,52.6,13,37,35.1,13,19,68.4,8,33,41,19,12,3,23,18,17
DEN,DEN @ NOP,01/24/2020,2019-20,W,240,113,40,106,37.7,13,41,31.7,20,20,100,24,32,56,26,14,6,15,19,7
NOP,NOP vs. DEN,01/24/2020,2019-20,L,240,106,38,82,46.3,12,27,44.4,18,30,60.0,12,33,45,24,8,7,17,17,-7
ATL,ATL @ OKC,01/24/2020,2019-20,L,240,111,42,92,45.7,11,36,30.6,16,20,80.0,10,27,37,24,6,7,11,27,-29
OKC,OKC vs. ATL,01/24/2020,2019-20,W,240,140,50,86,58.1,14,25,56.0,26,34,76.5,6,39,45,28,6,5,14,20,29
MIL,MIL @ CHA,01/24/2020,2019-20,W,240,116,44,87,50.6,10,36,27.8,18,24,75.0,12,41,53,26,8,8,16,22,13
CHA,CHA vs. MIL,01/24/2020,2019-20,L,240,103,32,86,37.2,14,39,35.9,25,30,83.3,8,31,39,24,6,3,13,22,-13
HOU,HOU @ MIN,01/24/2020,2019-20,W,240,131,47,91,51.6,11,32,34.4,26,31,83.9,5,30,35,24,11,9,11,18,7
MIN,MIN vs. HOU,01/24/2020,2019-20,L,240,124,48,98,49.0,11,32,34.4,17,20,85.0,13,38,51,28,8,8,17,26,-7
LAC,LAC @ MIA,01/24/2020,2019-20,W,240,122,43,94,45.7,16,35,45.7,20,23,87.0,11,37,48,33,5,3,9,21,5
MIA,MIA vs. LAC,01/24/2020,2019-20,L,240,117,40,93,43.0,13,44,29.5,24,29,82.8,9,36,45,25,4,4,9,19,-5
MEM,MEM @ DET,01/24/2020,2019-20,W,240,125,43,79,54.4,11,22,50.0,28,31,90.3,8,41,49,27,6,4,14,23,13
DET,DET vs. MEM,01/24/2020,2019-20,L,240,112,39,91,42.9,11,32,34.4,23,31,74.2,10,27,37,23,8,1,8,23,-13
BOS,BOS @ ORL,01/24/2020,2019-20,W,240,109,40,86,46.5,14,35,40.0,15,18,83.3,9,35,44,27,10,7,14,20,11
ORL,ORL vs. BOS,01/24/2020,2019-20,L,240,98,36,90,40.0,12,37,32.4,14,19,73.7,13,33,46,18,5,1,14,14,-11
NYK,NYK vs. TOR,01/24/2020,2019-20,L,240,112,42,85,49.4,13,36,36.1,15,21,71.4,14,32,46,26,5,4,16,21,-6
TOR,TOR @ NYK,01/24/2020,2019-20,W,240,118,41,81,50.6,17,35,48.6,19,23,82.6,5,26,31,25,10,6,7,20,6
CHI,CHI vs. SAC,01/24/2020,2019-20,L,240,81,31,79,39.2,8,37,21.6,11,14,78.6,8,35,43,23,6,4,21,21,-17
SAC,SAC @ CHI,01/24/2020,2019-20,W,240,98,35,81,43.2,10,32,31.3,18,21,85.7,7,35,42,24,8,8,14,20,17
PHX,PHX @ SAS,01/24/2020,2019-20,W,240,103,39,84,46.4,8,29,27.6,17,21,81.0,10,32,42,25,6,4,14,27,4
SAS,SAS vs. PHX,01/24/2020,2019-20,L,240,99,33,78,42.3,5,25,20.0,28,33,84.8,10,33,43,19,9,8,14,22,-4
GSW,GSW vs. IND,01/24/2020,2019-20,L,240,118,40,82,48.8,19,39,48.7,19,23,82.6,7,31,38,31,6,3,20,16,-11
IND,IND @ GSW,01/24/2020,2019-20,W,240,129,50,87,57.5,17,28,60.7,12,13,92.3,5,31,36,35,15,4,12,20,11
DAL,DAL @ POR,01/23/2020,2019-20,W,240,133,48,93,51.6,22,47,46.8,15,24,62.5,12,29,41,27,5,7,9,17,8
POR,POR vs. DAL,01/23/2020,2019-20,L,240,125,46,91,50.5,21,39,53.8,12,15,80.0,11,32,43,20,4,4,15,20,-8
CLE,CLE vs. WAS,01/23/2020,2019-20,L,240,112,44,96,45.8,11,33,33.3,13,17,76.5,10,26,36,24,7,1,9,21,-12
WAS,WAS @ CLE,01/23/2020,2019-20,W,240,124,47,85,55.3,16,36,44.4,14,18,77.8,7,34,41,28,3,3,10,18,12
LAL,LAL @ BKN,01/23/2020,2019-20,W,240,128,47,94,50.0,19,38,50.0,15,20,75.0,11,41,52,28,9,6,16,15,15
BKN,BKN vs. LAL,01/23/2020,2019-20,L,240,113,40,91,44.0,21,46,45.7,12,15,80.0,8,33,41,30,12,3,16,17,-15
NOP,NOP vs. SAS,01/22/2020,2019-20,L,240,117,39,84,46.4,14,36,38.9,25,32,78.1,8,33,41,26,6,3,14,21,-4
SAS,SAS @ NOP,01/22/2020,2019-20,W,240,121,45,89,50.6,11,27,40.7,20,25,80.0,9,35,44,17,7,4,11,23,4
PHI,PHI @ TOR,01/22/2020,2019-20,L,240,95,32,84,38.1,18,46,39.1,13,18,72.2,8,37,45,25,8,6,13,23,-12
TOR,TOR vs. PHI,01/22/2020,2019-20,W,240,107,40,86,46.5,13,33,39.4,14,21,66.7,8,45,53,27,6,2,12,19,12
LAC,LAC @ ATL,01/22/2020,2019-20,L,240,95,33,78,42.3,4,21,19.0,25,39,64.1,8,37,45,19,5,8,14,20,-7
ATL,ATL vs. LAC,01/22/2020,2019-20,W,240,102,36,102,35.3,11,35,31.4,19,23,82.6,23,40,63,21,8,3,15,31,7
WAS,WAS @ MIA,01/22/2020,2019-20,L,265,129,50,99,50.5,13,42,31.0,16,20,80.0,7,34,41,30,10,5,11,29,-5
MIA,MIA vs. WAS,01/22/2020,2019-20,W,265,134,43,85,50.6,17,33,51.5,31,36,86.1,6,37,43,29,3,6,16,18,5
SAC,SAC @ DET,01/22/2020,2019-20,L,240,106,42,98,42.9,10,35,28.6,12,23,52.2,12,33,45,23,10,1,11,28,-21
DET,DET vs. SAC,01/22/2020,2019-20,W,240,127,39,73,53.4,12,29,41.4,37,44,84.1,3,45,48,19,9,4,17,19,21
DEN,DEN @ HOU,01/22/2020,2019-20,L,240,105,42,92,45.7,10,28,35.7,11,15,73.3,13,27,40,25,12,6,15,21,-16
HOU,HOU vs. DEN,01/22/2020,2019-20,W,240,121,42,89,47.2,13,29,44.8,24,28,85.7,18,35,53,26,10,7,19,16,16
ORL,ORL vs. OKC,01/22/2020,2019-20,L,240,114,44,92,47.8,14,35,40.0,12,16,75.0,11,28,39,26,9,3,15,25,-6
OKC,OKC @ ORL,01/22/2020,2019-20,W,240,120,46,76,60.5,9,19,47.4,19,23,82.6,0,36,36,22,10,7,15,17,6
MEM,MEM @ BOS,01/22/2020,2019-20,L,240,95,36,85,42.4,11,32,34.4,12,15,80.0,5,35,40,24,7,8,19,16,-24
BOS,BOS vs. MEM,01/22/2020,2019-20,W,240,119,45,89,50.6,14,32,43.8,15,20,75.0,9,35,44,32,11,9,11,14,24
NYK,NYK vs. LAL,01/22/2020,2019-20,L,240,92,36,88,40.9,11,34,32.4,9,13,69.2,13,34,47,24,4,4,17,23,-8
LAL,LAL @ NYK,01/22/2020,2019-20,W,240,100,36,82,43.9,9,27,33.3,19,28,67.9,11,32,43,18,13,8,10,14,8
CHI,CHI vs. MIN,01/22/2020,2019-20,W,240,117,39,84,46.4,9,30,30.0,30,37,81.1,12,38,50,21,9,2,13,22,7
MIN,MIN @ CHI,01/22/2020,2019-20,L,240,110,41,86,47.7,15,44,34.1,13,24,54.2,10,33,43,27,7,3,18,25,-7
GSW,GSW vs. UTA,01/22/2020,2019-20,L,240,96,35,88,39.8,6,23,26.1,20,24,83.3,11,26,37,20,5,5,8,23,-33
UTA,UTA @ GSW,01/22/2020,2019-20,W,240,129,50,93,53.8,17,40,42.5,12,23,52.2,15,41,56,31,5,3,11,19,33
PHX,PHX vs. IND,01/22/2020,2019-20,L,240,87,30,84,35.7,4,20,20.0,23,26,88.5,9,35,44,13,7,3,13,20,-25
IND,IND @ PHX,01/22/2020,2019-20,W,240,112,45,84,53.6,9,20,45.0,13,20,65.0,4,38,42,26,8,8,9,20,25
LAC,LAC @ DAL,01/21/2020,2019-20,W,240,110,36,97,37.1,12,38,31.6,26,33,78.8,20,37,57,19,9,3,11,21,3
DAL,DAL vs. LAC,01/21/2020,2019-20,L,240,107,39,91,42.9,12,43,27.9,17,24,70.8,12,37,49,23,7,8,13,28,-3
NOP,NOP @ MEM,01/20/2020,2019-20,W,240,126,42,88,47.7,21,48,43.8,21,24,87.5,5,38,43,24,7,7,17,18,10
MEM,MEM vs. NOP,01/20/2020,2019-20,L,240,116,46,103,44.7,9,33,27.3,15,21,71.4,15,36,51,26,8,3,14,19,-10
CHA,CHA vs. ORL,01/20/2020,2019-20,L,240,83,29,76,38.2,10,33,30.3,15,20,75.0,9,30,39,21,4,5,18,18,-23
ORL,ORL @ CHA,01/20/2020,2019-20,W,240,106,44,92,47.8,14,28,50.0,4,9,44.4,15,32,47,25,9,4,11,15,23
WAS,WAS vs. DET,01/20/2020,2019-20,W,240,106,42,82,51.2,9,24,37.5,13,16,81.3,6,38,44,22,9,6,20,23,6
DET,DET @ WAS,01/20/2020,2019-20,L,240,100,38,89,42.7,10,32,31.3,14,20,70.0,11,30,41,19,10,5,17,18,-6
MIN,MIN vs. DEN,01/20/2020,2019-20,L,240,100,38,91,41.8,13,42,31.0,11,14,78.6,11,31,42,26,7,5,9,11,-7
DEN,DEN @ MIN,01/20/2020,2019-20,W,240,107,43,90,47.8,11,31,35.5,10,12,83.3,13,40,53,26,9,1,13,18,7
ATL,ATL vs. TOR,01/20/2020,2019-20,L,240,117,41,83,49.4,12,33,36.4,23,33,69.7,9,41,50,26,9,8,24,34,-5
TOR,TOR @ ATL,01/20/2020,2019-20,W,240,122,38,92,41.3,13,42,31.0,33,43,76.7,12,33,45,25,13,3,14,25,5
UTA,UTA vs. IND,01/20/2020,2019-20,W,240,118,47,87,54.0,12,31,38.7,12,12,100,11,42,53,22,5,4,21,11,30
IND,IND @ UTA,01/20/2020,2019-20,L,240,88,39,93,41.9,7,26,26.9,3,7,42.9,9,21,30,23,15,9,14,14,-30
GSW,GSW @ POR,01/20/2020,2019-20,L,265,124,48,116,41.4,9,36,25.0,19,22,86.4,19,41,60,30,7,5,9,25,-5
POR,POR vs. GSW,01/20/2020,2019-20,W,265,129,44,100,44.0,14,44,31.8,27,30,90.0,12,42,54,21,4,11,12,19,5
MIA,MIA vs. SAC,01/20/2020,2019-20,W,265,118,42,83,50.6,16,42,38.1,18,22,81.8,5,37,42,26,9,3,21,20,5
SAC,SAC @ MIA,01/20/2020,2019-20,L,265,113,44,106,41.5,13,51,25.5,12,15,80.0,16,33,49,27,11,3,15,21,-5
HOU,HOU vs. OKC,01/20/2020,2019-20,L,240,107,43,97,44.3,9,45,20.0,12,17,70.6,9,34,43,21,6,7,11,23,-5
OKC,OKC @ HOU,01/20/2020,2019-20,W,240,112,40,92,43.5,12,32,37.5,20,26,76.9,7,40,47,14,8,6,13,18,5
NYK,NYK @ CLE,01/20/2020,2019-20,W,240,106,41,85,48.2,9,23,39.1,15,17,88.2,7,42,49,17,6,9,10,17,20
CLE,CLE vs. NYK,01/20/2020,2019-20,L,240,86,32,94,34.0,11,33,33.3,11,17,64.7,16,37,53,15,5,4,10,14,-20
BOS,BOS vs. LAL,01/20/2020,2019-20,W,240,139,52,93,55.9,16,34,47.1,19,29,65.5,14,34,48,31,10,5,12,26,32
LAL,LAL @ BOS,01/20/2020,2019-20,L,240,107,39,89,43.8,7,26,26.9,22,29,75.9,12,24,36,22,5,8,15,23,-32
BKN,BKN vs. PHI,01/20/2020,2019-20,L,240,111,39,81,48.1,11,29,37.9,22,34,64.7,13,34,47,22,7,2,22,23,-6
PHI,PHI @ BKN,01/20/2020,2019-20,W,240,117,42,94,44.7,13,39,33.3,20,27,74.1,12,31,43,30,12,6,13,24,6
SAS,SAS @ PHX,01/20/2020,2019-20,W,240,120,43,87,49.4,17,31,54.8,17,22,77.3,6,25,31,30,12,7,9,23,2
PHX,PHX vs. SAS,01/20/2020,2019-20,L,240,118,42,80,52.5,8,22,36.4,26,30,86.7,8,35,43,26,3,3,14,19,-2
CHI,CHI @ MIL,01/20/2020,2019-20,L,240,98,34,92,37.0,14,48,29.2,16,18,88.9,7,32,39,18,11,2,17,21,-13
MIL,MIL vs. CHI,01/20/2020,2019-20,W,240,111,45,77,58.4,11,26,42.3,10,23,43.5,3,45,48,34,7,5,23,15,13
DEN,DEN vs. IND,01/19/2020,2019-20,L,240,107,41,88,46.6,3,23,13.0,22,32,68.8,12,32,44,22,10,4,9,19,-8
IND,IND @ DEN,01/19/2020,2019-20,W,240,115,43,86,50.0,13,29,44.8,16,19,84.2,11,27,38,31,1,4,15,25,8
SAS,SAS vs. MIA,01/19/2020,2019-20,W,240,107,36,85,42.4,12,33,36.4,23,24,95.8,9,34,43,27,5,4,11,18,5
MIA,MIA @ SAS,01/19/2020,2019-20,L,240,102,37,86,43.0,10,34,29.4,18,20,90.0,10,37,47,23,8,3,10,19,-5
LAC,LAC @ NOP,01/18/2020,2019-20,W,240,133,46,93,49.5,10,31,32.3,31,39,79.5,10,26,36,22,12,2,12,29,3
NOP,NOP vs. LAC,01/18/2020,2019-20,L,240,130,46,86,53.5,15,41,36.6,23,36,63.9,12,36,48,32,7,4,21,26,-3
POR,POR @ OKC,01/18/2020,2019-20,L,240,106,39,91,42.9,12,32,37.5,16,21,76.2,12,28,40,11,7,7,12,28,-13
OKC,OKC vs. POR,01/18/2020,2019-20,W,240,119,43,83,51.8,7,22,31.8,26,36,72.2,12,36,48,25,5,4,13,20,13
TOR,TOR @ MIN,01/18/2020,2019-20,W,240,122,47,91,51.6,13,35,37.1,15,17,88.2,7,35,42,25,13,9,14,23,10
MIN,MIN vs. TOR,01/18/2020,2019-20,L,240,112,38,94,40.4,14,50,28.0,22,27,81.5,12,37,49,34,8,5,17,18,-10
DET,DET @ ATL,01/18/2020,2019-20,W,240,136,51,86,59.3,15,32,46.9,19,25,76.0,11,30,41,31,12,8,18,18,33
ATL,ATL vs. DET,01/18/2020,2019-20,L,240,103,40,93,43.0,10,34,29.4,13,15,86.7,10,22,32,18,9,6,20,20,-33
UTA,UTA vs. SAC,01/18/2020,2019-20,W,240,123,43,85,50.6,14,42,33.3,23,24,95.8,10,37,47,24,7,4,10,14,22
SAC,SAC @ UTA,01/18/2020,2019-20,L,240,101,42,86,48.8,10,26,38.5,7,12,58.3,7,30,37,20,3,3,10,23,-22
LAL,LAL @ HOU,01/18/2020,2019-20,W,240,124,45,93,48.4,11,33,33.3,23,32,71.9,15,34,49,25,13,9,17,27,9
HOU,HOU vs. LAL,01/18/2020,2019-20,L,240,115,40,90,44.4,12,37,32.4,23,29,79.3,11,35,46,20,8,4,20,26,-9
BOS,BOS vs. PHX,01/18/2020,2019-20,L,240,119,42,96,43.8,15,42,35.7,20,22,90.9,4,35,39,26,11,6,11,24,-4
PHX,PHX @ BOS,01/18/2020,2019-20,W,240,123,42,89,47.2,13,31,41.9,26,30,86.7,10,42,52,27,6,6,15,16,4
BKN,BKN vs. MIL,01/18/2020,2019-20,L,240,97,33,99,33.3,15,49,30.6,16,17,94.1,12,35,47,23,11,7,17,19,-20
MIL,MIL @ BKN,01/18/2020,2019-20,W,240,117,45,89,50.6,17,37,45.9,10,16,62.5,5,49,54,30,8,6,20,16,20
NYK,NYK vs. PHI,01/18/2020,2019-20,L,240,87,35,88,39.8,6,25,24.0,11,18,61.1,12,36,48,20,4,5,14,18,-3
PHI,PHI @ NYK,01/18/2020,2019-20,W,240,90,34,78,43.6,10,32,31.3,12,19,63.2,5,36,41,26,8,6,14,19,3
CHI,CHI vs. CLE,01/18/2020,2019-20,W,240,118,48,87,55.2,9,25,36.0,13,17,76.5,4,22,26,25,18,4,12,24,2
CLE,CLE @ CHI,01/18/2020,2019-20,L,240,116,40,73,54.8,15,29,51.7,21,23,91.3,7,29,36,27,5,5,27,18,-2
ORL,ORL @ GSW,01/18/2020,2019-20,L,240,95,39,86,45.3,9,31,29.0,8,13,61.5,9,37,46,21,7,5,15,12,-14
GSW,GSW vs. ORL,01/18/2020,2019-20,W,240,109,43,94,45.7,12,40,30.0,11,11,100,7,37,44,25,9,2,11,13,14
MEM,MEM vs. CLE,01/17/2020,2019-20,W,240,113,45,89,50.6,9,28,32.1,14,20,70.0,7,37,44,32,11,8,12,19,4
CLE,CLE @ MEM,01/17/2020,2019-20,L,240,109,41,92,44.6,9,36,25.0,18,26,69.2,16,34,50,18,6,2,15,19,-4
MIA,MIA @ OKC,01/17/2020,2019-20,W,240,115,41,84,48.8,14,36,38.9,19,24,79.2,6,39,45,26,4,3,11,23,7
OKC,OKC vs. MIA,01/17/2020,2019-20,L,240,108,37,84,44.0,18,46,39.1,16,18,88.9,6,29,35,29,4,5,10,20,-7
WAS,WAS @ TOR,01/17/2020,2019-20,L,240,111,40,89,44.9,15,35,42.9,16,23,69.6,13,30,43,19,9,3,28,16,-29
TOR,TOR vs. WAS,01/17/2020,2019-20,W,240,140,52,91,57.1,22,43,51.2,14,16,87.5,7,34,41,35,16,2,19,24,29
POR,POR @ DAL,01/17/2020,2019-20,L,240,112,44,85,51.8,9,30,30.0,15,22,68.2,8,32,40,25,6,5,12,22,-8
DAL,DAL vs. POR,01/17/2020,2019-20,W,240,120,39,89,43.8,20,47,42.6,22,28,78.6,13,30,43,19,6,4,13,17,8
MIN,MIN @ IND,01/17/2020,2019-20,L,240,114,40,88,45.5,17,39,43.6,17,21,81.0,7,29,36,22,4,1,13,19,-2
IND,IND vs. MIN,01/17/2020,2019-20,W,240,116,46,82,56.1,8,24,33.3,16,20,80.0,4,37,41,24,4,8,13,20,2
SAS,SAS vs. ATL,01/17/2020,2019-20,L,240,120,45,98,45.9,8,29,27.6,22,23,95.7,14,34,48,28,12,6,15,27,-1
ATL,ATL @ SAS,01/17/2020,2019-20,W,240,121,41,82,50.0,19,40,47.5,20,27,74.1,8,35,43,21,10,6,19,18,1
CHI,CHI @ PHI,01/17/2020,2019-20,L,240,89,35,81,43.2,8,35,22.9,11,15,73.3,6,31,37,21,8,3,17,14,-11
PHI,PHI vs. CHI,01/17/2020,2019-20,W,240,100,40,82,48.8,9,29,31.0,11,11,100,9,35,44,30,9,7,13,12,11
NOP,NOP vs. UTA,01/16/2020,2019-20,W,265,138,51,93,54.8,11,26,42.3,25,35,71.4,9,36,45,29,8,9,13,27,6
UTA,UTA @ NOP,01/16/2020,2019-20,L,265,132,46,100,46.0,15,39,38.5,25,32,78.1,11,32,43,23,9,6,13,29,-6
MIL,MIL vs. BOS,01/16/2020,2019-20,W,240,128,43,87,49.4,16,31,51.6,26,37,70.3,7,43,50,21,6,6,10,22,5
BOS,BOS @ MIL,01/16/2020,2019-20,L,240,123,43,98,43.9,15,49,30.6,22,27,81.5,10,33,43,16,4,7,8,25,-5
LAC,LAC vs. ORL,01/16/2020,2019-20,W,240,122,47,95,49.5,14,32,43.8,14,20,70.0,10,49,59,29,4,4,10,17,27
ORL,ORL @ LAC,01/16/2020,2019-20,L,240,95,36,92,39.1,14,42,33.3,9,16,56.3,6,36,42,24,4,4,9,21,-27
PHX,PHX @ NYK,01/16/2020,2019-20,W,240,121,47,92,51.1,12,30,40.0,15,18,83.3,14,39,53,31,11,4,19,22,23
NYK,NYK vs. PHX,01/16/2020,2019-20,L,240,98,37,90,41.1,8,26,30.8,16,24,66.7,10,30,40,21,12,3,18,21,-23
GSW,GSW vs. DEN,01/16/2020,2019-20,L,265,131,42,95,44.2,20,45,44.4,27,31,87.1,10,32,42,36,12,6,19,20,-3
DEN,DEN @ GSW,01/16/2020,2019-20,W,265,134,47,100,47.0,17,35,48.6,23,26,88.5,15,41,56,31,11,6,21,23,3
TOR,TOR @ OKC,01/15/2020,2019-20,W,240,130,52,85,61.2,15,27,55.6,11,15,73.3,5,31,36,33,13,1,19,23,9
OKC,OKC vs. TOR,01/15/2020,2019-20,L,240,121,43,85,50.6,16,42,38.1,19,20,95.0,4,27,31,32,14,3,20,17,-9
MIN,MIN vs. IND,01/15/2020,2019-20,L,240,99,38,88,43.2,11,28,39.3,12,16,75.0,10,35,45,26,6,7,15,14,-5
IND,IND @ MIN,01/15/2020,2019-20,W,240,104,44,85,51.8,7,23,30.4,9,12,75.0,7,38,45,27,7,3,15,15,5
CHA,CHA @ DEN,01/15/2020,2019-20,L,240,86,33,81,40.7,12,35,34.3,8,14,57.1,9,33,42,28,4,6,15,24,-14
DEN,DEN vs. CHA,01/15/2020,2019-20,W,240,100,38,79,48.1,9,28,32.1,15,25,60.0,3,37,40,28,8,7,13,18,14
SAC,SAC vs. DAL,01/15/2020,2019-20,L,240,123,50,96,52.1,12,33,36.4,11,20,55.0,11,31,42,28,5,0,8,22,-4
DAL,DAL @ SAC,01/15/2020,2019-20,W,240,127,47,92,51.1,13,40,32.5,20,24,83.3,13,34,47,24,4,2,11,18,4
SAS,SAS @ MIA,01/15/2020,2019-20,L,240,100,39,89,43.8,10,33,30.3,12,15,80.0,6,35,41,22,8,4,8,17,-6
MIA,MIA vs. SAS,01/15/2020,2019-20,W,240,106,41,88,46.6,17,40,42.5,7,13,53.8,8,41,49,26,4,5,10,14,6
POR,POR @ HOU,01/15/2020,2019-20,W,240,117,41,95,43.2,11,36,30.6,24,29,82.8,12,46,58,22,6,4,8,19,10
HOU,HOU vs. POR,01/15/2020,2019-20,L,240,107,38,96,39.6,16,49,32.7,15,23,65.2,12,38,50,24,4,4,12,22,-10
BOS,BOS vs. DET,01/15/2020,2019-20,L,240,103,41,83,49.4,9,28,32.1,12,20,60.0,13,31,44,21,7,2,15,17,-13
DET,DET @ BOS,01/15/2020,2019-20,W,240,116,47,78,60.3,12,32,37.5,10,19,52.6,3,31,34,30,8,4,13,19,13
WAS,WAS @ CHI,01/15/2020,2019-20,L,240,106,37,79,46.8,11,27,40.7,21,26,80.8,7,31,38,25,8,6,17,17,-9
CHI,CHI vs. WAS,01/15/2020,2019-20,W,240,115,43,85,50.6,14,38,36.8,15,22,68.2,8,33,41,26,11,5,15,19,9
LAL,LAL vs. ORL,01/15/2020,2019-20,L,240,118,48,97,49.5,15,38,39.5,7,11,63.6,13,35,48,34,7,6,16,20,-1
ORL,ORL @ LAL,01/15/2020,2019-20,W,240,119,43,94,45.7,10,26,38.5,23,29,79.3,13,35,48,22,10,2,13,15,1
PHI,PHI vs. BKN,01/15/2020,2019-20,W,240,117,45,88,51.1,11,30,36.7,16,25,64.0,13,36,49,25,7,11,12,23,11
BKN,BKN @ PHI,01/15/2020,2019-20,L,240,106,38,87,43.7,12,25,48.0,18,30,60.0,11,33,44,20,9,1,15,22,-11
HOU,HOU @ MEM,01/14/2020,2019-20,L,240,110,37,86,43.0,14,45,31.1,22,24,91.7,9,32,41,18,4,2,16,23,-11
MEM,MEM vs. HOU,01/14/2020,2019-20,W,240,121,46,91,50.5,13,37,35.1,16,19,84.2,7,35,42,29,6,9,9,19,11
MIL,MIL vs. NYK,01/14/2020,2019-20,W,240,128,45,92,48.9,15,36,41.7,23,28,82.1,8,51,59,27,4,8,14,22,26
NYK,NYK @ MIL,01/14/2020,2019-20,L,240,102,36,102,35.3,11,37,29.7,19,26,73.1,12,37,49,26,7,3,11,21,-26
PHX,PHX @ ATL,01/14/2020,2019-20,L,240,110,40,87,46.0,4,20,20.0,26,32,81.3,10,30,40,20,9,6,12,19,-13
ATL,ATL vs. PHX,01/14/2020,2019-20,W,240,123,46,93,49.5,14,31,45.2,17,20,85.0,12,34,46,25,3,10,17,25,13
CLE,CLE @ LAC,01/14/2020,2019-20,L,240,103,38,91,41.8,14,37,37.8,13,15,86.7,8,32,40,25,5,6,13,21,-25
LAC,LAC vs. CLE,01/14/2020,2019-20,W,240,128,49,94,52.1,15,38,39.5,15,21,71.4,14,39,53,29,7,8,11,12,25
