Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
PHX,PHX vs. TOR,03/03/2020,2019-20,L,240,114,39,85,45.9,15,39,38.5,21,25,84.0,6,29,35,30,6,6,18,22,-9
TOR,TOR @ PHX,03/03/2020,2019-20,W,240,123,40,86,46.5,14,34,41.2,29,35,82.9,9,38,47,17,9,5,15,25,9
PHI,PHI @ LAL,03/03/2020,2019-20,L,240,107,38,85,44.7,16,40,40.0,15,20,75.0,12,30,42,24,10,1,15,17,-13
LAL,LAL vs. PHI,03/03/2020,2019-20,W,240,120,46,86,53.5,13,33,39.4,15,18,83.3,10,33,43,25,9,6,13,18,13
MEM,MEM @ ATL,03/02/2020,2019-20,W,240,127,46,92,50.0,14,32,43.8,21,31,67.7,14,46,60,30,12,8,15,16,39
ATL,ATL vs. MEM,03/02/2020,2019-20,L,240,88,32,99,32.3,9,35,25.7,15,16,93.8,16,27,43,20,6,8,17,21,-39
MIA,MIA vs. MIL,03/02/2020,2019-20,W,240,105,37,86,43.0,18,37,48.6,13,18,72.2,6,40,46,28,4,4,10,19,16
MIL,MIL @ MIA,03/02/2020,2019-20,L,240,89,35,86,40.7,7,34,20.6,12,19,63.2,8,40,48,19,4,5,15,18,-16
UTA,UTA @ CLE,03/02/2020,2019-20,W,240,126,47,83,56.6,20,41,48.8,12,14,85.7,8,39,47,30,3,7,15,17,13
CLE,CLE vs. UTA,03/02/2020,2019-20,L,240,113,42,91,46.2,17,41,41.5,12,18,66.7,11,25,36,28,10,1,7,18,-13
ORL,ORL vs. POR,03/02/2020,2019-20,L,240,107,37,96,38.5,14,43,32.6,19,22,86.4,11,28,39,29,3,2,6,11,-23
POR,POR @ ORL,03/02/2020,2019-20,W,240,130,49,88,55.7,16,33,48.5,16,16,100,6,43,49,27,6,4,12,24,23
HOU,HOU @ NYK,03/02/2020,2019-20,L,240,123,39,94,41.5,20,56,35.7,25,27,92.6,8,26,34,25,11,5,12,20,-2
NYK,NYK vs. HOU,03/02/2020,2019-20,W,240,125,47,97,48.5,12,30,40.0,19,30,63.3,20,45,65,26,6,7,19,19,2
CHI,CHI vs. DAL,03/02/2020,2019-20,W,240,109,44,94,46.8,10,36,27.8,11,17,64.7,12,30,42,24,7,5,14,21,2
DAL,DAL @ CHI,03/02/2020,2019-20,L,240,107,40,84,47.6,12,42,28.6,15,20,75.0,9,35,44,26,9,5,18,20,-2
SAS,SAS vs. IND,03/02/2020,2019-20,L,240,111,40,77,51.9,16,32,50.0,15,19,78.9,3,30,33,21,6,5,15,19,-5
IND,IND @ SAS,03/02/2020,2019-20,W,240,116,39,78,50.0,15,31,48.4,23,26,88.5,6,34,40,22,9,5,13,20,5
NOP,NOP vs. LAL,03/01/2020,2019-20,L,240,114,40,95,42.1,7,32,21.9,27,33,81.8,15,37,52,24,7,3,16,11,-8
LAL,LAL @ NOP,03/01/2020,2019-20,W,240,122,50,97,51.5,13,35,37.1,9,10,90.0,6,30,36,23,9,10,13,26,8
MIL,MIL @ CHA,03/01/2020,2019-20,W,240,93,35,87,40.2,7,31,22.6,16,21,76.2,15,46,61,20,7,6,17,11,8
CHA,CHA vs. MIL,03/01/2020,2019-20,L,240,85,34,96,35.4,8,35,22.9,9,10,90.0,12,35,47,22,7,8,10,18,-8
MIN,MIN vs. DAL,03/01/2020,2019-20,L,240,91,36,99,36.4,13,42,31.0,6,15,40.0,14,43,57,19,9,3,14,17,-20
