Player,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Flip Murray,CHI,CHI @ CHA,04/14/2010,2009-10,W,23,9,4,11,36.4,1,3,33.3,0,0,-,0,2,2,1,0,0,2,1,4
Gerald Henderson,CHA,CHA vs. CHI,04/14/2010,2009-10,L,18,4,1,3,33.3,0,1,0.0,2,2,100,0,2,2,2,2,1,0,2,0
Luol Deng,CHI,CHI @ CHA,04/14/2010,2009-10,W,32,11,4,10,40.0,0,2,0.0,3,3,100,0,1,1,2,2,0,3,4,0
Boris Diaw,CHA,CHA vs. CHI,04/14/2010,2009-10,L,22,10,5,8,62.5,0,2,0.0,0,0,-,1,3,4,3,1,1,0,2,0
Brad Miller,CHI,CHI @ CHA,04/14/2010,2009-10,W,24,11,4,9,44.4,1,4,25.0,2,2,100,1,6,7,1,1,0,0,4,9
Stephen Graham,CHA,CHA vs. CHI,04/14/2010,2009-10,L,6,0,0,2,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-6
Theo Ratliff,CHA,CHA vs. CHI,04/14/2010,2009-10,L,14,0,0,0,-,0,0,-,0,0,-,0,2,2,2,0,0,1,2,-3
Kirk Hinrich,CHI,CHI @ CHA,04/14/2010,2009-10,W,34,8,3,7,42.9,2,4,50.0,0,0,-,0,2,2,3,1,0,3,4,7
Stephen Jackson,CHA,CHA vs. CHI,04/14/2010,2009-10,L,24,14,6,13,46.2,2,4,50.0,0,0,-,1,2,3,1,2,1,2,1,-3
Joakim Noah,CHI,CHI @ CHA,04/14/2010,2009-10,W,38,21,7,11,63.6,0,0,-,7,9,77.8,3,10,13,4,0,1,5,2,8
Jannero Pargo,CHI,CHI @ CHA,04/14/2010,2009-10,W,5,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,1,-2
Tyson Chandler,CHA,CHA vs. CHI,04/14/2010,2009-10,L,12,4,2,2,100,0,0,-,0,0,-,1,1,2,0,0,0,0,1,-4
Nazr Mohammed,CHA,CHA vs. CHI,04/14/2010,2009-10,L,22,9,3,8,37.5,0,0,-,3,4,75.0,2,3,5,1,2,0,0,5,-2
Tyrus Thomas,CHA,CHA vs. CHI,04/14/2010,2009-10,L,27,16,5,12,41.7,0,0,-,6,7,85.7,2,7,9,1,2,2,1,3,-9
James Johnson,CHI,CHI @ CHA,04/14/2010,2009-10,W,6,0,0,2,0.0,0,1,0.0,0,0,-,0,0,0,2,0,3,0,2,6
Larry Hughes,CHA,CHA vs. CHI,04/14/2010,2009-10,L,24,8,3,8,37.5,1,2,50.0,1,2,50.0,0,1,1,3,3,0,2,0,-6
Gerald Wallace,CHA,CHA vs. CHI,04/14/2010,2009-10,L,24,15,4,8,50.0,0,0,-,7,7,100,1,0,1,0,2,1,4,0,-3
Derrick Rose,CHI,CHI @ CHA,04/14/2010,2009-10,W,43,27,10,19,52.6,2,4,50.0,5,6,83.3,2,0,2,5,2,1,5,0,8
Taj Gibson,CHI,CHI @ CHA,04/14/2010,2009-10,W,34,11,4,7,57.1,0,0,-,3,5,60.0,7,6,13,0,1,1,0,4,5
Raymond Felton,CHA,CHA vs. CHI,04/14/2010,2009-10,L,24,5,2,7,28.6,0,1,0.0,1,2,50.0,1,2,3,5,1,0,3,3,-3
