Player,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
D.J. Augustin,CHA,CHA vs. CHI,04/14/2010,2009-10,L,24,4,1,9,11.1,0,4,0.0,2,2,100,0,1,1,2,0,1,0,1,-6
O.J. Mayo,MEM,MEM @ OKC,04/14/2010,2009-10,L,37,17,6,16,37.5,1,5,20.0,4,5,80.0,1,5,6,5,0,0,1,4,-18
Hasheem Thabeet,MEM,MEM @ OKC,04/14/2010,2009-10,L,35,6,2,3,66.7,0,0,-,2,2,100,2,4,6,1,1,2,1,5,-8
Russell Westbrook,OKC,OKC vs. MEM,04/14/2010,2009-10,W,25,9,3,10,30.0,0,1,0.0,3,3,100,4,3,7,7,1,0,3,3,9
DJ White,OKC,OKC vs. MEM,04/14/2010,2009-10,W,2,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-4
Thabo Sefolosha,OKC,OKC vs. MEM,04/14/2010,2009-10,W,27,10,4,9,44.4,2,4,50.0,0,0,-,0,1,1,0,1,0,1,0,4
Kevin Durant,OKC,OKC vs. MEM,04/14/2010,2009-10,W,38,31,12,18,66.7,2,3,66.7,5,5,100,1,6,7,4,2,3,4,1,10
DeMarre Carroll,MEM,MEM @ OKC,04/14/2010,2009-10,L,5,6,3,5,60.0,0,0,-,0,0,-,1,0,1,0,0,0,0,0,7
Etan Thomas,OKC,OKC vs. MEM,04/14/2010,2009-10,W,10,2,1,2,50.0,0,0,-,0,0,-,1,1,2,0,0,0,0,2,10
Lester Hudson,MEM,MEM @ OKC,04/14/2010,2009-10,L,2,2,1,1,100,0,0,-,0,0,-,0,0,0,1,1,0,0,0,4
James Harden,OKC,OKC vs. MEM,04/14/2010,2009-10,W,26,12,4,9,44.4,2,6,33.3,2,2,100,0,4,4,1,0,0,2,4,-1
Darrell Arthur,MEM,MEM @ OKC,04/14/2010,2009-10,L,8,0,0,2,0.0,0,0,-,0,0,-,1,0,1,1,0,0,0,1,-3
Nick Collison,OKC,OKC vs. MEM,04/14/2010,2009-10,W,15,2,1,2,50.0,0,0,-,0,0,-,0,3,3,1,0,0,1,2,7
Byron Mullens,OKC,OKC vs. MEM,04/14/2010,2009-10,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-4
Hamed Haddadi,MEM,MEM @ OKC,04/14/2010,2009-10,L,5,2,1,2,50.0,0,0,-,0,0,-,1,0,1,0,0,0,0,1,-8
Eric Maynor,OKC,OKC vs. MEM,04/14/2010,2009-10,W,29,15,6,8,75.0,2,3,66.7,1,1,100,0,5,5,10,0,0,1,2,5
Rudy Gay,MEM,MEM @ OKC,04/14/2010,2009-10,L,43,25,9,21,42.9,0,2,0.0,7,9,77.8,1,4,5,3,3,0,1,2,-15
Mike Conley,MEM,MEM @ OKC,04/14/2010,2009-10,L,36,16,5,12,41.7,0,2,0.0,6,7,85.7,0,3,3,5,0,0,2,3,-5
Serge Ibaka,OKC,OKC vs. MEM,04/14/2010,2009-10,W,32,15,4,7,57.1,0,0,-,7,10,70.0,3,6,9,0,0,5,0,5,4
Zach Randolph,MEM,MEM @ OKC,04/14/2010,2009-10,L,41,21,8,16,50.0,0,0,-,5,7,71.4,3,8,11,0,1,0,1,1,-4
Sam Young,MEM,MEM @ OKC,04/14/2010,2009-10,L,16,4,1,3,33.3,0,0,-,2,3,66.7,0,4,4,0,0,0,1,0,9
Jeff Green,OKC,OKC vs. MEM,04/14/2010,2009-10,W,34,16,6,13,46.2,2,8,25.0,2,4,50.0,1,3,4,2,0,1,1,5,5
Marcus Williams,MEM,MEM @ OKC,04/14/2010,2009-10,L,12,6,3,4,75.0,0,0,-,0,0,-,1,0,1,3,1,0,2,0,-4
Danilo Gallinari,NYK,NYK @ TOR,04/14/2010,2009-10,L,37,22,6,18,33.3,5,12,41.7,5,8,62.5,1,3,4,2,1,0,3,3,-10
Chris Duhon,NYK,NYK @ TOR,04/14/2010,2009-10,L,24,10,4,7,57.1,2,4,50.0,0,0,-,0,0,0,5,1,0,0,0,-5
Sergio Rodriguez,NYK,NYK @ TOR,04/14/2010,2009-10,L,20,6,3,7,42.9,0,1,0.0,0,0,-,2,1,3,1,0,0,4,2,-15
Rasho Nesterovic,TOR,TOR vs. NYK,04/14/2010,2009-10,W,7,2,1,2,50.0,0,0,-,0,0,-,1,0,1,2,0,0,1,1,-3
Marco Belinelli,TOR,TOR vs. NYK,04/14/2010,2009-10,W,22,14,5,8,62.5,3,3,100,1,2,50.0,0,2,2,1,0,0,1,1,17
Hedo Turkoglu,TOR,TOR vs. NYK,04/14/2010,2009-10,W,19,5,1,1,100,0,0,-,3,4,75.0,0,1,1,3,1,0,0,5,11
David Lee,NYK,NYK @ TOR,04/14/2010,2009-10,L,33,19,8,17,47.1,0,0,-,3,3,100,6,5,11,5,1,1,5,4,-10
Jose Calderon,TOR,TOR vs. NYK,04/14/2010,2009-10,W,21,15,6,10,60.0,1,2,50.0,2,2,100,0,3,3,2,2,0,1,0,11
Henry Walker,NYK,NYK @ TOR,04/14/2010,2009-10,L,35,28,8,17,47.1,6,10,60.0,6,7,85.7,2,5,7,1,0,0,0,3,-6
Earl Barron,NYK,NYK @ TOR,04/14/2010,2009-10,L,40,11,4,10,40.0,0,0,-,3,4,75.0,4,3,7,1,1,0,1,3,-10
J.R. Giddens,NYK,NYK @ TOR,04/14/2010,2009-10,L,15,3,1,2,50.0,0,1,0.0,1,2,50.0,2,2,4,2,1,0,0,2,-13
Sonny Weems,TOR,TOR vs. NYK,04/14/2010,2009-10,W,33,18,9,12,75.0,0,0,-,0,0,-,0,5,5,4,3,0,2,4,5
Amir Johnson,TOR,TOR vs. NYK,04/14/2010,2009-10,W,40,21,9,13,69.2,0,1,0.0,3,3,100,2,3,5,3,1,1,0,2,4
DeMar DeRozan,TOR,TOR vs. NYK,04/14/2010,2009-10,W,38,24,9,11,81.8,0,0,-,6,8,75.0,0,9,9,2,1,1,2,3,12
Jarrett Jack,TOR,TOR vs. NYK,04/14/2010,2009-10,W,27,8,3,8,37.5,1,4,25.0,1,2,50.0,1,2,3,6,0,0,1,1,7
Toney Douglas,NYK,NYK @ TOR,04/14/2010,2009-10,L,35,14,5,12,41.7,2,5,40.0,2,2,100,1,1,2,5,1,0,2,2,-21
Andrea Bargnani,TOR,TOR vs. NYK,04/14/2010,2009-10,W,34,24,9,15,60.0,2,4,50.0,4,4,100,0,4,4,5,1,3,3,3,26
Solomon Jones,IND,IND @ WAS,04/14/2010,2009-10,L,7,4,1,1,100,0,0,-,2,2,100,0,3,3,0,1,1,2,2,-4
JaVale McGee,WAS,WAS vs. IND,04/14/2010,2009-10,W,29,14,5,10,50.0,0,0,-,4,6,66.7,0,8,8,0,3,3,2,6,0
Andray Blatche,WAS,WAS vs. IND,04/14/2010,2009-10,W,29,26,11,19,57.9,0,2,0.0,4,5,80.0,1,6,7,3,4,0,2,1,2
Cedric Jackson,WAS,WAS vs. IND,04/14/2010,2009-10,W,19,8,2,5,40.0,1,3,33.3,3,4,75.0,0,1,1,4,0,0,5,2,-7
Mike Dunleavy,IND,IND @ WAS,04/14/2010,2009-10,L,21,9,3,8,37.5,2,4,50.0,1,1,100,0,2,2,1,0,0,1,2,-8
Earl Watson,IND,IND @ WAS,04/14/2010,2009-10,L,39,14,7,9,77.8,0,1,0.0,0,0,-,2,1,3,3,1,0,4,2,1
Cartier Martin,WAS,WAS vs. IND,04/14/2010,2009-10,W,32,11,5,14,35.7,1,5,20.0,0,0,-,1,4,5,2,0,0,1,5,-1
Al Thornton,WAS,WAS vs. IND,04/14/2010,2009-10,W,18,6,3,5,60.0,0,0,-,0,0,-,0,1,1,0,1,0,1,3,-2
Roy Hibbert,IND,IND @ WAS,04/14/2010,2009-10,L,29,29,10,16,62.5,0,0,-,9,11,81.8,2,5,7,0,1,1,0,5,6
AJ Price,IND,IND @ WAS,04/14/2010,2009-10,L,11,0,0,4,0.0,0,3,0.0,0,0,-,0,0,0,1,0,0,0,0,-1
Danny Granger,IND,IND @ WAS,04/14/2010,2009-10,L,33,17,4,16,25.0,1,5,20.0,8,8,100,2,7,9,2,0,0,5,4,-8
Troy Murphy,IND,IND @ WAS,04/14/2010,2009-10,L,35,3,1,10,10.0,0,6,0.0,1,2,50.0,4,5,9,3,4,0,0,3,-1
Nick Young,WAS,WAS vs. IND,04/14/2010,2009-10,W,17,5,2,6,33.3,1,3,33.3,0,0,-,0,1,1,0,0,0,1,2,-2
Fabricio Oberto,WAS,WAS vs. IND,04/14/2010,2009-10,W,13,2,1,1,100,0,0,-,0,0,-,0,3,3,1,0,0,1,2,-6
Josh McRoberts,IND,IND @ WAS,04/14/2010,2009-10,L,13,2,0,2,0.0,0,1,0.0,2,2,100,2,1,3,4,0,0,0,0,0
Mike Miller,WAS,WAS vs. IND,04/14/2010,2009-10,W,14,6,1,3,33.3,1,2,50.0,3,3,100,0,2,2,3,0,0,1,1,2
Dahntay Jones,IND,IND @ WAS,04/14/2010,2009-10,L,17,11,4,9,44.4,0,0,-,3,3,100,1,2,3,1,1,0,1,2,8
Quinton Ross,WAS,WAS vs. IND,04/14/2010,2009-10,W,15,4,2,2,100,0,0,-,0,0,-,0,0,0,0,1,0,2,0,5
Brandon Rush,IND,IND @ WAS,04/14/2010,2009-10,L,34,8,3,8,37.5,0,2,0.0,2,3,66.7,0,3,3,0,0,1,2,2,2
James Singleton,WAS,WAS vs. IND,04/14/2010,2009-10,W,26,6,1,4,25.0,0,0,-,4,5,80.0,7,10,17,0,0,1,3,0,6
Shaun Livingston,WAS,WAS vs. IND,04/14/2010,2009-10,W,29,10,4,8,50.0,0,0,-,2,4,50.0,0,2,2,7,0,0,1,1,8
Al Jefferson,MIN,MIN vs. DET,04/14/2010,2009-10,L,38,16,8,15,53.3,0,0,-,0,0,-,2,9,11,4,1,4,2,2,-10
Charlie Villanueva,DET,DET @ MIN,04/14/2010,2009-10,W,25,16,4,10,40.0,3,6,50.0,5,5,100,0,2,2,1,2,2,0,5,9
Sasha Pavlovic,MIN,MIN vs. DET,04/14/2010,2009-10,L,14,8,4,6,66.7,0,1,0.0,0,0,-,0,2,2,0,1,0,0,2,12
Ramon Sessions,MIN,MIN vs. DET,04/14/2010,2009-10,L,41,14,3,12,25.0,0,1,0.0,8,10,80.0,0,1,1,5,1,1,2,5,-9
Kevin Love,MIN,MIN vs. DET,04/14/2010,2009-10,L,18,9,4,10,40.0,0,1,0.0,1,2,50.0,5,5,10,5,1,1,4,2,13
Darko Milicic,MIN,MIN vs. DET,04/14/2010,2009-10,L,36,15,6,10,60.0,0,1,0.0,3,3,100,2,4,6,2,2,0,4,4,-5
Corey Brewer,MIN,MIN vs. DET,04/14/2010,2009-10,L,35,27,10,15,66.7,2,5,40.0,5,6,83.3,2,0,2,4,0,0,2,3,-14
Austin Daye,DET,DET @ MIN,04/14/2010,2009-10,W,30,12,3,7,42.9,0,3,0.0,6,6,100,0,8,8,2,2,0,3,5,10
Damien Wilkins,MIN,MIN vs. DET,04/14/2010,2009-10,L,17,2,1,2,50.0,0,1,0.0,0,0,-,0,2,2,2,0,0,1,3,-12
Wayne Ellington,MIN,MIN vs. DET,04/14/2010,2009-10,L,7,5,2,4,50.0,1,2,50.0,0,0,-,0,0,0,1,0,0,1,0,4
Ben Wallace,DET,DET @ MIN,04/14/2010,2009-10,W,22,9,3,6,50.0,0,1,0.0,3,4,75.0,3,2,5,1,3,1,0,0,3
Chucky Atkins,DET,DET @ MIN,04/14/2010,2009-10,W,22,7,2,6,33.3,0,2,0.0,3,4,75.0,0,0,0,5,0,0,1,3,9
Jonas Jerebko,DET,DET @ MIN,04/14/2010,2009-10,W,44,12,5,10,50.0,0,1,0.0,2,4,50.0,5,8,13,1,3,0,2,3,17
Ryan Gomes,MIN,MIN vs. DET,04/14/2010,2009-10,L,32,2,0,3,0.0,0,0,-,2,3,66.7,1,3,4,0,0,0,0,3,-1
Tayshaun Prince,DET,DET @ MIN,04/14/2010,2009-10,W,31,20,9,14,64.3,0,1,0.0,2,3,66.7,0,1,1,3,1,1,3,1,0
Ryan Hollins,MIN,MIN vs. DET,04/14/2010,2009-10,L,2,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,1,0,0,-3
Jason Maxiell,DET,DET @ MIN,04/14/2010,2009-10,W,14,7,3,8,37.5,0,1,0.0,1,2,50.0,3,0,3,0,0,1,1,1,-15
Will Bynum,DET,DET @ MIN,04/14/2010,2009-10,W,27,8,4,10,40.0,0,0,-,0,0,-,0,1,1,1,0,0,1,1,-11
DaJuan Summers,DET,DET @ MIN,04/14/2010,2009-10,W,27,12,5,8,62.5,1,2,50.0,1,2,50.0,1,1,2,2,0,0,1,2,3
Ian Mahinmi,SAS,SAS @ DAL,04/14/2010,2009-10,L,15,8,3,4,75.0,0,0,-,2,4,50.0,0,4,4,0,0,0,0,1,-9
Richard Jefferson,SAS,SAS @ DAL,04/14/2010,2009-10,L,22,7,2,6,33.3,0,3,0.0,3,4,75.0,1,0,1,0,0,0,0,1,0
Erick Dampier,DAL,DAL vs. SAS,04/14/2010,2009-10,W,18,5,2,3,66.7,0,0,-,1,2,50.0,1,2,3,2,0,1,0,3,-4
Matt Bonner,SAS,SAS @ DAL,04/14/2010,2009-10,L,25,2,1,8,12.5,0,5,0.0,0,0,-,1,4,5,1,2,0,0,1,-11
Tony Parker,SAS,SAS @ DAL,04/14/2010,2009-10,L,29,16,6,16,37.5,1,1,100,3,4,75.0,0,2,2,4,1,0,3,1,-11
Brendan Haywood,DAL,DAL vs. SAS,04/14/2010,2009-10,W,28,8,3,6,50.0,0,0,-,2,5,40.0,5,10,15,1,0,5,1,3,11
Rodrigue Beaubois,DAL,DAL vs. SAS,04/14/2010,2009-10,W,7,4,2,4,50.0,0,1,0.0,0,0,-,0,1,1,1,0,0,0,0,-1
Caron Butler,DAL,DAL vs. SAS,04/14/2010,2009-10,W,39,20,7,12,58.3,0,0,-,6,8,75.0,2,3,5,2,3,1,2,2,-6
Jason Kidd,DAL,DAL vs. SAS,04/14/2010,2009-10,W,28,18,5,12,41.7,3,5,60.0,5,5,100,1,6,7,3,0,0,2,1,6
Garrett Temple,SAS,SAS @ DAL,04/14/2010,2009-10,L,25,14,6,13,46.2,1,6,16.7,1,2,50.0,0,0,0,3,1,2,2,6,-3
Antonio McDyess,SAS,SAS @ DAL,04/14/2010,2009-10,L,20,4,2,5,40.0,0,0,-,0,0,-,1,8,9,0,2,0,2,1,-1
DeJuan Blair,SAS,SAS @ DAL,04/14/2010,2009-10,L,37,27,12,21,57.1,0,0,-,3,4,75.0,8,15,23,4,3,0,3,3,9
Keith Bogans,SAS,SAS @ DAL,04/14/2010,2009-10,L,24,3,1,4,25.0,0,3,0.0,1,2,50.0,0,2,2,0,0,1,0,1,-9
Roger Mason Jr.,SAS,SAS @ DAL,04/14/2010,2009-10,L,37,2,1,9,11.1,0,3,0.0,0,0,-,0,6,6,6,0,0,1,2,-2
DeShawn Stevenson,DAL,DAL vs. SAS,04/14/2010,2009-10,W,6,0,0,0,-,0,0,-,0,0,-,0,1,1,1,0,0,0,0,11
Eduardo Najera,DAL,DAL vs. SAS,04/14/2010,2009-10,W,5,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-5
Jason Terry,DAL,DAL vs. SAS,04/14/2010,2009-10,W,26,10,3,11,27.3,2,4,50.0,2,2,100,0,1,1,2,3,0,1,3,8
Dirk Nowitzki,DAL,DAL vs. SAS,04/14/2010,2009-10,W,33,19,8,20,40.0,1,2,50.0,2,2,100,0,5,5,5,0,0,1,2,8
George Hill,SAS,SAS @ DAL,04/14/2010,2009-10,L,5,6,3,5,60.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,2
J.J. Barea,DAL,DAL vs. SAS,04/14/2010,2009-10,W,20,4,2,4,50.0,0,2,0.0,0,0,-,0,3,3,1,1,0,1,1,1
Shawn Marion,DAL,DAL vs. SAS,04/14/2010,2009-10,W,31,8,3,13,23.1,0,0,-,2,4,50.0,1,5,6,4,1,0,3,0,6
Jamario Moon,CLE,CLE @ ATL,04/14/2010,2009-10,L,31,15,7,13,53.8,1,3,33.3,0,2,0.0,2,5,7,1,2,1,2,2,2
Jawad Williams,CLE,CLE @ ATL,04/14/2010,2009-10,L,34,4,1,6,16.7,0,4,0.0,2,4,50.0,1,1,2,0,1,0,1,1,-13
Antawn Jamison,CLE,CLE @ ATL,04/14/2010,2009-10,L,17,7,2,5,40.0,0,1,0.0,3,4,75.0,0,2,2,1,0,0,0,1,-3
Marvin Williams,ATL,ATL vs. CLE,04/14/2010,2009-10,W,28,11,4,7,57.1,0,0,-,3,3,100,0,3,3,3,1,0,2,2,13
Maurice Evans,ATL,ATL vs. CLE,04/14/2010,2009-10,W,33,15,6,15,40.0,1,5,20.0,2,2,100,1,3,4,3,1,1,1,1,-1
Joe Smith,ATL,ATL vs. CLE,04/14/2010,2009-10,W,31,10,5,13,38.5,0,1,0.0,0,0,-,4,6,10,1,1,1,2,3,8
Leon Powe,CLE,CLE @ ATL,04/14/2010,2009-10,L,21,6,3,7,42.9,0,0,-,0,4,0.0,3,2,5,0,1,0,0,5,-9
Zaza Pachulia,ATL,ATL vs. CLE,04/14/2010,2009-10,W,28,13,6,9,66.7,0,0,-,1,2,50.0,2,5,7,0,1,0,3,2,20
Jason Collins,ATL,ATL vs. CLE,04/14/2010,2009-10,W,25,10,5,9,55.6,0,1,0.0,0,0,-,0,2,2,0,0,0,0,2,0
Delonte West,CLE,CLE @ ATL,04/14/2010,2009-10,L,25,6,2,7,28.6,0,3,0.0,2,5,40.0,1,1,2,3,3,1,5,3,-20
Randolph Morris,ATL,ATL vs. CLE,04/14/2010,2009-10,W,15,6,2,2,100,0,0,-,2,5,40.0,2,4,6,0,2,0,4,6,1
Jeff Teague,ATL,ATL vs. CLE,04/14/2010,2009-10,W,48,24,11,19,57.9,1,4,25.0,1,2,50.0,0,5,5,15,1,0,5,2,16
Mario West,ATL,ATL vs. CLE,04/14/2010,2009-10,W,33,10,4,5,80.0,0,0,-,2,3,66.7,0,5,5,4,2,0,1,4,23
Sebastian Telfair,CLE,CLE @ ATL,04/14/2010,2009-10,L,24,8,3,10,30.0,0,2,0.0,2,2,100,0,1,1,5,1,0,2,1,2
Zydrunas Ilgauskas,CLE,CLE @ ATL,04/14/2010,2009-10,L,22,8,2,6,33.3,0,0,-,4,4,100,0,5,5,0,0,0,1,3,-7
Anderson Varejao,CLE,CLE @ ATL,04/14/2010,2009-10,L,10,7,2,2,100,0,0,-,3,5,60.0,0,2,2,1,2,0,0,1,2
Anthony Parker,CLE,CLE @ ATL,04/14/2010,2009-10,L,25,8,3,5,60.0,0,1,0.0,2,2,100,0,3,3,4,1,0,0,0,-20
JJ Hickson,CLE,CLE @ ATL,04/14/2010,2009-10,L,31,14,6,12,50.0,0,0,-,2,4,50.0,2,4,6,3,0,0,2,1,-14
Mehmet Okur,UTA,UTA vs. PHX,04/14/2010,2009-10,L,32,21,9,14,64.3,3,4,75.0,0,0,-,0,11,11,0,0,0,1,4,2
Amar'e Stoudemire,PHX,PHX @ UTA,04/14/2010,2009-10,W,32,20,6,12,50.0,0,0,-,8,9,88.9,1,6,7,1,0,1,2,2,8
Jason Richardson,PHX,PHX @ UTA,04/14/2010,2009-10,W,27,12,5,12,41.7,2,5,40.0,0,0,-,1,3,4,2,1,1,3,2,6
Steve Nash,PHX,PHX @ UTA,04/14/2010,2009-10,W,28,5,2,4,50.0,1,1,100,0,0,-,0,2,2,11,2,0,2,2,10
Paul Millsap,UTA,UTA vs. PHX,04/14/2010,2009-10,L,39,7,3,11,27.3,0,0,-,1,1,100,3,4,7,2,1,1,2,5,-14
Leandro Barbosa,PHX,PHX @ UTA,04/14/2010,2009-10,W,21,6,3,6,50.0,0,1,0.0,0,0,-,0,0,0,0,1,0,1,4,8
Ronnie Price,UTA,UTA vs. PHX,04/14/2010,2009-10,L,7,0,0,3,0.0,0,1,0.0,0,0,-,0,1,1,0,0,0,1,3,-4
Kosta Koufos,UTA,UTA vs. PHX,04/14/2010,2009-10,L,18,2,1,4,25.0,0,0,-,0,0,-,1,1,2,2,0,1,0,1,-14
Othyus Jeffers,UTA,UTA vs. PHX,04/14/2010,2009-10,L,9,5,2,2,100,0,0,-,1,1,100,0,2,2,0,0,0,1,2,6
Deron Williams,UTA,UTA vs. PHX,04/14/2010,2009-10,L,38,24,5,17,29.4,2,6,33.3,12,14,85.7,2,3,5,6,1,0,5,3,-15
Sundiata Gaines,UTA,UTA vs. PHX,04/14/2010,2009-10,L,4,4,1,1,100,0,0,-,2,4,50.0,0,0,0,1,0,0,0,1,5
Channing Frye,PHX,PHX @ UTA,04/14/2010,2009-10,W,29,15,6,13,46.2,3,8,37.5,0,0,-,1,5,6,1,2,2,0,2,18
Kyle Korver,UTA,UTA vs. PHX,04/14/2010,2009-10,L,17,0,0,4,0.0,0,1,0.0,0,0,-,0,2,2,3,0,0,0,0,-10
Dwayne Jones,PHX,PHX @ UTA,04/14/2010,2009-10,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-1
Lou Amundson,PHX,PHX @ UTA,04/14/2010,2009-10,W,19,4,0,1,0.0,0,0,-,4,6,66.7,1,4,5,0,0,4,0,5,4
Wesley Matthews,UTA,UTA vs. PHX,04/14/2010,2009-10,L,36,7,2,8,25.0,0,2,0.0,3,4,75.0,0,3,3,2,2,0,6,4,-7
Goran Dragic,PHX,PHX @ UTA,04/14/2010,2009-10,W,20,12,4,7,57.1,1,3,33.3,3,6,50.0,0,4,4,3,2,0,2,3,4
Earl Clark,PHX,PHX @ UTA,04/14/2010,2009-10,W,3,2,0,1,0.0,0,0,-,2,2,100,1,0,1,0,0,0,1,0,-2
Jared Dudley,PHX,PHX @ UTA,04/14/2010,2009-10,W,26,11,4,7,57.1,2,5,40.0,1,2,50.0,1,5,6,2,2,1,2,0,15
Jarron Collins,PHX,PHX @ UTA,04/14/2010,2009-10,W,13,2,1,2,50.0,0,0,-,0,0,-,0,1,1,0,0,0,1,1,0
CJ Miles,UTA,UTA vs. PHX,04/14/2010,2009-10,L,34,14,6,14,42.9,2,5,40.0,0,0,-,3,4,7,1,1,0,3,2,-17
Kyrylo Fesenko,UTA,UTA vs. PHX,04/14/2010,2009-10,L,7,2,1,2,50.0,0,0,-,0,0,-,1,0,1,0,0,0,0,1,-2
Grant Hill,PHX,PHX @ UTA,04/14/2010,2009-10,W,20,11,4,9,44.4,1,4,25.0,2,2,100,1,5,6,1,0,1,0,1,0
Nicolas Batum,POR,POR vs. GSW,04/14/2010,2009-10,L,38,12,5,12,41.7,2,6,33.3,0,2,0.0,1,11,12,3,0,0,1,0,-2
Ronny Turiaf,GSW,GSW @ POR,04/14/2010,2009-10,W,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,1,1,0
Patty Mills,POR,POR vs. GSW,04/14/2010,2009-10,L,13,11,4,8,50.0,2,3,66.7,1,3,33.3,0,1,1,2,0,0,2,4,-8
Reggie Williams,GSW,GSW @ POR,04/14/2010,2009-10,W,48,11,4,10,40.0,0,5,0.0,3,4,75.0,1,3,4,4,1,1,2,3,6
Juwan Howard,POR,POR vs. GSW,04/14/2010,2009-10,L,17,13,5,7,71.4,0,0,-,3,4,75.0,0,4,4,0,0,0,2,3,5
Travis Diener,POR,POR vs. GSW,04/14/2010,2009-10,L,13,0,0,2,0.0,0,2,0.0,0,0,-,0,1,1,2,1,0,0,1,-4
Martell Webster,POR,POR vs. GSW,04/14/2010,2009-10,L,31,18,5,9,55.6,2,3,66.7,6,7,85.7,1,3,4,3,0,0,2,3,-5
Monta Ellis,GSW,GSW @ POR,04/14/2010,2009-10,W,48,34,14,24,58.3,4,8,50.0,2,6,33.3,0,4,4,3,2,0,0,3,6
Stephen Curry,GSW,GSW @ POR,04/14/2010,2009-10,W,48,42,13,25,52.0,4,6,66.7,12,12,100,3,6,9,8,2,1,2,0,6
Anthony Tolliver,GSW,GSW @ POR,04/14/2010,2009-10,W,48,19,7,12,58.3,0,1,0.0,5,9,55.6,4,11,15,3,1,1,1,4,6
Anthony Morrow,GSW,GSW @ POR,04/14/2010,2009-10,W,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-1
