Player,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Shake Milton,PHI,PHI @ HOU,08/14/2020,2019-20,W,19,11,4,7,57.1,3,6,50.0,0,0,-,0,2,2,1,0,0,2,3,-5
Michael Frazier,HOU,HOU vs. PHI,08/14/2020,2019-20,L,17,0,0,4,0.0,0,4,0.0,0,0,-,0,1,1,0,0,0,1,1,-23
Marial Shayok,PHI,PHI @ HOU,08/14/2020,2019-20,W,8,5,1,4,25.0,1,3,33.3,2,2,100,1,1,2,0,0,0,1,1,4
Furkan Korkmaz,PHI,PHI @ HOU,08/14/2020,2019-20,W,17,12,4,7,57.1,2,5,40.0,2,2,100,0,5,5,1,0,0,2,1,27
Josh Richardson,PHI,PHI @ HOU,08/14/2020,2019-20,W,23,5,2,4,50.0,1,2,50.0,0,0,-,0,1,1,1,0,0,0,2,0
Joel Embiid,PHI,PHI @ HOU,08/14/2020,2019-20,W,23,14,6,12,50.0,0,0,-,2,3,66.7,2,4,6,1,1,1,5,5,9
P.J. Tucker,HOU,HOU vs. PHI,08/14/2020,2019-20,L,29,7,3,6,50.0,1,4,25.0,0,0,-,0,1,1,2,0,1,0,2,-12
Jeff Green,HOU,HOU vs. PHI,08/14/2020,2019-20,L,25,17,8,10,80.0,0,2,0.0,1,1,100,0,0,0,4,1,1,0,4,-7
Eric Gordon,HOU,HOU vs. PHI,08/14/2020,2019-20,L,23,13,4,10,40.0,3,6,50.0,2,2,100,0,2,2,2,0,1,1,1,-12
James Harden,HOU,HOU vs. PHI,08/14/2020,2019-20,L,26,27,9,16,56.3,4,9,44.4,5,5,100,0,3,3,10,1,2,7,1,-11
Austin Rivers,HOU,HOU vs. PHI,08/14/2020,2019-20,L,12,1,0,2,0.0,0,2,0.0,1,2,50.0,0,1,1,0,1,0,1,0,-16
Ben McLemore,HOU,HOU vs. PHI,08/14/2020,2019-20,L,11,3,1,4,25.0,1,3,33.3,0,0,-,0,2,2,1,1,0,0,0,-17
Robert Covington,HOU,HOU vs. PHI,08/14/2020,2019-20,L,24,5,1,4,25.0,1,4,25.0,2,2,100,0,5,5,1,2,2,1,1,-3
Al Horford,PHI,PHI @ HOU,08/14/2020,2019-20,W,22,10,4,7,57.1,2,3,66.7,0,0,-,0,3,3,4,0,0,3,3,0
Alec Burks,PHI,PHI @ HOU,08/14/2020,2019-20,W,22,16,6,11,54.5,4,6,66.7,0,0,-,2,3,5,5,2,0,0,0,37
Tobias Harris,PHI,PHI @ HOU,08/14/2020,2019-20,W,24,18,6,10,60.0,2,3,66.7,4,4,100,0,7,7,4,1,0,0,0,2
Norvel Pelle,PHI,PHI @ HOU,08/14/2020,2019-20,W,9,6,3,4,75.0,0,1,0.0,0,0,-,0,2,2,0,0,0,1,2,0
Chris Clemons,HOU,HOU vs. PHI,08/14/2020,2019-20,L,17,4,2,7,28.6,0,5,0.0,0,0,-,0,1,1,4,1,1,1,4,-23
Matisse Thybulle,PHI,PHI @ HOU,08/14/2020,2019-20,W,18,7,3,4,75.0,1,2,50.0,0,0,-,1,1,2,1,4,2,1,1,36
Luc Mbah a Moute,HOU,HOU vs. PHI,08/14/2020,2019-20,L,14,3,1,3,33.3,0,2,0.0,1,2,50.0,0,1,1,0,0,0,0,0,-14
Bruno Caboclo,HOU,HOU vs. PHI,08/14/2020,2019-20,L,17,11,4,9,44.4,1,4,25.0,2,2,100,1,5,6,0,2,1,4,2,-23
Raul Neto,PHI,PHI @ HOU,08/14/2020,2019-20,W,19,14,4,8,50.0,1,3,33.3,5,7,71.4,0,3,3,5,0,0,0,0,20
Kyle O'Quinn,PHI,PHI @ HOU,08/14/2020,2019-20,W,17,6,3,5,60.0,0,2,0.0,0,0,-,1,5,6,5,0,1,1,1,23
Mike Scott,PHI,PHI @ HOU,08/14/2020,2019-20,W,20,10,3,4,75.0,1,2,50.0,3,4,75.0,1,6,7,3,0,0,0,0,37
DeMarre Carroll,HOU,HOU vs. PHI,08/14/2020,2019-20,L,25,5,2,5,40.0,1,3,33.3,0,0,-,0,4,4,1,1,0,1,2,-29
Rodney McGruder,LAC,LAC vs. OKC,08/14/2020,2019-20,W,51,9,2,11,18.2,1,5,20.0,4,6,66.7,3,8,11,2,2,0,2,0,0
Patrick Patterson,LAC,LAC vs. OKC,08/14/2020,2019-20,W,39,17,4,16,25.0,4,11,36.4,5,6,83.3,3,11,14,0,0,0,2,3,-6
Joakim Noah,LAC,LAC vs. OKC,08/14/2020,2019-20,W,29,9,4,7,57.1,0,0,-,1,2,50.0,1,5,6,5,1,0,4,1,8
Darius Bazley,OKC,OKC @ LAC,08/14/2020,2019-20,L,31,9,3,12,25.0,2,5,40.0,1,3,33.3,1,7,8,1,0,2,1,0,7
Terance Mann,LAC,LAC vs. OKC,08/14/2020,2019-20,W,42,25,8,12,66.7,1,3,33.3,8,13,61.5,4,10,14,9,2,0,3,5,-7
Amir Coffey,LAC,LAC vs. OKC,08/14/2020,2019-20,W,50,21,7,17,41.2,2,8,25.0,5,8,62.5,0,2,2,4,4,1,2,6,11
Deonte Burton,OKC,OKC @ LAC,08/14/2020,2019-20,L,30,6,3,11,27.3,0,4,0.0,0,0,-,1,5,6,5,0,0,4,2,0
Kevin Hervey,OKC,OKC @ LAC,08/14/2020,2019-20,L,11,5,2,6,33.3,1,5,20.0,0,0,-,1,3,4,1,0,0,0,2,-10
Devon Hall,OKC,OKC @ LAC,08/14/2020,2019-20,L,24,12,4,12,33.3,3,6,50.0,1,4,25.0,1,0,1,4,3,0,1,2,-1
Hamidou Diallo,OKC,OKC @ LAC,08/14/2020,2019-20,L,40,27,10,22,45.5,4,8,50.0,3,5,60.0,4,7,11,1,0,1,2,5,-4
Shai Gilgeous-Alexander,OKC,OKC @ LAC,08/14/2020,2019-20,L,14,13,6,10,60.0,0,1,0.0,1,1,100,0,4,4,0,1,0,3,0,12
Terrance Ferguson,OKC,OKC @ LAC,08/14/2020,2019-20,L,17,0,0,2,0.0,0,2,0.0,0,0,-,0,1,1,0,0,0,0,4,-13
Steven Adams,OKC,OKC @ LAC,08/14/2020,2019-20,L,6,0,0,2,0.0,0,0,-,0,0,-,2,2,4,0,0,0,1,0,2
Mike Muscala,OKC,OKC @ LAC,08/14/2020,2019-20,L,14,3,1,3,33.3,1,3,33.3,0,0,-,0,1,1,0,0,1,0,1,-8
Dennis Schroder,OKC,OKC @ LAC,08/14/2020,2019-20,L,25,17,6,12,50.0,3,3,100,2,2,100,0,1,1,4,1,0,2,4,-10
Andre Roberson,OKC,OKC @ LAC,08/14/2020,2019-20,L,28,3,1,9,11.1,0,6,0.0,1,2,50.0,1,4,5,2,0,1,0,4,6
Nerlens Noel,OKC,OKC @ LAC,08/14/2020,2019-20,L,15,5,2,2,100,0,0,-,1,2,50.0,0,1,1,0,0,1,2,3,-1
Danilo Gallinari,OKC,OKC @ LAC,08/14/2020,2019-20,L,9,3,0,3,0.0,0,1,0.0,3,3,100,0,1,1,0,0,0,0,2,0
Ivica Zubac,LAC,LAC vs. OKC,08/14/2020,2019-20,W,11,6,2,3,66.7,0,0,-,2,2,100,1,3,4,0,0,1,1,1,8
JaMychal Green,LAC,LAC vs. OKC,08/14/2020,2019-20,W,27,13,5,11,45.5,3,6,50.0,0,0,-,0,8,8,0,1,0,3,3,-2
Reggie Jackson,LAC,LAC vs. OKC,08/14/2020,2019-20,W,16,7,2,8,25.0,1,4,25.0,2,2,100,0,2,2,3,0,0,3,3,8
Malcolm Brogdon,IND,IND vs. MIA,08/14/2020,2019-20,W,25,16,6,14,42.9,4,7,57.1,0,0,-,2,4,6,6,0,0,3,3,5
TJ Leaf,IND,IND vs. MIA,08/14/2020,2019-20,W,18,6,3,9,33.3,0,2,0.0,0,1,0.0,0,3,3,1,2,0,0,2,10
Kendrick Nunn,MIA,MIA @ IND,08/14/2020,2019-20,L,33,23,8,27,29.6,1,9,11.1,6,6,100,1,1,2,4,3,1,5,1,-21
Kyle Alexander,MIA,MIA @ IND,08/14/2020,2019-20,L,12,2,1,1,100,0,0,-,0,0,-,1,1,2,0,0,0,1,1,-3
Chris Silva,MIA,MIA @ IND,08/14/2020,2019-20,L,24,5,2,4,50.0,0,0,-,1,4,25.0,4,7,11,1,0,3,1,3,-12
Meyers Leonard,MIA,MIA @ IND,08/14/2020,2019-20,L,29,9,3,7,42.9,2,5,40.0,1,2,50.0,2,5,7,0,0,0,3,0,-10
Solomon Hill,MIA,MIA @ IND,08/14/2020,2019-20,L,41,21,5,13,38.5,1,4,25.0,10,12,83.3,2,5,7,3,1,0,3,2,-8
Goga Bitadze,IND,IND vs. MIA,08/14/2020,2019-20,W,16,4,2,5,40.0,0,2,0.0,0,0,-,1,2,3,2,1,2,2,3,9
Udonis Haslem,MIA,MIA @ IND,08/14/2020,2019-20,L,24,7,3,5,60.0,1,1,100,0,0,-,1,7,8,0,0,0,1,3,-5
T.J. McConnell,IND,IND vs. MIA,08/14/2020,2019-20,W,21,8,4,8,50.0,0,0,-,0,0,-,0,3,3,8,1,0,2,2,12
