Player,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Josh McRoberts,IND,IND vs. MIL,04/15/2009,2008-09,W,16,6,3,5,60.0,0,1,0.0,0,0,-,2,1,3,2,2,3,0,1,22
Malik Allen,MIL,MIL @ IND,04/15/2009,2008-09,L,10,4,2,5,40.0,0,0,-,0,0,-,0,2,2,0,0,1,0,1,-8
Joe Alexander,MIL,MIL @ IND,04/15/2009,2008-09,L,13,2,1,4,25.0,0,0,-,0,0,-,0,2,2,2,0,1,0,0,-5
Luke Ridnour,MIL,MIL @ IND,04/15/2009,2008-09,L,20,5,2,6,33.3,1,1,100,0,0,-,0,1,1,3,0,1,0,3,-12
Travis Diener,IND,IND vs. MIL,04/15/2009,2008-09,W,9,0,0,0,-,0,0,-,0,0,-,0,3,3,4,1,1,0,0,24
Brandon Rush,IND,IND vs. MIL,04/15/2009,2008-09,W,38,24,10,18,55.6,4,6,66.7,0,0,-,1,4,5,0,1,1,1,2,4
Roy Hibbert,IND,IND vs. MIL,04/15/2009,2008-09,W,17,10,3,7,42.9,0,0,-,4,6,66.7,2,3,5,1,1,3,1,2,-12
Luc Mbah a Moute,MIL,MIL @ IND,04/15/2009,2008-09,L,35,19,8,15,53.3,0,0,-,3,3,100,4,7,11,3,1,0,0,0,0
Stephen Graham,IND,IND vs. MIL,04/15/2009,2008-09,W,14,11,4,8,50.0,3,3,100,0,0,-,0,0,0,0,0,0,1,1,-2
Ramon Sessions,MIL,MIL @ IND,04/15/2009,2008-09,L,28,9,4,14,28.6,0,0,-,1,1,100,3,2,5,12,1,0,1,2,5
Troy Murphy,IND,IND vs. MIL,04/15/2009,2008-09,W,25,11,5,10,50.0,0,0,-,1,1,100,4,8,12,0,0,1,1,0,-14
Richard Jefferson,MIL,MIL @ IND,04/15/2009,2008-09,L,32,31,13,20,65.0,3,5,60.0,2,3,66.7,0,4,4,1,3,1,4,4,-2
Francisco Elson,MIL,MIL @ IND,04/15/2009,2008-09,L,15,4,2,5,40.0,0,0,-,0,0,-,4,0,4,0,0,0,1,2,-13
Keith Bogans,MIL,MIL @ IND,04/15/2009,2008-09,L,5,0,0,2,0.0,0,2,0.0,0,0,-,0,0,0,0,1,0,0,1,-10
Damon Jones,MIL,MIL @ IND,04/15/2009,2008-09,L,3,3,1,1,100,1,1,100,0,0,-,0,0,0,1,0,0,0,0,2
Dan Gadzuric,MIL,MIL @ IND,04/15/2009,2008-09,L,18,5,2,5,40.0,0,0,-,1,2,50.0,3,3,6,1,2,2,0,3,24
Danny Granger,IND,IND vs. MIL,04/15/2009,2008-09,W,42,35,10,16,62.5,5,7,71.4,10,11,90.9,2,7,9,4,3,3,6,2,12
Jarrett Jack,IND,IND vs. MIL,04/15/2009,2008-09,W,37,8,1,8,12.5,0,3,0.0,6,8,75.0,0,3,3,10,1,0,1,3,9
Rasho Nesterovic,IND,IND vs. MIL,04/15/2009,2008-09,W,7,0,0,1,0.0,0,0,-,0,0,-,1,3,4,1,0,0,1,1,-1
T.J. Ford,IND,IND vs. MIL,04/15/2009,2008-09,W,21,10,3,8,37.5,0,1,0.0,4,4,100,1,3,4,3,1,0,4,0,-3
Charlie Villanueva,MIL,MIL @ IND,04/15/2009,2008-09,L,18,10,3,10,30.0,0,2,0.0,4,4,100,1,3,4,1,1,0,1,1,-17
Jeff Foster,IND,IND vs. MIL,04/15/2009,2008-09,W,15,0,0,1,0.0,0,0,-,0,0,-,1,4,5,2,0,0,2,1,-4
Charlie Bell,MIL,MIL @ IND,04/15/2009,2008-09,L,43,16,6,15,40.0,2,9,22.2,2,2,100,1,5,6,6,3,0,4,4,1
Chris Paul,NOH,NOH @ SAS,04/15/2009,2008-09,L,47,26,9,21,42.9,2,4,50.0,6,8,75.0,0,7,7,14,2,0,1,3,-3
Bruce Bowen,SAS,SAS vs. NOH,04/15/2009,2008-09,W,10,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,2,-9
Peja Stojakovic,NOH,NOH @ SAS,04/15/2009,2008-09,L,42,4,2,8,25.0,0,3,0.0,0,0,-,0,5,5,0,2,0,2,0,-4
Michael Finley,SAS,SAS vs. NOH,04/15/2009,2008-09,W,39,17,7,14,50.0,2,4,50.0,1,1,100,1,3,4,2,1,0,2,1,19
Roger Mason Jr.,SAS,SAS vs. NOH,04/15/2009,2008-09,W,37,7,3,12,25.0,1,6,16.7,0,0,-,0,3,3,5,0,0,1,2,11
David West,NOH,NOH @ SAS,04/15/2009,2008-09,L,48,34,15,24,62.5,1,1,100,3,4,75.0,0,7,7,0,0,0,1,3,-5
Devin Brown,NOH,NOH @ SAS,04/15/2009,2008-09,L,5,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,1,1,-7
Matt Bonner,SAS,SAS vs. NOH,04/15/2009,2008-09,W,28,7,3,8,37.5,1,5,20.0,0,0,-,1,3,4,0,1,0,0,3,8
Tim Duncan,SAS,SAS vs. NOH,04/15/2009,2008-09,W,34,20,7,11,63.6,0,0,-,6,8,75.0,3,16,19,6,0,1,4,2,21
Drew Gooden,SAS,SAS vs. NOH,04/15/2009,2008-09,W,15,11,4,7,57.1,0,0,-,3,4,75.0,1,1,2,0,0,0,1,2,-10
Tyson Chandler,NOH,NOH @ SAS,04/15/2009,2008-09,L,20,10,4,5,80.0,0,0,-,2,2,100,0,3,3,0,0,0,3,2,2
Rasual Butler,NOH,NOH @ SAS,04/15/2009,2008-09,L,41,11,4,11,36.4,2,5,40.0,1,2,50.0,1,4,5,0,1,2,1,2,-12
Tony Parker,SAS,SAS vs. NOH,04/15/2009,2008-09,W,43,29,12,21,57.1,0,0,-,5,7,71.4,0,4,4,6,2,0,2,5,15
James Posey,NOH,NOH @ SAS,04/15/2009,2008-09,L,30,9,3,6,50.0,1,1,100,2,5,40.0,0,1,1,1,1,0,0,4,-3
George Hill,SAS,SAS vs. NOH,04/15/2009,2008-09,W,3,0,0,1,0.0,0,1,0.0,0,0,-,0,2,2,0,0,0,0,1,-4
Ime Udoka,SAS,SAS vs. NOH,04/15/2009,2008-09,W,38,12,5,8,62.5,2,3,66.7,0,0,-,0,5,5,0,1,1,2,3,-6
Antonio Daniels,NOH,NOH @ SAS,04/15/2009,2008-09,L,6,0,0,1,0.0,0,0,-,0,0,-,0,1,1,3,0,0,0,0,-4
Kurt Thomas,SAS,SAS vs. NOH,04/15/2009,2008-09,W,17,2,1,2,50.0,0,0,-,0,0,-,3,0,3,1,0,0,0,2,-10
Sean Marks,NOH,NOH @ SAS,04/15/2009,2008-09,L,15,4,2,2,100,0,0,-,0,0,-,2,2,4,0,0,1,0,4,7
Melvin Ely,NOH,NOH @ SAS,04/15/2009,2008-09,L,11,0,0,2,0.0,0,0,-,0,0,-,0,0,0,1,0,0,0,2,-6
Zaza Pachulia,ATL,ATL @ MEM,04/15/2009,2008-09,L,23,4,2,6,33.3,0,0,-,0,2,0.0,1,8,9,0,0,0,2,5,8
Marc Gasol,MEM,MEM vs. ATL,04/15/2009,2008-09,W,29,19,7,12,58.3,0,0,-,5,6,83.3,1,7,8,3,0,1,1,4,15
Othello Hunter,ATL,ATL @ MEM,04/15/2009,2008-09,L,27,8,4,7,57.1,0,0,-,0,0,-,3,6,9,0,0,1,1,4,-8
O.J. Mayo,MEM,MEM vs. ATL,04/15/2009,2008-09,W,42,26,8,17,47.1,2,5,40.0,8,8,100,0,5,5,2,1,0,3,3,7
Josh Smith,ATL,ATL @ MEM,04/15/2009,2008-09,L,10,7,3,4,75.0,1,1,100,0,0,-,0,2,2,0,0,0,1,0,5
Solomon Jones,ATL,ATL @ MEM,04/15/2009,2008-09,L,29,4,1,3,33.3,0,0,-,2,2,100,2,4,6,0,0,1,0,4,-12
Speedy Claxton,ATL,ATL @ MEM,04/15/2009,2008-09,L,8,4,2,5,40.0,0,0,-,0,0,-,0,0,0,2,0,0,0,0,-11
Thomas Gardner,ATL,ATL @ MEM,04/15/2009,2008-09,L,25,8,3,8,37.5,1,5,20.0,1,2,50.0,0,2,2,1,0,0,1,1,-4
Mike Conley,MEM,MEM vs. ATL,04/15/2009,2008-09,W,45,12,5,10,50.0,1,3,33.3,1,2,50.0,1,4,5,7,3,1,2,3,4
Flip Murray,ATL,ATL @ MEM,04/15/2009,2008-09,L,43,29,8,21,38.1,1,4,25.0,12,13,92.3,0,3,3,6,0,1,4,0,-7
Randolph Morris,ATL,ATL @ MEM,04/15/2009,2008-09,L,8,2,1,3,33.3,0,0,-,0,0,-,0,1,1,0,0,0,1,3,-4
Darko Milicic,MEM,MEM vs. ATL,04/15/2009,2008-09,W,10,1,0,3,0.0,0,0,-,1,2,50.0,1,3,4,1,0,1,0,4,-10
Maurice Evans,ATL,ATL @ MEM,04/15/2009,2008-09,L,37,21,9,16,56.3,3,7,42.9,0,1,0.0,1,4,5,1,1,1,1,5,-3
Rudy Gay,MEM,MEM vs. ATL,04/15/2009,2008-09,W,38,20,8,13,61.5,0,0,-,4,4,100,0,0,0,3,1,3,1,1,20
Mario West,ATL,ATL @ MEM,04/15/2009,2008-09,L,30,3,0,3,0.0,0,0,-,3,4,75.0,1,2,3,3,1,0,2,5,-4
Darrell Arthur,MEM,MEM vs. ATL,04/15/2009,2008-09,W,18,4,2,5,40.0,0,0,-,0,0,-,3,7,10,0,0,1,0,1,-10
Marko Jaric,MEM,MEM vs. ATL,04/15/2009,2008-09,W,23,0,0,1,0.0,0,0,-,0,0,-,0,5,5,2,2,1,1,0,-5
Hamed Haddadi,MEM,MEM vs. ATL,04/15/2009,2008-09,W,6,1,0,0,-,0,0,-,1,4,25.0,0,2,2,1,0,2,1,0,10
Hakim Warrick,MEM,MEM vs. ATL,04/15/2009,2008-09,W,30,15,7,12,58.3,0,0,-,1,5,20.0,1,3,4,0,2,0,1,0,9
Fred Jones,LAC,LAC vs. OKC,04/15/2009,2008-09,L,30,8,4,10,40.0,0,4,0.0,0,0,-,0,1,1,5,0,0,1,4,-26
Kyle Weaver,OKC,OKC @ LAC,04/15/2009,2008-09,W,18,2,1,2,50.0,0,1,0.0,0,0,-,0,0,0,2,2,1,2,0,18
Jeff Green,OKC,OKC @ LAC,04/15/2009,2008-09,W,27,19,7,12,58.3,1,4,25.0,4,4,100,1,4,5,1,1,0,2,1,23
Nick Collison,OKC,OKC @ LAC,04/15/2009,2008-09,W,25,17,8,13,61.5,0,0,-,1,2,50.0,1,5,6,4,4,0,0,4,22
Chris Kaman,LAC,LAC vs. OKC,04/15/2009,2008-09,L,26,13,6,14,42.9,0,0,-,1,4,25.0,1,5,6,0,1,2,3,2,-22
Shaun Livingston,OKC,OKC @ LAC,04/15/2009,2008-09,W,33,6,2,5,40.0,0,0,-,2,2,100,1,6,7,2,1,0,0,1,22
Mike Taylor,LAC,LAC vs. OKC,04/15/2009,2008-09,L,28,15,4,13,30.8,2,5,40.0,5,6,83.3,0,2,2,2,4,0,6,4,-34
Baron Davis,LAC,LAC vs. OKC,04/15/2009,2008-09,L,29,8,3,8,37.5,0,1,0.0,2,2,100,0,3,3,5,1,1,6,4,-13
Alex Acker,LAC,LAC vs. OKC,04/15/2009,2008-09,L,17,6,3,5,60.0,0,0,-,0,0,-,0,1,1,0,0,1,1,1,-11
Earl Watson,OKC,OKC @ LAC,04/15/2009,2008-09,W,29,16,6,10,60.0,0,1,0.0,4,6,66.7,0,4,4,14,1,0,4,4,30
Kevin Durant,OKC,OKC @ LAC,04/15/2009,2008-09,W,32,26,8,15,53.3,2,3,66.7,8,10,80.0,3,6,9,3,4,0,1,0,25
Nenad Krstic,OKC,OKC @ LAC,04/15/2009,2008-09,W,14,4,2,6,33.3,0,0,-,0,0,-,0,1,1,1,2,0,0,1,9
Marcus Camby,LAC,LAC vs. OKC,04/15/2009,2008-09,L,28,8,3,7,42.9,0,0,-,2,2,100,1,6,7,3,0,2,0,2,-20
Damien Wilkins,OKC,OKC @ LAC,04/15/2009,2008-09,W,6,7,3,3,100,1,1,100,0,0,-,0,1,1,0,0,0,1,2,11
DJ White,OKC,OKC @ LAC,04/15/2009,2008-09,W,24,15,6,12,50.0,0,0,-,3,4,75.0,4,7,11,2,2,3,1,0,22
Steve Novak,LAC,LAC vs. OKC,04/15/2009,2008-09,L,20,3,1,6,16.7,1,5,20.0,0,0,-,0,4,4,0,0,0,0,1,-21
DeAndre Jordan,LAC,LAC vs. OKC,04/15/2009,2008-09,L,18,2,1,2,50.0,0,0,-,0,0,-,2,2,4,0,0,0,1,4,-16
Russell Westbrook,OKC,OKC @ LAC,04/15/2009,2008-09,W,30,14,5,11,45.5,0,2,0.0,4,4,100,2,3,5,7,0,0,2,2,23
Eric Gordon,LAC,LAC vs. OKC,04/15/2009,2008-09,L,44,22,10,15,66.7,2,4,50.0,0,0,-,1,3,4,1,1,0,4,1,-42
Jason Richardson,PHX,PHX vs. GSW,04/15/2009,2008-09,W,17,10,4,7,57.1,2,3,66.7,0,0,-,1,1,2,1,0,0,0,3,4
Anthony Randolph,GSW,GSW @ PHX,04/15/2009,2008-09,L,35,14,6,15,40.0,0,1,0.0,2,4,50.0,3,5,8,2,0,0,1,4,-3
Grant Hill,PHX,PHX vs. GSW,04/15/2009,2008-09,W,32,27,7,25,28.0,0,1,0.0,13,16,81.3,8,2,10,5,4,1,1,1,-2
Ronny Turiaf,GSW,GSW @ PHX,04/15/2009,2008-09,L,18,8,4,7,57.1,0,0,-,0,0,-,0,3,3,0,1,0,3,4,-1
Rob Kurz,GSW,GSW @ PHX,04/15/2009,2008-09,L,19,11,3,8,37.5,0,2,0.0,5,5,100,3,3,6,0,0,1,0,3,-7
Leandro Barbosa,PHX,PHX vs. GSW,04/15/2009,2008-09,W,27,18,8,18,44.4,2,5,40.0,0,0,-,2,1,3,0,1,0,0,0,-2
Goran Dragic,PHX,PHX vs. GSW,04/15/2009,2008-09,W,15,5,2,7,28.6,1,2,50.0,0,0,-,0,1,1,2,0,0,0,1,6
Lou Amundson,PHX,PHX vs. GSW,04/15/2009,2008-09,W,13,4,1,5,20.0,0,0,-,2,2,100,1,1,2,0,0,2,0,1,9
Kelenna Azubuike,GSW,GSW @ PHX,04/15/2009,2008-09,L,47,18,8,21,38.1,2,4,50.0,0,0,-,3,2,5,1,1,4,1,3,-3
Jared Dudley,PHX,PHX vs. GSW,04/15/2009,2008-09,W,19,9,3,6,50.0,0,2,0.0,3,5,60.0,4,3,7,0,2,0,1,3,5
Shaquille O'Neal,PHX,PHX vs. GSW,04/15/2009,2008-09,W,31,15,5,9,55.6,0,0,-,5,11,45.5,3,3,6,0,0,1,1,4,1
Andris Biedrins,GSW,GSW @ PHX,04/15/2009,2008-09,L,33,9,3,3,100,0,0,-,3,6,50.0,4,6,10,2,0,2,2,5,-10
Robin Lopez,PHX,PHX vs. GSW,04/15/2009,2008-09,W,17,7,2,3,66.7,0,0,-,3,4,75.0,0,7,7,0,1,2,0,2,5
Steve Nash,PHX,PHX vs. GSW,04/15/2009,2008-09,W,37,10,4,7,57.1,0,0,-,2,2,100,1,1,2,10,0,0,3,3,0
Matt Barnes,PHX,PHX vs. GSW,04/15/2009,2008-09,W,31,12,4,7,57.1,2,4,50.0,2,2,100,1,7,8,4,1,1,2,3,-6
C.J. Watson,GSW,GSW @ PHX,04/15/2009,2008-09,L,45,20,6,17,35.3,0,5,0.0,8,9,88.9,1,6,7,12,3,1,3,4,0
Anthony Morrow,GSW,GSW @ PHX,04/15/2009,2008-09,L,44,33,13,22,59.1,3,5,60.0,4,4,100,6,6,12,3,0,0,2,2,4
Kevin Love,MIN,MIN vs. SAC,04/15/2009,2008-09,L,28,12,4,10,40.0,0,1,0.0,4,6,66.7,3,7,10,0,0,0,5,2,-6
Bobby Brown,MIN,MIN vs. SAC,04/15/2009,2008-09,L,9,2,1,5,20.0,0,2,0.0,0,0,-,2,0,2,1,1,0,0,1,4
Sebastian Telfair,MIN,MIN vs. SAC,04/15/2009,2008-09,L,30,10,4,7,57.1,2,3,66.7,0,0,-,0,0,0,6,1,0,2,2,-7
Jason Thompson,SAC,SAC @ MIN,04/15/2009,2008-09,W,32,14,5,11,45.5,0,0,-,4,6,66.7,3,4,7,2,0,2,3,4,14
Donte Greene,SAC,SAC @ MIN,04/15/2009,2008-09,W,13,0,0,1,0.0,0,0,-,0,0,-,2,1,3,0,0,0,1,0,9
Jason Collins,MIN,MIN vs. SAC,04/15/2009,2008-09,L,13,2,1,1,100,0,0,-,0,0,-,1,1,2,0,0,0,0,4,-11
Rashad McCants,SAC,SAC @ MIN,04/15/2009,2008-09,W,28,14,6,12,50.0,1,5,20.0,1,1,100,0,2,2,4,2,0,0,0,2
Shelden Williams,MIN,MIN vs. SAC,04/15/2009,2008-09,L,6,2,1,2,50.0,0,0,-,0,0,-,1,3,4,0,0,0,1,2,5
Ryan Gomes,MIN,MIN vs. SAC,04/15/2009,2008-09,L,34,17,5,12,41.7,1,4,25.0,6,10,60.0,2,6,8,1,1,0,2,2,-1
Andres Nocioni,SAC,SAC @ MIN,04/15/2009,2008-09,W,30,17,6,11,54.5,4,7,57.1,1,2,50.0,0,5,5,1,0,0,2,5,-5
Craig Smith,MIN,MIN vs. SAC,04/15/2009,2008-09,L,18,18,7,11,63.6,0,0,-,4,6,66.7,1,2,3,0,1,0,2,6,1
Rodney Carney,MIN,MIN vs. SAC,04/15/2009,2008-09,L,31,13,3,10,30.0,2,7,28.6,5,6,83.3,1,0,1,1,1,0,1,3,-6
Beno Udrih,SAC,SAC @ MIN,04/15/2009,2008-09,W,32,6,2,6,33.3,0,0,-,2,2,100,0,2,2,5,1,0,2,2,5
Kevin Ollie,MIN,MIN vs. SAC,04/15/2009,2008-09,L,9,0,0,1,0.0,0,0,-,0,0,-,0,1,1,3,0,0,1,0,-4
Brian Cardinal,MIN,MIN vs. SAC,04/15/2009,2008-09,L,20,0,0,4,0.0,0,3,0.0,0,0,-,2,2,4,3,1,0,0,3,-4
Francisco Garcia,SAC,SAC @ MIN,04/15/2009,2008-09,W,35,4,1,7,14.3,0,1,0.0,2,2,100,1,2,3,5,0,3,1,6,-1
Bobby Jackson,SAC,SAC @ MIN,04/15/2009,2008-09,W,29,14,4,9,44.4,2,3,66.7,4,4,100,1,4,5,1,4,0,1,4,10
Mark Madsen,MIN,MIN vs. SAC,04/15/2009,2008-09,L,10,0,0,2,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,3
Ike Diogu,SAC,SAC @ MIN,04/15/2009,2008-09,W,40,28,10,17,58.8,0,1,0.0,8,11,72.7,3,10,13,0,1,0,3,4,-3
Mike Miller,MIN,MIN vs. SAC,04/15/2009,2008-09,L,33,14,6,11,54.5,2,5,40.0,0,0,-,0,6,6,5,0,0,1,0,-9
Cedric Simmons,SAC,SAC @ MIN,04/15/2009,2008-09,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,1,0,4
Chauncey Billups,DEN,DEN @ POR,04/15/2009,2008-09,L,33,13,4,10,40.0,2,4,50.0,3,3,100,2,1,3,4,0,0,0,0,-7
Travis Outlaw,POR,POR vs. DEN,04/15/2009,2008-09,W,25,21,7,9,77.8,3,3,100,4,6,66.7,0,3,3,0,0,1,3,3,25
Rudy Fernandez,POR,POR vs. DEN,04/15/2009,2008-09,W,26,18,6,9,66.7,6,9,66.7,0,0,-,0,3,3,2,3,0,1,4,24
Dahntay Jones,DEN,DEN @ POR,04/15/2009,2008-09,L,20,4,2,8,25.0,0,0,-,0,0,-,1,1,2,0,2,0,1,3,-8
