Player,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Dante Cunningham,CHA,CHA vs. ATL,04/13/2011,2010-11,W,29,14,7,11,63.6,0,0,-,0,0,-,1,5,6,0,1,1,2,2,9
Jeff Teague,ATL,ATL @ CHA,04/13/2011,2010-11,L,22,10,4,10,40.0,1,2,50.0,1,2,50.0,1,1,2,1,0,1,1,1,-9
Al Horford,ATL,ATL @ CHA,04/13/2011,2010-11,L,14,2,1,4,25.0,0,0,-,0,0,-,0,3,3,0,1,0,2,1,-19
Dominic McGuire,CHA,CHA vs. ATL,04/13/2011,2010-11,W,18,8,2,5,40.0,0,0,-,4,4,100,0,4,4,0,0,0,0,2,4
Garrett Temple,CHA,CHA vs. ATL,04/13/2011,2010-11,W,14,3,1,4,25.0,1,1,100,0,0,-,0,1,1,4,0,0,2,2,9
Joe Johnson,ATL,ATL @ CHA,04/13/2011,2010-11,L,10,2,1,6,16.7,0,2,0.0,0,0,-,0,0,0,1,0,0,2,3,-11
Zaza Pachulia,ATL,ATL @ CHA,04/13/2011,2010-11,L,25,2,1,3,33.3,0,0,-,0,0,-,3,7,10,2,0,0,0,3,-3
Josh Powell,ATL,ATL @ CHA,04/13/2011,2010-11,L,34,16,5,10,50.0,0,0,-,6,7,85.7,0,5,5,2,0,1,1,2,8
D.J. Augustin,CHA,CHA vs. ATL,04/13/2011,2010-11,W,34,17,6,13,46.2,1,4,25.0,4,4,100,0,2,2,7,1,0,1,1,2
Etan Thomas,ATL,ATL @ CHA,04/13/2011,2010-11,L,23,8,3,6,50.0,0,0,-,2,2,100,2,4,6,1,0,4,2,1,-8
Marvin Williams,ATL,ATL @ CHA,04/13/2011,2010-11,L,18,3,1,6,16.7,0,0,-,1,2,50.0,2,0,2,2,0,0,0,0,0
Boris Diaw,CHA,CHA vs. ATL,04/13/2011,2010-11,W,43,7,3,10,30.0,1,3,33.3,0,0,-,1,3,4,9,1,3,2,1,8
Matt Carroll,CHA,CHA vs. ATL,04/13/2011,2010-11,W,12,4,2,5,40.0,0,0,-,0,0,-,0,1,1,0,0,0,0,1,-5
