Player,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Justin Holiday,MEM,MEM vs. GSW,04/10/2019,2018-19,W,28,22,8,16,50.0,5,10,50.0,1,2,50.0,0,4,4,1,0,0,2,2,5
Klay Thompson,GSW,GSW @ MEM,04/10/2019,2018-19,L,17,19,8,12,66.7,3,5,60.0,0,0,-,0,1,1,3,1,1,0,0,-12
Jevon Carter,MEM,MEM vs. GSW,04/10/2019,2018-19,W,26,32,10,18,55.6,8,12,66.7,4,4,100,1,3,4,2,1,0,1,1,18
Damion Lee,GSW,GSW @ MEM,04/10/2019,2018-19,L,23,10,4,10,40.0,1,4,25.0,1,1,100,1,4,5,2,0,0,0,0,-9
Julian Washburn,MEM,MEM vs. GSW,04/10/2019,2018-19,W,23,8,4,7,57.1,0,2,0.0,0,0,-,1,5,6,0,3,0,1,2,-10
Yuta Watanabe,MEM,MEM vs. GSW,04/10/2019,2018-19,W,19,4,2,8,25.0,0,3,0.0,0,0,-,2,2,4,0,0,0,0,2,2
Marcus Derrickson,GSW,GSW @ MEM,04/10/2019,2018-19,L,8,13,4,5,80.0,4,4,100,1,1,100,1,1,2,0,0,0,0,0,12
Kevon Looney,GSW,GSW @ MEM,04/10/2019,2018-19,L,16,6,3,8,37.5,0,0,-,0,0,-,2,1,3,3,0,0,0,1,-7
Tyler Zeller,MEM,MEM vs. GSW,04/10/2019,2018-19,W,19,8,3,6,50.0,0,0,-,2,4,50.0,3,1,4,0,0,0,1,2,3
Andrew Bogut,GSW,GSW @ MEM,04/10/2019,2018-19,L,18,0,0,1,0.0,0,0,-,0,0,-,1,5,6,1,1,2,5,1,-15
Alfonzo McKinnie,GSW,GSW @ MEM,04/10/2019,2018-19,L,18,4,2,3,66.7,0,1,0.0,0,1,0.0,0,3,3,1,0,0,1,3,-8
Tyler Dorsey,MEM,MEM vs. GSW,04/10/2019,2018-19,W,28,18,7,12,58.3,2,6,33.3,2,2,100,3,1,4,3,1,0,0,2,17
Quinn Cook,GSW,GSW @ MEM,04/10/2019,2018-19,L,28,10,4,12,33.3,2,4,50.0,0,0,-,0,4,4,3,0,0,3,5,-4
Kevin Durant,GSW,GSW @ MEM,04/10/2019,2018-19,L,18,21,7,10,70.0,0,2,0.0,7,7,100,0,0,0,6,1,0,0,1,-9
Jordan Bell,GSW,GSW @ MEM,04/10/2019,2018-19,L,28,15,6,9,66.7,0,0,-,3,4,75.0,2,6,8,1,0,1,2,2,-9
Jacob Evans,GSW,GSW @ MEM,04/10/2019,2018-19,L,25,8,3,7,42.9,2,3,66.7,0,0,-,1,2,3,4,0,0,1,2,5
Delon Wright,MEM,MEM vs. GSW,04/10/2019,2018-19,W,37,13,3,7,42.9,3,5,60.0,4,4,100,3,8,11,11,3,0,3,1,15
